2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,71,77,89,87,84,79,82,85,81,72,76
2,83,78,80,86,93,80,76,88,79,78,79,73
3,90,80,85,84,85,78,84,84,82,80,80,/
4,85,81,77,86,79,91,77,80,91,81,68,72
5,80,79,80,84,82,81,77,80,89,81,69,90
6,81,78,86,82,96,77,80,78,82,81,74,93
7,80,71,95,77,90,76,75,80,81,80,75,/
8,81,72,94,77,90,76,72,84,85,78,69,70
9,80,75,98,/,90,72,74,87,78,78,70,76
10,83,75,90,78,88,82,80,83,/,79,73,/
11,81,75,88,82,82,95,87,88,77,80,73,93
12,78,77,74,76,82,99,75,92,80,78,72,81
13,77,76,71,86,78,91,72,87,77,76,75,81
14,77,75,75,/,80,91,74,81,81,71,75,76
15,80,76,74,78,80,74,75,89,78,66,75,77
16,91,77,73,/,89,81,78,86,79,66,78,80
17,83,74,77,/,89,87,75,91,/,53,77,78
18,77,78,83,77,93,84,85,91,71,53,74,82
19,77,79,77,88,91,75,82,92,63,53,68,86
20,78,81,79,/,94,77,75,83,67,66,68,80
21,78,82,76,/,92,72,78,87,69,70,77,87
22,77,80,80,/,86,72,77,81,74,74,79,84
23,75,73,80,74,91,86,/,83,72,74,85,81
24,76,92,92,78,82,92,79,78,74,76,81,84
25,78,80,95,73,79,79,78,86,75,74,78,80
26,69,77,82,/,80,80,77,84,79,77,72,76
27,65,75,78,79,88,81,84,84,82,79,79,65
28,76,75,77,82,90,76,82,79,86,/,73,73
29,75,,81,77,82,77,78,82,82,/,65,98
30,67,,80,75,80,86,75,86,81,/,77,95
31,58,,74,,78,,77,81,,82,,81
平均,77.9,77.2,81.5,80.4,86,81.7,77.9,84.4,78.5,73.8,74.3,81
