2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,1010.6,1005.8,1009.4,997.9,997.6,992.4,996.9,997.8,993.8,1003.2,1006.0
2,1012.0,1007.6,1002.7,1007.0,1000.3,997.4,991.9,994.9,997.4,1001.5,1002.1,1008.1
3,1012.7,1007.6,1000.2,1006.6,1002.7,999.2,998.1,992.4,995.0,1001.8,1002.6,/
4,1011.3,1007.3,1003.9,1004.6,1002.5,999.4,999.0,991.8,995.9,1001.6,1001.7,1009.3
5,1009.7,1005.1,1001.8,1002.2,999.1,1001.2,995.8,991.7,992.7,1002.6,999.6,1010.3
6,1009.5,1003.7,1003.0,1002.4,999.0,1001.3,994.8,990.5,991.1,1003.9,999.1,1008.9
7,1009.5,1003.6,1006.1,1002.7,999.1,1000.9,996.3,986.6,993.9,1005.0,1000.0,/
8,1008.4,1005.0,1005.8,1002.5,998.9,998.5,997.8,982.2,994.9,1004.1,1003.5,1010.5
9,1009.9,1007.8,1000.2,/,997.7,996.8,995.0,981.5,996.2,1002.3,1004.3,1009.1
10,1008.7,1011.2,1001.7,1000.3,999.2,995.8,995.5,984.7,/,1001.5,1002.7,/
11,1007.2,1013.1,1003.3,1000.8,999.9,994.6,998.9,991.8,1000.2,1000.1,1004.1,1008.0
12,1007.5,1011.8,1005.2,1003.5,1000.4,997.2,998.4,992.6,997.6,1001.3,1005.7,1009.0
13,1007.0,1010.1,1007.9,1004.2,1000.0,993.4,996.4,991.8,996.8,1003.5,1006.5,1011.5
14,1006.1,1009.8,1007.8,/,999.5,991.7,995.6,991.5,996.4,1005.7,1005.4,1010.0
15,1007.1,1008.9,1008.9,1003.4,999.7,994.9,995.5,991.5,996.5,1006.2,1004.5,1009.2
16,1007.7,1007.8,1008.0,/,997.8,996.9,993.7,993.8,996.4,1006.2,1004.5,1006.3
17,1009.2,1006.8,1007.9,/,996.6,1000.0,985.3,996.1,/,1004.4,1003.3,1007.2
18,1009.5,1003.9,1005.4,1001.3,996.2,1000.6,986.7,995.9,997.1,1004.4,1002.7,1007.0
19,1009.0,1007.8,1003.9,998.4,998.6,998.2,987.8,996.1,997.0,1004.4,1004.0,1008.9
20,1008.1,1009.5,1002.1,/,997.8,997.6,996.0,995.0,994.1,1004.0,1005.4,1007.5
21,1009.1,1007.4,1001.0,/,1000.0,996.9,997.8,995.3,993.4,1001.9,1004.2,1006.1
22,1010.0,1005.9,1002.8,/,999.8,995.2,997.0,996.4,998.8,1000.7,1003.4,1004.0
23,1008.6,1005.3,1006.4,1000.1,1001.3,995.3,/,993.4,1004.5,1001.7,1005.2,1005.8
24,1008.5,1006.1,1007.6,999.7,1001.6,997.3,998.3,979.4,1005.3,1004.2,1005.8,1007.3
25,1009.4,1005.2,1005.5,999.6,1000.5,998.3,998.6,991.6,1005.3,1005.2,1007.4,1003.7
26,1010.6,1006.1,1008.1,/,999.3,994.7,996.2,999.5,1005.3,1005.5,1007.8,1003.9
27,1011.8,1003.8,1005.8,1001.6,999.7,992.9,996.0,998.7,1004.2,1003.2,1006.5,1007.2
28,1010.5,1004.4,1000.3,1002.6,999.8,992.9,997.5,995.0,1002.2,/,1008.3,1007.9
29,1010.0,,1000.3,999.9,999.9,993.2,997.6,997.3,998.6,/,1009.4,1008.1
30,1009.8,,1002.3,997.2,999.3,993.7,996.1,998.5,989.3,/,1007.5,1009.0
31,1008.4,,1005.8,,998.7,,995.8,997.0,,1004.4,,1012.7
平均,1009.2,1007.3,1004.4,1002.3,999.4,996.8,995.4,992.6,997.6,1003,1004.3,1007.9
