2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,0.0,0.0,2.5,23.0,7.0,0.0,8.5,68.0,7.0,0.0,0.0
2,0.0,0.0,0.0,0.0,55.5,8.5,0.0,14.0,0.0,0.0,0.0,0.0
3,1.0,0.5,2.5,0.0,1.5,0.0,1.5,11.0,0.0,0.0,0.0,/
4,0.0,0.5,0.0,0.0,0.0,65.0,3.0,0.0,61.0,0.0,0.0,0.0
5,0.0,0.0,6.5,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,19.0
6,0.0,0.0,6.0,0.0,26.0,0.0,2.5,0.0,0.5,0.0,0.0,17.0
7,0.0,0.0,31.5,0.0,8.5,0.0,0.0,1.5,0.0,0.0,0.0,/
8,0.0,0.0,14.5,0.0,0.0,0.0,0.0,3.5,2.5,0.0,0.0,0.0
9,0.0,0.0,38.0,/,8.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
10,0.0,0.0,27.5,0.0,11.5,6.5,14.0,1.0,/,0.0,0.0,/
11,0.0,0.0,0.5,0.0,0.0,129.5,11.5,21.5,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,141.0,0.0,33.5,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,2.0,0.0,32.5,0.0,32.5,0.0,0.0,0.0,0.0
14,1.0,0.0,0.0,/,1.5,42.0,0.0,7.0,0.5,0.0,0.0,0.0
15,0.0,0.0,0.0,1.5,1.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0
16,8.5,0.0,0.0,/,38.0,20.5,0.0,129.0,0.0,0.0,0.0,0.0
17,2.5,0.0,0.0,/,23.5,28.5,0.0,86.0,/,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,47.5,9.5,32.0,64.5,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,39.0,61.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,/,104.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,/,7.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,/,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,5.5,13.5,/,0.0,0.0,0.0,0.0,0.0
24,0.0,8.5,8.5,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,5.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,13.5,1.5,30.5,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,24.0,0.0,0.5,0.0,1.5,/,0.0,0.0
29,0.0,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,/,0.0,41.0
30,0.0,,1.5,0.0,0.0,21.5,0.0,5.0,0.0,/,0.0,13.5
31,0.0,,0.0,,0.0,,1.0,0.0,,0.0,,4.0
總和,13,9.5,143.5,45,463.5,563.5,102.5,567.5,137,7,0,94.5
