2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,340.0,310.0,290.0,320.0,120.0,280.0,210.0,20.0,360.0,320.0,300.0,340.0
2,290.0,300.0,280.0,340.0,150.0,260.0,250.0,230.0,250.0,310.0,20.0,330.0
3,320.0,330.0,340.0,290.0,260.0,140.0,120.0,180.0,320.0,320.0,10.0,340.0
4,340.0,340.0,310.0,310.0,290.0,170.0,290.0,220.0,330.0,320.0,340.0,350.0
5,240.0,340.0,340.0,330.0,/,150.0,280.0,310.0,0.0,330.0,340.0,330.0
6,290.0,300.0,220.0,310.0,200.0,240.0,240.0,350.0,340.0,340.0,160.0,320.0
7,320.0,340.0,310.0,340.0,140.0,180.0,270.0,300.0,280.0,360.0,160.0,330.0
8,310.0,330.0,320.0,290.0,180.0,260.0,270.0,300.0,330.0,340.0,330.0,340.0
9,290.0,320.0,240.0,330.0,170.0,280.0,270.0,340.0,340.0,330.0,320.0,140.0
10,300.0,300.0,330.0,300.0,270.0,290.0,240.0,300.0,180.0,360.0,330.0,350.0
11,300.0,300.0,300.0,300.0,0.0,/,190.0,210.0,200.0,340.0,20.0,330.0
12,310.0,270.0,20.0,340.0,320.0,360.0,120.0,190.0,300.0,320.0,210.0,300.0
13,310.0,130.0,290.0,330.0,290.0,290.0,290.0,340.0,260.0,340.0,350.0,300.0
14,50.0,290.0,330.0,/,300.0,360.0,300.0,330.0,340.0,310.0,250.0,20.0
15,310.0,310.0,320.0,140.0,320.0,300.0,260.0,40.0,340.0,300.0,320.0,340.0
16,340.0,350.0,310.0,310.0,130.0,310.0,200.0,330.0,290.0,330.0,280.0,330.0
17,330.0,330.0,280.0,340.0,130.0,270.0,290.0,290.0,300.0,30.0,120.0,320.0
18,320.0,330.0,50.0,130.0,250.0,280.0,270.0,180.0,310.0,340.0,300.0,320.0
19,340.0,290.0,310.0,270.0,100.0,290.0,130.0,180.0,320.0,340.0,340.0,320.0
20,340.0,290.0,300.0,330.0,230.0,280.0,190.0,180.0,310.0,170.0,310.0,340.0
21,300.0,300.0,350.0,330.0,210.0,280.0,310.0,300.0,350.0,230.0,340.0,330.0
22,290.0,300.0,220.0,340.0,330.0,270.0,290.0,30.0,330.0,10.0,310.0,310.0
23,310.0,300.0,330.0,340.0,330.0,270.0,190.0,10.0,300.0,350.0,310.0,350.0
24,330.0,300.0,270.0,200.0,310.0,280.0,250.0,220.0,340.0,360.0,260.0,330.0
25,320.0,320.0,290.0,120.0,340.0,250.0,150.0,240.0,360.0,270.0,310.0,310.0
26,350.0,320.0,310.0,340.0,180.0,150.0,200.0,150.0,340.0,310.0,310.0,330.0
27,320.0,300.0,150.0,330.0,230.0,280.0,160.0,230.0,350.0,330.0,340.0,20.0
28,30.0,340.0,340.0,340.0,340.0,310.0,180.0,240.0,350.0,280.0,340.0,320.0
29,320.0,290.0,340.0,320.0,160.0,220.0,300.0,40.0,340.0,310.0,310.0,300.0
30,340.0,,300.0,300.0,240.0,280.0,40.0,340.0,310.0,360.0,320.0,210.0
31,330.0,,320.0,,290.0,,270.0,340.0,,360.0,,10.0
平均,297.7,305.9,281,296.9,227,261.4,226.5,224.5,302.3,300.6,265.3,287.4
