2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,5.2,6.6,9.1,8.6,1.5,9.6,13.0,10.7,8.1,7.4,5.6,10.4
2,8.8,8.0,7.7,9.3,2.9,8.1,13.2,11.3,8.1,8.6,8.5,8.8
3,5.8,8.3,8.8,8.3,8.0,4.1,13.6,8.0,9.3,7.3,10.2,10.2
4,5.8,7.1,9.4,9.1,8.3,3.1,15.8,8.2,8.3,7.1,6.6,8.8
5,6.3,8.8,7.2,6.8,/,4.1,10.1,9.1,8.6,9.2,7.0,7.6
6,6.1,8.6,5.9,6.1,1.9,11.7,15.2,9.6,8.7,10.3,6.0,5.9
7,6.0,10.7,7.6,18.7,1.9,11.5,8.6,7.8,9.9,10.5,7.0,8.1
8,6.4,9.9,8.2,6.0,1.2,10.5,12.6,9.4,7.6,9.4,8.4,6.8
9,7.6,10.7,13.7,8.2,3.4,16.4,10.6,9.2,6.8,10.3,4.8,6.3
10,6.3,9.0,10.8,7.0,10.6,6.6,11.9,8.3,9.0,9.2,5.8,6.8
11,6.3,4.3,5.8,9.1,0.0,/,9.9,11.5,9.6,6.6,7.4,5.8
12,17.6,7.4,1.6,13.0,7.7,8.8,3.0,9.2,7.7,6.6,6.4,7.4
13,9.2,11.8,9.5,12.0,8.0,9.6,7.8,8.9,6.9,6.4,7.5,8.6
14,9.1,9.9,7.2,/,8.6,15.6,7.6,8.0,7.9,7.8,5.5,4.0
15,8.2,7.1,5.7,1.2,8.6,8.9,10.1,9.0,7.5,6.2,4.9,8.6
16,8.5,9.2,8.4,8.0,1.9,9.1,8.3,9.8,8.0,6.3,5.3,7.5
17,9.3,14.2,8.4,8.0,2.2,8.8,9.6,9.8,6.3,7.5,0.5,9.0
18,8.4,7.0,6.1,2.9,9.4,8.7,8.9,16.9,7.9,8.9,6.7,9.2
19,7.5,8.0,6.6,9.3,0.8,8.4,10.6,8.0,9.2,8.8,8.4,11.5
20,8.3,7.3,6.8,2.2,7.5,8.4,13.2,9.1,10.0,0.9,9.0,9.1
21,6.3,8.3,6.8,2.2,4.9,9.4,8.3,8.9,9.5,4.3,6.8,3.7
22,7.0,6.0,6.2,9.1,1.1,11.1,10.1,8.6,8.5,13.6,8.6,5.6
23,8.2,6.5,8.4,1.9,4.5,11.2,12.4,5.7,7.4,9.6,6.1,7.9
24,8.3,7.6,7.2,0.9,7.5,9.9,7.3,7.1,8.6,6.7,7.9,8.9
25,8.3,8.3,7.9,1.2,8.0,9.7,9.2,8.7,7.0,5.1,7.3,6.8
26,13.0,9.5,8.0,0.8,9.2,13.5,13.1,8.2,8.2,6.1,9.6,8.5
27,7.9,7.2,9.0,4.6,6.0,10.7,12.3,11.5,5.7,6.7,9.2,8.9
28,9.4,7.4,10.2,7.1,9.0,8.7,2.6,10.9,4.5,6.7,8.1,7.5
29,8.2,7.1,8.8,9.0,9.1,10.1,7.4,7.9,7.9,9.4,8.9,6.6
30,11.4,,6.3,7.8,9.5,11.0,6.8,12.0,8.3,10.4,7.3,14.2
31,7.2,,11.6,,7.2,,8.2,9.4,,6.5,,9.4
平均,8.1,8.3,7.9,6.8,5.7,9.6,10,9.4,8,7.8,7,8
