2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1027.8,1024.8,1016.8,1017.4,1015.2,1014.3,1009.1,1011.2,1006.2,1011.3,1016.4,1020.8
2,1026.7,1025.1,1019.7,1020.2,1012.6,1013.2,1010.9,1010.1,1008.9,1013.0,1015.2,1019.3
3,1024.8,1023.5,1020.9,1019.8,1011.5,1012.4,1013.1,1008.0,1011.6,1013.1,1016.8,1018.7
4,1023.0,1022.4,1019.7,1020.0,1013.0,1012.1,1012.7,1010.2,1011.6,1011.8,1018.0,1019.2
5,1023.4,1022.3,1020.8,1020.7,/,1011.6,1010.6,1013.4,/,1012.6,1017.9,1020.0
6,1022.4,1021.7,1019.5,1018.9,1012.0,1010.8,1011.0,1013.2,1007.6,1014.4,1012.1,1019.4
7,1020.1,1023.1,1016.8,1016.9,1012.8,1011.1,1012.9,1011.3,1011.5,1015.1,1016.7,1020.0
8,1020.8,1024.7,1014.4,1017.6,1012.4,1012.0,1010.4,1008.5,1014.9,1015.3,1018.2,1019.3
9,1020.6,1026.2,1011.5,1018.8,1012.1,1013.7,1008.4,1006.9,1012.9,1015.1,1018.5,1018.3
10,1018.8,1024.7,1015.4,1020.1,1012.2,1012.8,1010.5,1008.5,1010.5,1013.5,1020.2,1017.7
11,1017.7,1024.3,1020.3,1017.6,1012.5,/,1011.6,1012.6,1011.8,1011.8,1020.5,1016.9
12,1018.2,1021.0,1019.1,1018.0,1013.1,1009.3,1011.3,1016.4,1014.1,1011.9,1018.5,1016.5
13,1019.7,1018.7,1018.4,1020.4,1014.6,1010.6,1010.2,1015.0,1014.3,1014.2,1017.9,1017.2
14,1021.5,1017.8,1018.7,1019.2,1014.4,1014.8,1008.8,1012.6,1013.1,1015.7,1018.8,1019.9
15,1021.2,1017.4,1021.0,1018.0,1011.8,1015.4,1009.2,1012.4,1012.6,1015.3,1020.2,1022.3
16,1020.4,1020.4,1022.4,1017.8,1011.2,1013.1,1010.9,1012.3,1011.9,1015.4,1017.7,1022.9
17,1020.9,1026.3,1021.6,1018.1,1008.0,1011.7,1011.9,1010.9,1011.6,1016.1,1017.3,1021.8
18,1021.5,1027.0,1018.6,1017.2,1008.0,1011.9,1011.7,1010.6,1014.5,1016.7,1015.7,1021.9
19,1022.8,1026.7,1017.4,1014.9,1010.0,1012.2,1011.7,1011.0,1015.8,1016.0,1014.9,1022.7
20,1024.0,1027.1,1017.8,1015.7,1011.4,1011.5,1013.4,1011.6,1013.7,1014.1,1015.8,1023.2
21,1024.8,1028.7,1017.9,1015.8,1009.6,1009.7,1014.2,1010.1,1012.7,1010.2,1016.9,1022.1
22,1022.3,1027.6,1016.6,1017.0,1006.8,1009.8,1012.9,1008.5,1012.2,1010.5,1019.6,1020.1
23,1020.8,1025.9,1016.7,1018.9,1008.2,1010.2,1012.4,1009.3,1012.7,1013.2,1020.7,1018.5
24,1021.7,1023.1,1017.4,1019.8,1011.1,1009.8,1011.2,1006.8,1012.4,1015.7,1020.7,1017.1
25,1019.0,1020.8,1016.8,1019.2,1012.8,1010.6,1010.6,1006.5,1011.6,1016.4,1020.0,1019.9
26,1014.6,1020.7,1016.8,1018.5,1012.0,1012.5,1010.4,1006.4,1011.8,1014.7,1020.3,1020.6
27,1016.8,1021.5,1016.5,1018.1,1012.0,1012.4,1010.4,1006.1,1013.4,1014.6,1021.3,1018.4
28,1019.2,1020.1,1016.4,1018.2,1013.7,1011.1,1011.5,1006.9,1013.2,1017.0,1021.7,1015.7
29,1020.9,1017.3,1017.2,1018.5,1014.2,1009.6,1010.9,1007.5,1010.6,1018.6,1021.9,1016.0
30,1022.1,,1015.9,1017.8,1014.9,1008.7,1009.9,1007.5,1010.1,1018.6,1022.1,1021.8
31,1023.5,,1015.7,,1014.8,,1009.9,1006.4,,1017.9,,1026.5
平均,1021.4,1023.1,1017.9,1018.3,1012,1011.7,1011.1,1010,1012.1,1014.5,1018.4,1019.8
