2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,7.8,9.3,9.6,9.5,0.0,11.7,9.2,10.1,10.7,9.9,9.2,8.7
2,9.0,9.2,9.5,6.2,0.0,10.9,8.5,9.4,10.8,10.2,9.5,9.1
3,8.5,9.3,9.9,8.8,11.5,0.0,9.3,4.8,9.4,10.4,8.6,7.3
4,8.5,1.2,9.2,10.1,11.2,0.0,12.0,9.7,10.9,10.2,8.1,6.9
5,8.7,9.5,6.7,6.5,10.7,0.0,11.5,11.1,6.1,10.0,9.3,7.4
6,8.0,8.3,9.0,5.9,0.0,10.2,11.4,11.6,10.8,10.2,1.2,8.9
7,9.0,8.4,9.6,10.1,0.0,8.6,11.8,11.4,10.2,9.2,6.6,8.5
8,9.0,9.5,9.4,9.8,0.0,6.1,11.6,11.0,10.6,9.3,8.7,6.1
9,7.6,8.3,10.2,10.3,0.0,0.0,10.0,10.0,10.3,9.4,5.2,5.1
10,8.6,9.4,7.1,10.3,10.4,11.2,10.4,7.5,10.1,10.2,7.1,8.2
11,8.3,6.9,8.1,7.3,0.0,/,11.9,7.7,9.9,10.1,9.5,7.7
12,8.8,9.5,0.0,10.3,9.0,7.5,0.0,8.8,9.6,9.3,9.1,8.7
13,8.5,7.3,9.5,11.1,11.3,9.7,11.1,11.3,8.1,9.9,6.8,8.6
14,9.0,7.9,4.6,0.0,11.3,7.8,11.6,11.2,10.8,9.2,7.7,0.0
15,9.2,8.8,10.2,0.0,11.3,11.4,9.1,7.9,10.6,9.4,8.8,7.6
16,8.7,3.1,10.2,11.0,0.0,11.6,9.5,10.5,10.6,9.7,0.4,8.2
17,8.8,8.6,9.3,10.9,0.0,11.9,11.7,10.0,10.2,7.9,0.0,8.8
18,8.8,8.6,6.4,0.0,7.1,2.0,11.9,9.3,10.4,9.9,9.3,8.6
19,8.9,9.7,6.5,10.4,0.0,11.1,10.0,11.1,9.8,9.8,9.2,7.8
20,9.0,9.1,9.1,0.0,9.1,11.9,10.2,9.3,10.3,0.0,9.0,8.2
21,9.2,9.5,9.8,0.0,0.0,10.8,11.7,10.5,10.5,8.4,9.0,2.2
22,8.2,9.4,9.9,8.5,0.0,11.2,11.9,9.5,10.2,8.6,9.2,8.6
23,8.9,9.8,10.2,0.0,6.0,11.7,9.9,9.8,9.4,7.1,8.5,4.7
24,8.8,10.0,9.8,0.0,10.8,11.2,11.1,10.8,9.5,8.0,8.7,7.6
25,8.4,10.1,10.3,0.0,11.0,11.1,10.7,10.5,9.4,9.0,8.9,8.0
26,5.0,10.1,10.0,0.0,8.7,7.9,10.7,8.5,8.9,9.2,8.8,8.9
27,8.2,9.5,10.4,9.8,6.0,11.5,9.2,9.2,7.0,9.5,9.1,5.8
28,4.3,9.6,8.1,10.6,7.1,11.7,0.0,9.4,6.9,9.4,8.7,8.5
29,7.7,9.0,8.5,11.2,9.5,11.4,10.4,9.9,9.4,9.1,8.8,7.3
30,9.5,,7.6,11.2,11.1,11.6,8.6,10.0,7.9,8.9,7.2,7.8
31,9.5,,9.2,,11.0,,11.2,10.3,,9.5,,3.3
總和,260.4,248.9,267.9,199.8,184.1,253.7,308.1,302.1,289.3,280.9,230.2,223.1
