2010年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.5,0.0,0.0,0.0
2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,0.5,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,0.0
5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,23.0,0.0,0.0,2.5,0.0
6,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
8,10.5,0.0,0.0,12.0,1.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0
9,0.0,0.0,4.5,2.0,2.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.5,51.0,0.0,0.0,3.5,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.5,2.0,0.0,0.0,0.0,10.5,60.0,3.5,20.5,0.0,1.0,0.0
13,0.0,0.0,1.5,0.0,0.0,59.5,40.0,0.0,0.0,0.0,25.5,0.0
14,0.0,0.0,0.0,0.0,0.0,27.5,6.0,0.5,0.5,0.0,0.0,0.0
15,0.0,0.5,0.0,14.5,0.0,5.5,0.5,3.0,0.0,0.0,1.0,1.0
16,0.0,13.0,0.0,0.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,27.5
17,0.0,14.5,0.0,0.0,0.0,0.0,1.5,7.5,5.5,0.0,0.0,0.0
18,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.0,0.0,0.0
20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,1.0,14.5,0.0,2.5,2.0,0.0,0.0
22,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.5,0.0,0.0
23,0.0,0.5,0.0,18.0,70.0,5.0,20.0,0.5,0.0,0.5,0.0,0.0
24,0.0,0.0,0.0,0.5,0.0,28.0,3.5,2.0,0.0,0.0,0.0,0.0
25,4.0,3.0,1.0,0.0,0.0,53.0,2.5,55.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,67.5,1.5,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,22.5,149.5,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,11.5,3.0,22.5,85.0,0.5,0.0,0.0,0.0,0.0
29,0.0,,0.0,5.0,39.5,0.0,6.0,30.0,0.5,0.0,0.0,0.0
30,0.0,,0.0,12.5,14.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
31,0.0,,0.0,,0.0,,0.0,0.5,,0.0,,0.0
總和,23,70.5,7,86,130,310,460.5,144,194,9,34,28.5
