2011年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,19.1,18.6,21.9,21.2,27.0,28.5,30.4,31.5,29.7,30.4,28.0,24.8
2,18.8,18.8,22.0,21.7,27.1,28.4,30.7,31.5,29.9,30.3,28.1,24.5
3,18.8,18.9,22.0,22.3,27.1,28.4,30.7,31.4,29.7,29.8,28.2,23.8
4,18.7,19.1,21.9,22.8,27.2,28.6,31.0,31.5,30.0,29.3,28.3,23.3
5,18.9,19.3,21.9,22.5,27.2,29.1,31.2,31.6,30.3,29.3,28.6,23.1
6,19.2,19.5,21.9,22.5,27.4,29.6,31.3,31.7,30.4,29.5,28.6,23.0
7,19.2,19.7,22.0,22.8,27.4,30.0,31.4,31.3,30.5,29.6,28.6,23.2
8,19.2,20.0,21.5,23.3,27.7,30.3,31.4,31.5,30.5,29.6,28.2,23.6
9,19.3,20.3,21.0,23.7,28.3,30.7,31.6,31.6,30.4,29.7,27.4,23.4
10,19.5,20.5,21.1,24.1,28.7,31.1,31.8,31.3,30.5,29.5,25.3,22.8
11,19.4,20.8,21.2,24.5,29.0,31.3,31.2,31.1,30.6,29.5,25.0,22.3
12,18.9,20.5,21.4,24.5,29.4,31.4,30.8,31.0,30.5,29.5,25.3,22.0
13,18.4,20.2,21.7,24.7,29.9,31.7,30.3,31.1,30.5,29.5,25.6,22.0
14,18.7,20.0,22.2,25.0,29.9,32.0,30.3,31.2,30.5,29.4,25.7,22.2
15,19.0,19.3,22.6,25.2,29.3,32.2,30.3,31.4,30.5,29.2,25.9,22.5
16,18.7,19.1,22.6,25.7,28.9,32.3,30.1,31.6,30.5,28.9,25.9,22.5
17,18.2,19.4,22.0,26.1,28.5,32.4,30.1,31.7,30.6,28.7,25.9,22.2
18,18.1,20.0,22.0,26.1,27.7,32.5,30.1,31.9,30.6,28.6,26.0,21.9
19,18.2,20.0,22.0,26.0,27.7,32.5,30.1,31.9,30.7,28.4,26.2,21.5
20,18.7,19.8,22.4,25.9,27.6,32.2,29.8,31.7,30.6,28.4,26.3,21.4
21,18.9,19.7,23.2,25.9,27.7,32.1,29.4,31.8,30.3,28.4,26.0,21.4
22,18.8,19.5,23.7,26.1,28.0,31.7,29.8,31.9,30.1,28.5,25.8,21.5
23,18.8,19.8,23.3,26.2,28.1,31.3,30.3,32.0,30.0,28.6,25.7,21.4
24,18.9,20.4,22.6,26.3,27.9,31.3,30.7,32.2,30.0,28.6,25.5,21.2
25,18.9,20.8,22.3,26.5,28.0,31.2,31.0,32.1,29.9,28.7,25.2,20.7
26,19.0,21.1,22.2,26.7,28.2,30.8,31.0,32.0,30.0,28.5,25.0,20.4
27,19.1,21.4,21.8,27.0,28.5,30.8,30.9,32.2,30.2,28.2,24.8,20.3
28,19.3,21.6,21.0,27.4,28.4,30.6,31.0,32.1,30.3,28.2,24.6,20.4
29,19.3,,20.7,27.4,27.9,30.0,31.2,31.5,29.6,28.2,24.6,20.5
30,19.0,,20.9,27.1,28.0,30.1,31.2,30.9,29.6,28.2,24.6,20.6
31,18.8,,21.1,,28.3,,31.3,30.1,,28.1,,20.6
平均,18.9,19.9,21.9,24.9,28.1,30.8,30.7,31.6,30.3,29,26.3,22.1
