2011年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,9.91,12.14,10.72,16.41,9.76,7.02,16.80,14.65,12.00,12.89,12.61,3.63
2,10.07,10.19,11.74,16.61,6.41,7.83,10.54,10.64,9.01,3.12,10.89,2.37
3,4.16,12.46,13.08,14.43,13.49,9.76,17.10,16.39,15.76,9.53,8.20,11.21
4,9.09,12.47,12.90,4.61,7.10,16.75,14.32,16.48,14.73,15.30,11.80,10.02
5,10.47,13.47,10.39,11.00,13.04,19.03,16.83,18.26,14.55,14.59,10.14,0.55
6,3.99,13.03,7.62,12.30,7.07,18.69,15.98,8.44,14.37,13.33,9.65,7.47
7,7.38,13.02,9.44,16.99,11.07,17.47,13.45,16.36,12.89,10.45,3.30,7.46
8,7.75,11.34,3.18,17.04,18.37,19.31,15.63,13.11,10.56,10.43,6.49,6.39
9,8.23,11.92,9.32,15.64,17.29,7.87,17.19,13.11,11.51,6.25,4.20,2.95
10,5.15,11.55,6.57,13.60,16.88,18.02,5.93,14.68,14.04,7.75,6.04,4.46
11,2.86,9.41,8.35,7.59,15.07,18.57,9.32,12.83,13.86,7.13,5.46,6.10
12,2.36,5.38,12.43,13.85,16.51,19.58,9.97,12.52,12.04,7.97,5.92,5.91
13,8.64,9.83,14.01,15.21,15.69,18.98,13.03,14.09,11.74,8.12,7.50,6.19
14,7.87,3.30,12.70,11.25,5.86,18.97,12.57,15.94,11.40,7.88,11.30,6.93
15,5.74,6.63,10.95,15.80,7.30,16.37,9.16,16.78,11.06,7.83,10.63,7.66
16,4.15,8.77,5.92,12.43,11.09,15.87,12.39,17.55,9.56,8.22,4.79,5.70
17,11.45,12.45,9.03,8.46,3.30,16.72,11.36,17.80,14.96,12.81,5.50,10.27
18,7.60,4.82,6.54,11.62,8.42,18.97,12.52,16.84,15.43,9.51,4.27,9.67
19,11.52,4.53,10.27,17.42,8.63,14.25,6.26,11.17,14.52,13.28,7.23,10.31
20,4.20,7.61,14.09,16.52,9.63,19.45,5.41,16.39,8.17,11.17,7.94,4.19
21,5.29,3.52,4.78,15.27,14.01,8.08,13.89,16.42,14.24,12.67,7.91,7.14
22,3.66,13.39,9.13,12.01,13.46,7.42,17.64,16.08,14.46,12.17,6.97,3.76
23,11.38,11.87,5.81,13.42,8.79,6.97,17.84,16.85,14.57,12.34,9.66,8.21
24,10.09,12.03,6.64,15.65,12.22,12.49,18.65,13.11,9.82,11.78,10.60,9.27
25,11.08,11.59,11.44,15.22,14.13,5.98,13.58,13.84,11.10,8.63,7.99,9.75
26,11.70,11.99,4.41,14.23,15.87,11.69,14.74,16.73,13.95,9.14,2.86,9.97
27,11.12,10.64,1.51,15.58,9.90,13.21,19.00,14.70,13.05,12.60,4.54,9.78
28,7.84,13.39,7.06,10.60,9.31,5.05,15.82,3.76,4.13,12.80,9.84,9.02
29,5.40,,14.51,4.71,18.90,10.95,17.08,4.70,12.17,11.06,10.44,10.43
30,8.28,,10.84,5.74,16.92,13.87,17.99,4.80,0.44,11.29,10.20,4.41
31,10.18,,6.93,,11.91,,16.53,3.12,,11.83,,2.63
平均,7.7,10.1,9.1,13,11.9,13.8,13.8,13.5,12,10.4,7.8,6.9
