2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,7.5,7.1,7.4,8.8,9.7,11.2,6.3,2.7,7.5,7.0,4.5,0.5
2,1.3,8.0,8.5,1.3,5.7,10.6,7.7,0.0,8.7,10.2,6.8,0.0
3,8.5,1.2,5.6,4.4,6.7,5.2,9.2,2.9,8.9,10.1,7.1,0.0
4,0.5,9.3,6.8,7.1,2.0,5.2,9.8,3.4,10.5,9.3,8.9,1.5
5,0.0,8.5,10.9,3.1,5.0,7.1,4.1,7.5,9.7,7.3,2.6,0.3
6,0.0,5.7,8.6,0.8,9.4,6.5,3.7,0.7,8.5,2.6,7.8,4.4
7,0.7,0.4,8.6,0.4,10.2,7.6,8.2,6.0,5.4,8.1,8.3,5.4
8,7.9,0.0,5.5,6.2,9.5,8.7,8.1,9.0,7.6,9.0,8.9,0.0
9,6.8,2.9,0.2,3.2,10.1,2.2,11.3,2.4,7.0,6.7,8.9,0.0
10,8.1,7.0,1.0,8.7,1.7,1.4,10.1,4.4,6.9,9.7,8.5,4.7
11,2.7,3.5,0.0,10.9,4.6,0.7,8.7,5.2,5.1,9.2,8.0,7.3
12,1.8,0.3,0.0,6.1,7.1,0.3,11.0,5.6,8.4,9.0,3.6,7.6
13,0.0,6.9,4.6,10.7,10.7,2.6,9.6,8.4,10.4,9.4,9.7,8.2
14,1.1,6.2,0.7,8.7,12.0,0.0,7.8,4.3,7.9,9.7,8.8,9.1
15,5.8,6.7,7.2,9.6,9.6,2.3,4.6,2.6,9.8,9.1,8.3,8.1
16,0.0,5.0,8.1,3.6,0.6,1.1,4.8,2.6,10.3,8.7,8.0,6.3
17,6.6,1.8,7.6,0.6,0.3,6.7,7.6,4.4,10.8,9.0,0.0,8.5
18,5.9,5.3,7.8,6.1,1.2,5.9,4.0,1.8,8.0,9.0,0.0,2.1
19,8.3,3.3,4.4,3.8,1.8,0.9,8.9,6.0,3.7,8.4,7.7,2.6
20,5.4,4.6,3.6,2.6,1.9,0.0,4.2,6.8,6.4,7.3,3.2,9.4
21,5.1,0.0,5.9,3.5,10.7,0.0,5.7,10.7,9.9,8.5,0.5,7.6
22,0.3,5.8,6.2,1.8,8.7,4.4,3.5,8.2,7.9,10.0,5.5,8.7
23,0.4,4.0,8.4,5.6,10.8,5.2,5.0,6.6,9.0,9.4,0.2,0.1
24,4.4,1.0,0.0,8.5,11.3,10.8,5.3,0.0,9.5,8.4,0.7,6.0
25,2.2,2.2,6.0,7.5,10.6,11.3,3.4,0.4,9.7,8.9,8.8,6.5
26,5.6,0.2,7.6,1.3,5.6,9.2,5.3,7.3,8.2,7.8,3.2,7.4
27,7.5,0.0,9.7,1.7,6.0,9.1,5.0,2.3,8.8,3.5,0.0,1.2
28,8.2,0.0,9.2,1.0,0.6,4.7,5.5,0.0,1.6,6.0,2.3,7.5
29,7.0,8.2,7.0,8.6,5.5,2.3,8.6,6.4,8.1,7.3,2.6,8.5
30,5.9,,8.6,4.3,6.4,7.4,0.7,7.1,7.2,2.6,0.0,0.1
31,7.7,,8.5,,9.2,,0.7,4.9,,0.8,,3.4
總和,133.2,115.1,184.2,150.5,205.2,150.6,198.4,140.6,241.4,242,153.4,143
