2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,5.2,7.7,10.5,6.5,11.4,8.0,8.3,6.4,11.5,6.1,5.8,9.0
2,9.4,6.4,8.1,8.8,4.9,8.7,10.3,7.8,4.3,10.5,5.6,5.5
3,8.7,8.2,6.7,8.6,5.2,6.2,9.0,7.7,8.1,9.1,7.2,5.6
4,7.0,6.4,5.6,8.9,6.2,8.5,9.8,7.0,6.2,9.8,5.9,8.2
5,9.3,9.1,8.2,11.0,6.9,7.3,11.9,6.7,6.1,12.8,4.8,5.8
6,8.5,7.3,8.7,11.1,7.5,7.0,11.8,7.5,5.5,12.8,6.9,9.5
7,7.2,10.3,7.2,8.2,7.3,8.2,11.2,8.7,6.4,8.2,4.6,6.7
8,6.7,9.9,7.0,6.7,6.6,9.1,13.1,7.5,5.6,7.7,6.3,5.8
9,9.6,9.1,6.4,8.3,6.6,8.2,8.9,7.3,6.6,6.9,4.6,9.6
10,8.7,7.7,8.6,8.0,10.4,8.2,8.8,8.6,5.7,7.5,5.7,6.4
11,7.4,6.3,8.8,4.3,9.1,8.7,9.3,8.6,6.6,6.4,5.5,6.9
12,8.8,8.1,6.1,5.5,6.9,8.5,14.4,7.0,8.2,5.9,5.9,5.2
13,13.4,6.9,8.9,3.9,5.7,8.0,18.7,5.7,7.8,6.6,6.5,7.9
14,12.6,7.2,7.5,7.0,7.2,7.0,12.2,10.9,6.3,8.6,8.1,8.8
15,6.5,8.9,6.3,6.1,12.6,4.8,9.8,8.6,9.6,8.7,7.4,5.4
16,7.8,6.9,6.7,7.0,7.9,6.4,6.4,7.5,7.1,28.4,7.2,13.0
17,13.7,6.6,7.4,5.1,10.3,7.1,5.9,6.7,6.7,6.1,8.1,11.7
18,7.3,6.1,8.0,6.1,9.9,7.9,6.1,5.7,5.5,6.5,8.5,11.7
19,8.1,9.3,8.5,4.9,9.8,8.0,12.1,7.1,5.8,8.5,4.3,10.9
20,6.5,8.7,8.8,6.6,16.2,5.7,7.1,10.6,6.7,9.8,4.3,5.9
21,5.1,8.0,6.2,6.1,10.4,6.7,7.1,12.7,8.7,9.1,4.6,8.2
22,8.7,10.3,5.8,5.4,14.2,6.4,7.7,19.6,5.2,10.1,5.7,6.9
23,7.2,8.1,7.7,8.0,6.6,12.8,7.3,12.4,5.4,10.6,5.2,8.2
24,7.4,6.5,6.5,9.0,8.0,14.5,9.9,12.2,6.2,13.1,7.8,7.3
25,7.9,6.4,7.5,11.1,8.1,10.5,8.8,7.9,6.1,8.1,11.0,8.8
26,6.5,4.6,11.3,6.1,7.7,12.0,9.5,6.4,7.8,8.9,6.6,12.8
27,9.8,8.6,13.5,5.6,10.5,10.3,7.0,8.9,6.3,6.3,9.3,11.7
28,5.8,5.2,10.2,5.8,6.5,9.1,7.5,7.2,6.6,6.4,10.9,6.3
29,6.3,,6.7,7.7,7.7,7.9,7.1,14.2,6.9,5.4,9.9,6.3
30,7.5,,6.5,11.9,9.3,8.1,9.8,11.1,6.3,5.8,5.8,6.5
31,8.3,,7.8,,7.3,,6.7,11.9,,8.2,,7.2
平均,8.2,7.7,7.9,7.3,8.5,8.3,9.5,9,6.7,9,6.7,8.1
