2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1014.6,1015.1,1007.9,1008.6,1008.6,1005.6,1000.6,1000.3,1006.4,1007.7,1008.2,1013.7
2,1014.0,/,1007.9,1009.0,1008.1,1005.7,1000.5,999.8,1003.7,1008.9,1009.2,1012.1
3,1014.0,1018.3,1007.0,1009.7,1009.8,/,1000.1,1000.1,1002.2,1008.1,1011.0,1012.3
4,1012.7,1018.8,1007.9,1008.7,1011.2,1004.5,999.8,1001.3,1001.1,1005.5,1011.2,1012.0
5,1011.0,1019.5,1008.5,1007.8,1011.6,1004.9,999.7,1002.1,1001.5,1005.1,1011.6,1010.8
6,1010.7,1016.6,1012.5,1009.6,1007.9,1004.1,999.8,1001.2,1001.9,1008.2,1012.4,1010.7
7,1009.8,1014.8,1011.8,1016.2,1004.9,1002.6,1000.7,1000.4,1002.5,1008.9,1012.7,1013.1
8,1009.6,1012.8,/,1015.2,1005.0,999.0,1002.0,/,1003.7,1008.5,1011.9,1014.6
9,1015.8,1011.4,1015.4,1013.7,1009.3,996.1,1002.2,1001.1,1004.5,1008.0,1012.2,1014.2
10,1018.8,1012.2,1016.3,1010.8,1010.4,995.7,998.9,999.7,1003.8,1008.6,1013.0,1012.5
11,/,1016.4,1016.5,1008.0,1009.2,996.7,997.1,996.6,1003.9,1010.6,1012.1,1012.7
12,1020.9,1019.8,1014.5,/,1007.6,998.6,1001.8,993.3,1005.0,1012.3,1009.7,1016.6
13,1020.2,/,1012.7,1008.3,1007.0,995.2,1002.3,994.8,1004.6,/,1008.9,/
14,1017.0,1014.8,1011.1,/,1006.6,992.2,1001.7,996.0,1002.3,1010.0,1010.7,1018.2
15,/,1011.6,1009.6,1007.8,1006.0,993.6,1001.4,/,996.4,1009.1,1011.7,1017.0
16,1009.8,1010.0,1010.2,1010.2,1004.9,999.2,999.2,997.5,1002.2,1007.9,1011.1,1015.5
17,1009.2,1011.8,1012.8,1011.7,1004.3,999.9,998.0,996.6,1008.3,1007.2,1011.3,1015.7
18,1011.3,1013.2,1011.6,/,1003.8,999.9,999.8,998.5,1009.4,1008.9,1011.5,1016.4
19,1012.3,1011.6,1007.8,1010.0,1004.1,1002.3,1001.2,999.9,1007.6,1012.0,1012.1,1015.6
20,1011.3,1010.2,1007.2,1009.9,1004.9,1003.1,999.3,999.1,1006.5,1013.4,1012.4,1012.6
21,1009.9,1009.9,1010.8,/,1005.8,/,996.5,996.6,1007.6,1012.2,1011.7,1012.3
22,1008.5,1012.5,1011.3,1007.3,1006.1,/,997.4,994.7,1009.4,1010.4,1013.3,1012.2
23,/,1014.1,1013.7,1004.9,1005.9,/,/,991.7,1008.3,1011.5,1014.0,1011.5
24,1010.2,1014.5,1014.9,1005.0,1005.7,/,1002.3,994.8,1004.0,1011.5,1013.8,1011.1
25,1010.7,1013.1,1014.7,1006.9,1003.5,1006.8,1002.9,994.5,1001.9,1011.7,1013.0,1009.3
26,1011.5,1013.6,1013.2,1008.5,1004.4,1007.0,1002.7,996.2,1002.0,1011.1,1013.8,1008.2
27,1011.7,1012.8,1011.0,1010.4,1005.0,1005.7,1002.8,999.9,1002.1,1011.5,1013.4,1010.5
28,1009.5,1009.4,1009.5,1010.1,1004.8,1003.1,1002.4,1002.6,1001.6,1010.4,1014.2,1014.5
29,1012.2,,1009.3,1008.9,1006.0,1000.3,1001.4,1003.3,1001.0,1008.0,1015.5,1018.6
30,1013.4,,1009.3,1009.1,1006.3,1000.6,1001.3,1005.9,1004.7,1007.0,1015.3,1018.3
31,1013.6,,/,,1005.9,,1001.1,1008.0,,1008.0,,1019.4
平均,1012.7,1013.8,1011.3,1009.5,1006.6,1000.9,1000.6,998.8,1004,1009.4,1012.1,1013.7
