2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1.3,2.1,1.1,1.0,1.1,1.5,1.2,1.3,1.0,1.2,2.1,1.1
2,1.1,/,1.1,1.1,1.2,1.2,1.9,1.5,0.9,1.6,1.2,1.0
3,0.7,2.6,0.9,1.0,1.3,/,1.9,1.5,1.1,1.6,1.3,1.0
4,1.0,2.2,1.0,1.0,0.9,1.0,1.7,1.3,1.2,3.6,1.0,1.6
5,1.5,2.4,1.7,0.8,1.0,1.2,1.5,1.1,1.0,2.0,1.1,1.9
6,0.7,1.7,1.9,2.0,1.4,1.2,1.3,1.3,1.1,1.0,0.9,1.4
7,1.1,1.2,1.7,1.5,1.3,1.0,1.1,1.3,1.3,1.4,0.9,2.8
8,1.8,1.1,/,1.3,1.2,1.1,0.9,/,1.0,1.1,1.0,2.6
9,2.3,1.4,2.1,1.2,1.0,1.1,1.7,1.3,2.3,1.2,1.2,2.4
10,1.9,1.9,1.4,1.3,1.3,1.2,1.6,1.2,2.0,1.3,0.9,2.1
11,/,2.5,1.1,1.0,0.9,1.0,1.8,1.1,0.9,2.3,1.0,2.3
12,1.8,1.8,1.1,/,0.8,0.9,1.1,1.2,1.2,1.3,1.1,2.5
13,0.9,/,1.1,1.1,1.1,1.3,1.1,1.2,0.9,/,1.6,/
14,1.1,1.0,0.9,/,1.1,1.1,0.9,1.2,1.1,1.0,1.3,1.7
15,/,1.4,1.3,1.8,1.3,1.7,0.8,/,0.8,1.2,1.1,1.1
16,1.2,1.4,1.6,1.4,1.5,1.1,1.0,1.3,1.3,1.6,1.1,2.1
17,1.4,1.5,1.5,1.4,1.3,1.5,1.0,1.4,1.0,1.8,1.6,2.3
18,1.1,1.5,1.0,/,1.3,2.2,1.6,0.8,1.8,1.4,1.2,0.9
19,1.5,1.2,1.2,0.8,1.1,2.4,1.3,1.1,1.1,1.3,2.4,1.0
20,1.2,1.4,1.7,0.9,1.1,2.3,1.5,1.0,0.9,1.1,0.8,1.0
21,1.2,2.0,2.9,/,1.1,/,1.0,0.9,0.9,1.0,1.3,1.3
22,2.0,2.0,1.2,1.1,1.0,/,1.1,1.3,1.6,1.4,2.7,2.0
23,/,1.5,1.1,1.1,1.1,/,/,2.9,1.0,1.6,1.2,1.8
24,1.3,1.4,1.0,1.1,1.1,/,1.1,3.8,1.7,1.2,0.8,2.6
25,1.8,2.0,1.1,1.1,1.3,1.2,1.1,1.1,1.4,0.9,1.2,2.2
26,2.2,1.7,1.3,0.9,1.5,1.2,1.0,1.1,2.8,1.1,2.2,3.0
27,1.1,1.2,1.4,1.1,1.3,1.2,1.2,2.2,2.6,2.1,1.4,3.8
28,2.0,1.0,1.2,0.8,1.3,1.2,1.5,2.7,3.3,1.6,1.5,2.9
29,2.3,,1.0,0.9,1.2,1.3,1.1,1.5,3.6,1.0,1.1,2.8
30,1.3,,1.1,0.9,1.2,1.2,1.1,1.1,1.2,0.8,0.7,1.2
31,2.2,,/,,1.3,,1.0,0.6,,1.5,,2.4
平均,1.5,1.7,1.3,1.1,1.2,1.3,1.3,1.4,1.5,1.4,1.3,2
