2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,340.0,340.0,350.0,250.0,270.0,10.0,190.0,240.0,20.0,340.0,330.0,330.0
2,300.0,/,300.0,310.0,280.0,310.0,150.0,280.0,290.0,340.0,180.0,330.0
3,320.0,350.0,260.0,300.0,320.0,/,160.0,180.0,270.0,350.0,360.0,350.0
4,350.0,350.0,280.0,320.0,270.0,310.0,180.0,180.0,280.0,360.0,350.0,10.0
5,340.0,30.0,340.0,320.0,310.0,290.0,190.0,100.0,270.0,10.0,310.0,360.0
6,10.0,10.0,10.0,10.0,250.0,300.0,170.0,330.0,180.0,330.0,290.0,10.0
7,30.0,330.0,340.0,30.0,200.0,330.0,280.0,270.0,290.0,320.0,290.0,10.0
8,340.0,10.0,/,270.0,290.0,310.0,280.0,/,320.0,340.0,340.0,360.0
9,40.0,340.0,40.0,260.0,30.0,300.0,50.0,310.0,350.0,330.0,300.0,10.0
10,340.0,330.0,320.0,300.0,300.0,280.0,320.0,330.0,360.0,330.0,270.0,340.0
11,/,340.0,300.0,280.0,300.0,30.0,210.0,330.0,260.0,10.0,350.0,360.0
12,340.0,360.0,340.0,/,260.0,310.0,80.0,320.0,330.0,360.0,350.0,350.0
13,330.0,/,320.0,270.0,260.0,340.0,280.0,190.0,310.0,/,340.0,/
14,360.0,290.0,320.0,/,280.0,290.0,160.0,130.0,340.0,330.0,300.0,360.0
15,/,300.0,30.0,320.0,260.0,330.0,10.0,/,40.0,330.0,300.0,340.0
16,340.0,300.0,10.0,310.0,260.0,190.0,300.0,270.0,360.0,330.0,310.0,340.0
17,340.0,350.0,320.0,310.0,270.0,190.0,300.0,260.0,160.0,350.0,10.0,10.0
18,330.0,340.0,350.0,/,270.0,180.0,290.0,280.0,360.0,350.0,360.0,310.0
19,360.0,330.0,280.0,310.0,230.0,250.0,300.0,180.0,310.0,330.0,340.0,280.0
20,330.0,310.0,340.0,300.0,280.0,160.0,170.0,290.0,260.0,360.0,170.0,280.0
21,310.0,360.0,30.0,/,330.0,/,330.0,200.0,270.0,330.0,340.0,360.0
22,360.0,360.0,350.0,300.0,300.0,/,40.0,250.0,340.0,340.0,360.0,350.0
23,/,340.0,350.0,160.0,280.0,/,/,170.0,310.0,330.0,350.0,10.0
24,330.0,320.0,320.0,260.0,300.0,/,180.0,180.0,10.0,350.0,300.0,10.0
25,330.0,340.0,260.0,280.0,270.0,270.0,150.0,180.0,350.0,320.0,10.0,10.0
26,330.0,340.0,330.0,310.0,260.0,310.0,160.0,180.0,350.0,340.0,20.0,330.0
27,340.0,30.0,340.0,330.0,270.0,160.0,170.0,200.0,360.0,360.0,10.0,360.0
28,340.0,320.0,320.0,330.0,280.0,270.0,320.0,190.0,10.0,340.0,330.0,360.0
29,350.0,,310.0,310.0,280.0,260.0,280.0,190.0,10.0,340.0,330.0,10.0
30,320.0,,310.0,260.0,270.0,50.0,270.0,200.0,340.0,340.0,280.0,280.0
31,10.0,,/,,290.0,,260.0,280.0,,360.0,,360.0
平均,291.4,285.4,267.9,269.6,268.4,241.2,207.7,230.7,257,318.3,272.7,239.3
