2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,10.0,330.0,350.0,250.0,260.0,200.0,210.0,,,,,
2,10.0,360.0,10.0,310.0,360.0,260.0,230.0,,,,,
3,360.0,340.0,350.0,360.0,350.0,240.0,250.0,,,,,
4,10.0,330.0,360.0,350.0,250.0,240.0,330.0,,,,,
5,360.0,280.0,340.0,350.0,340.0,190.0,360.0,,,,,
6,10.0,340.0,360.0,340.0,330.0,190.0,250.0,,,,,
7,10.0,350.0,360.0,350.0,260.0,200.0,240.0,,,,,
8,10.0,360.0,360.0,360.0,270.0,20.0,,,,,,
9,20.0,320.0,360.0,10.0,300.0,10.0,,,,,,
10,360.0,340.0,340.0,360.0,260.0,360.0,,,,,,
11,10.0,10.0,310.0,330.0,240.0,350.0,,,,,,
12,20.0,10.0,350.0,330.0,260.0,30.0,,,,,,
13,360.0,350.0,350.0,340.0,270.0,260.0,,,,,,
14,360.0,330.0,350.0,360.0,280.0,230.0,,,,,,
15,360.0,350.0,330.0,350.0,250.0,200.0,,,,,,
16,330.0,340.0,340.0,340.0,230.0,180.0,,,,,,
17,10.0,10.0,360.0,360.0,260.0,210.0,,,,,,
18,360.0,360.0,340.0,340.0,260.0,210.0,,,,,,
19,330.0,310.0,340.0,340.0,250.0,180.0,,,,,,
20,350.0,350.0,350.0,290.0,240.0,180.0,,,,,,
21,360.0,310.0,360.0,330.0,250.0,180.0,,,,,,
22,340.0,360.0,10.0,320.0,270.0,200.0,,,,,,
23,360.0,350.0,340.0,360.0,260.0,190.0,,,,,,
24,350.0,340.0,20.0,350.0,270.0,210.0,,,,,,
25,360.0,310.0,360.0,70.0,340.0,200.0,,,,,,
26,340.0,340.0,350.0,250.0,240.0,190.0,,,,,,
27,10.0,360.0,320.0,320.0,250.0,190.0,,,,,,
28,10.0,350.0,280.0,360.0,220.0,180.0,,,,,,
29,310.0,,280.0,20.0,190.0,180.0,,,,,,
30,340.0,,250.0,290.0,180.0,220.0,,,,,,
31,320.0,,280.0,,250.0,,,,,,,
平均,217.7,303.2,305.2,303,265.8,196,267.1, , , , , 
