2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1023.5,1019.9,1016.6,1009.0,1013.1,1008.1,1008.6,,,,,
2,1021.5,1019.7,1018.0,1010.7,1014.7,1008.8,1009.0,,,,,
3,1021.6,1021.4,1020.2,1012.1,1014.2,1007.4,1008.4,,,,,
4,1020.1,1021.5,1019.2,1013.6,1012.1,1004.7,1009.1,,,,,
5,1018.7,1019.6,1016.9,1016.8,1013.7,1004.9,1007.9,,,,,
6,1017.9,1018.0,1017.3,1017.1,1015.5,1006.2,1007.4,,,,,
7,1019.1,1018.1,1018.6,1015.8,1013.4,1010.1,1012.1,,,,,
8,1022.7,1018.7,1019.6,1014.3,1010.7,1010.8,,,,,,
9,1022.5,1018.2,1019.8,1016.5,1010.3,1009.1,,,,,,
10,1021.7,1014.0,1020.0,1018.5,1009.9,1007.7,,,,,,
11,1022.4,1011.6,1020.0,1018.8,1009.8,1008.4,,,,,,
12,1021.3,1014.0,1018.8,1016.7,1009.9,1011.2,,,,,,
13,1018.9,1015.3,1018.1,1014.6,1010.2,1010.6,,,,,,
14,1017.6,1014.7,1016.5,1014.1,1010.8,1007.8,,,,,,
15,1016.1,1014.9,1015.3,1013.4,1010.2,1006.0,,,,,,
16,1016.4,1016.0,1013.4,1013.7,1010.3,1008.2,,,,,,
17,1021.0,1018.9,1013.8,1014.5,1011.0,1009.1,,,,,,
18,1021.3,1023.0,1013.0,1013.6,1010.8,1007.9,,,,,,
19,1019.6,1022.6,1013.1,1012.7,1009.5,1005.9,,,,,,
20,1018.2,1020.5,1011.7,1012.1,1009.9,1004.2,,,,,,
21,1015.0,1018.5,1015.6,1011.0,1009.5,1004.6,,,,,,
22,1011.5,1016.6,1021.4,1008.3,1008.8,1006.2,,,,,,
23,1013.2,1014.7,1019.7,1007.5,1009.4,1007.4,,,,,,
24,1016.9,1013.8,1017.1,1010.2,1010.7,1007.5,,,,,,
25,1017.7,1011.3,1016.6,1012.4,1011.0,1007.5,,,,,,
26,1016.8,1010.3,1015.7,1013.8,1010.4,1009.1,,,,,,
27,1017.3,1014.1,1012.4,1015.9,1010.3,1008.1,,,,,,
28,1019.9,1016.0,1009.7,1015.4,1010.1,1007.2,,,,,,
29,1021.0,,1008.8,1013.1,1008.2,1008.0,,,,,,
30,1022.5,,1007.9,1012.6,1006.2,1008.5,,,,,,
31,1022.3,,1008.2,,1006.2,,,,,,,
平均,1019.2,1017,1015.9,1013.6,1010.7,1007.7,1008.9, , , , , 
