2010年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,15.1,18.9,19.8,17.9,19.8,24.7,27.3,24.9,24.7,25.2,18.7,19.0
2,14.7,18.8,21.5,22.3,21.3,23.5,27.9,24.8,24.4,25.7,18.3,21.1
3,16.3,17.0,22.1,20.4,21.7,23.6,26.7,24.6,24.3,24.3,19.0,20.1
4,14.4,17.1,20.7,19.6,22.6,23.7,26.9,24.3,23.3,24.7,21.2,21.2
5,15.9,16.5,21.2,20.4,23.1,23.9,27.1,25.7,24.5,24.3,20.7,19.6
6,15.7,19.0,21.1,22.4,25.3,24.3,27.4,24.9,25.8,24.3,21.8,20.6
7,15.4,18.3,20.9,21.7,25.5,25.1,27.5,26.7,25.2,22.9,21.9,15.3
8,14.7,18.4,18.6,19.5,26.5,23.8,26.7,26.3,24.7,24.2,23.1,12.8
9,14.2,19.2,12.7,19.1,26.8,25.2,26.5,26.7,24.0,24.4,21.1,11.9
10,13.5,19.1,12.0,19.1,25.9,25.7,26.7,26.3,24.9,24.6,21.3,13.5
11,13.9,19.8,12.4,21.7,25.3,24.2,25.9,26.7,24.3,24.8,19.5,18.1
12,12.0,16.6,15.6,21.1,25.1,24.3,28.0,26.2,24.4,25.5,19.5,16.3
13,10.3,16.0,19.8,22.5,25.3,24.6,26.3,25.6,23.9,25.6,19.7,17.9
14,9.5,15.4,20.7,19.9,24.5,24.5,24.0,26.4,24.3,25.2,20.5,20.6
15,10.5,18.5,21.9,19.0,23.5,24.9,22.5,24.0,24.7,24.1,22.3,20.1
16,12.0,15.5,19.9,17.1,23.7,24.3,24.3,24.4,25.8,23.8,20.7,11.1
17,13.2,14.7,19.2,19.3,24.3,25.5,25.2,24.8,24.4,24.0,20.6,10.8
18,14.5,13.0,19.2,20.3,25.6,26.6,25.4,23.9,25.5,24.2,20.6,10.3
19,15.5,11.9,19.7,21.5,25.3,25.5,24.7,25.0,23.5,25.1,20.1,15.5
20,16.1,13.2,20.0,23.0,23.9,26.2,24.5,26.0,23.1,25.1,20.7,16.0
21,17.7,15.1,21.6,23.5,25.6,26.9,25.5,25.8,22.2,24.1,20.4,16.4
22,17.8,14.7,21.5,23.5,25.6,25.9,25.0,26.0,23.9,23.8,21.0,17.3
23,17.2,14.7,20.4,19.8,24.1,26.3,25.5,24.9,24.6,25.9,19.5,17.0
24,17.1,15.6,23.0,19.9,24.2,24.8,25.5,24.7,24.6,23.7,18.7,15.9
25,18.1,20.3,14.4,20.8,24.9,25.1,25.5,23.1,24.5,22.2,18.6,15.9
26,15.6,21.2,14.4,20.7,24.8,24.7,24.3,21.6,25.6,21.8,18.0,12.3
27,16.5,20.3,15.6,22.3,26.3,25.9,23.5,24.5,25.5,19.6,16.7,9.3
28,17.1,22.3,16.7,23.0,24.8,26.7,24.2,25.9,25.9,19.0,17.0,10.6
29,17.8,,18.0,22.5,25.3,25.9,24.5,25.5,25.1,18.7,17.6,13.1
30,17.8,,16.5,19.4,24.4,26.2,24.9,25.5,25.1,18.5,17.9,14.9
31,18.8,,18.8,,24.0,,24.7,25.1,,18.0,,13.5
平均,15.1,17.2,18.7,20.8,24.5,25.1,25.6,25.2,24.6,23.5,19.9,15.7
