2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1014.9,1013.6,1009.1,1013.3,1004.3,1001.8,1005.3,983.5,1004.6,1008.4,1009.7,1009.1
2,1014.6,1014.1,1007.9,1011.2,1003.5,999.2,1003.8,989.1,1004.5,1007.3,1010.1,1007.8
3,1014.1,1015.5,1008.7,1011.2,1002.8,997.4,1001.1,994.8,1004.7,1004.4,1009.9,1010.1
4,1016.3,1021.3,1008.1,1011.6,1002.6,997.3,1000.8,996.8,1006.3,1004.7,1008.6,1010.7
5,1016.4,1011.7,1005.5,1008.9,1003.9,998.3,1002.4,997.8,1007.8,1007.8,1009.0,1010.4
6,1015.3,1007.2,1005.3,1010.2,1005.2,999.4,1003.6,997.0,1008.6,1009.6,1010.2,1011.7
7,1017.2,1007.9,1004.2,1012.0,1005.5,999.5,1003.1,996.2,1008.8,1008.6,1010.3,1012.1
8,1016.4,1013.8,1005.1,1011.6,1004.2,1002.2,1002.9,995.8,1007.4,1007.0,1009.5,1009.5
9,1015.1,1014.2,1007.2,1010.7,1004.1,1002.2,1003.3,997.9,1006.1,1005.5,1009.0,1009.2
10,1014.8,1013.4,1010.5,1009.4,1004.3,999.3,1002.7,1001.2,1005.6,1004.7,1008.9,1010.6
11,1016.4,1014.3,1012.4,1006.8,1003.5,998.2,1002.7,1002.9,1005.5,1004.4,1010.2,1011.6
12,1016.2,1014.4,1014.2,1005.9,1002.5,995.5,1003.1,1002.0,1004.7,1004.8,1011.5,1013.8
13,1014.1,1012.8,1014.1,1006.5,1001.7,997.3,1002.8,1000.9,1003.4,1005.4,1010.2,1014.9
14,1010.2,1010.3,1012.4,1007.0,1003.4,997.3,1002.1,1000.2,1002.0,1006.8,1010.8,1013.8
15,1005.2,1007.6,1011.2,1005.4,1003.9,997.8,1003.1,998.0,1001.2,1008.2,1012.6,1011.1
16,1006.8,1009.2,1008.7,1004.5,1003.4,999.3,1003.6,999.5,1002.3,1007.0,1012.2,1010.4
17,1009.3,1012.3,1007.8,1005.4,1003.8,1000.4,1002.8,1004.1,1004.9,1006.5,1010.0,1011.3
18,1009.3,1014.5,1008.3,1005.0,1005.8,998.1,1002.8,1005.0,1004.9,1010.2,1010.6,1012.7
19,1008.8,1015.1,1008.8,1005.1,1004.9,996.2,1002.5,1003.5,1005.9,1012.2,1011.2,1014.1
20,1009.8,1013.5,1008.3,1004.9,1001.4,995.7,999.8,1001.9,1006.8,1012.3,1011.7,1013.4
21,1009.7,1011.3,1009.7,1003.8,1001.1,1002.2,997.7,1001.4,1006.2,1012.3,1009.4,1011.5
22,1010.2,1005.1,1009.3,1005.7,1003.4,1004.1,997.0,999.2,1004.5,1010.8,1007.2,1011.4
23,1012.6,1004.8,1007.4,1005.9,1003.2,1003.2,997.3,995.6,1002.5,1009.5,1008.0,1015.6
24,1011.3,1005.1,1011.3,1004.7,1002.8,1003.4,1000.7,990.1,1002.0,1009.7,1011.6,1015.9
25,1012.5,1005.6,1013.0,1004.5,1002.9,1002.7,1003.8,999.4,1002.7,1009.7,1011.2,1014.5
26,1013.9,1009.0,1014.3,1005.3,1003.3,1002.4,1002.4,997.4,1002.7,1009.4,1009.2,1012.9
27,1011.4,1010.2,1015.6,1005.8,1003.4,1002.7,1000.9,994.3,1000.0,1010.5,1011.8,1011.5
28,1009.9,1007.2,1014.7,1006.6,1004.2,999.4,1000.7,996.9,997.3,1011.0,1010.3,1010.7
29,1011.0,1008.9,1013.2,1005.2,1004.5,998.8,998.1,1004.0,1003.8,1009.7,1009.4,1009.7
30,1012.7,,1010.8,1004.3,1002.9,1002.8,992.9,1004.4,1007.4,1007.1,1008.8,1010.9
31,1013.6,,1011.6,,1002.0,,988.0,1004.7,,1007.8,,1014.5
平均,1012.6,1011.2,1010,1007.3,1003.5,999.8,1001.1,998.6,1004.5,1008.2,1010.1,1011.9
