2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1010.8,1007.6,1006.9,1003.4,1006.8,1000.9,1003.8,994.5,1004.1,1003.9,1004.9,1006.6
2,1008.9,1002.6,1007.2,1005.4,1008.7,998.9,1001.2,996.2,1003.9,1001.9,1005.5,1011.4
3,1006.4,1002.6,1010.2,1004.9,1008.0,999.5,997.9,996.9,1002.5,1001.6,1007.7,1012.6
4,1008.1,1005.6,1009.9,1008.7,1005.6,998.5,999.6,997.3,1001.2,1002.5,1009.7,1010.7
5,1010.1,1006.5,1010.8,1009.7,1006.1,999.0,998.9,998.6,999.2,1004.8,1009.8,1013.3
6,1010.8,1004.5,1010.8,1010.8,1009.2,998.0,997.5,998.0,1000.1,1006.0,1010.1,1011.8
7,1010.0,1002.8,1012.4,1010.2,1006.8,998.1,993.3,997.6,1003.1,1005.5,1010.4,1011.3
8,1009.2,1004.1,1010.4,1006.8,1004.9,995.7,990.3,997.7,1002.6,1003.2,1010.5,1010.9
9,1012.8,1003.1,1011.8,1005.6,1005.5,994.4,996.9,999.2,1002.5,1000.8,1009.9,1012.5
10,1015.2,1006.5,1015.2,1007.4,1004.3,992.5,1000.0,999.9,1003.2,998.5,1009.3,1013.0
11,1015.6,1009.8,1013.6,1007.2,1004.5,993.7,1001.5,997.8,1002.1,1000.1,1008.5,1010.1
12,1014.0,1009.2,1007.2,1005.2,1005.2,995.6,1002.4,997.3,1002.2,1002.7,1009.7,1012.9
13,1011.9,1009.9,1007.8,1005.3,1003.4,997.3,1002.9,999.8,1000.7,1007.7,1010.9,1016.8
14,1011.7,1012.0,1013.2,1007.4,1001.7,999.4,1003.3,1004.5,997.7,1009.4,1011.7,/
15,1014.5,1012.7,1014.5,1008.9,1001.6,/,1004.3,1004.1,996.6,1009.7,1011.7,1012.0
16,1014.6,1012.0,1014.5,1006.5,1003.3,/,1000.7,1002.2,1002.1,1010.5,1008.8,1013.0
17,1013.1,1011.4,1011.9,1005.8,1003.3,1001.0,1001.2,1001.6,1006.3,1009.2,1008.0,1016.8
18,1016.4,1008.6,1010.0,1006.9,1004.6,1000.6,1002.2,1003.2,1003.3,1008.7,1011.1,1017.1
19,1017.4,1008.6,1006.6,1005.5,1004.0,999.2,1003.5,1005.6,997.4,1008.9,1011.3,1015.1
20,1013.6,1015.0,1006.0,1004.8,1002.8,1000.1,1000.5,1006.1,993.5,1006.9,1010.2,1011.9
21,1013.2,1016.1,1010.8,1005.8,1003.3,1000.1,997.2,1004.1,986.3,1008.1,1008.8,1013.7
22,1014.6,1014.9,1013.5,1004.5,/,1001.8,983.5,1004.2,1000.4,1007.6,1008.0,1014.9
23,1014.0,1014.8,1014.7,1005.7,1005.9,1000.2,983.3,1003.9,1002.6,1008.3,1009.3,1013.6
24,1011.6,1013.2,1010.8,1005.5,1005.8,1000.6,998.5,1004.0,1005.8,1008.6,1008.2,1014.1
25,1010.0,1011.7,1007.6,1004.9,1005.7,1002.6,1002.4,1004.7,1005.7,1010.0,1005.7,1013.6
26,1011.2,1011.3,1006.6,1006.6,1003.3,1002.1,1004.2,1004.0,1005.5,1009.7,1006.1,1013.0
27,1012.0,1011.7,1007.0,1004.2,1001.1,999.8,1001.6,1005.6,1005.6,1009.2,1007.7,1013.3
28,1012.0,1009.7,1005.4,1005.7,1001.2,998.5,998.9,1006.5,1004.6,1009.4,1007.4,1010.5
29,1011.6,,1005.3,1006.2,1002.2,1001.4,998.5,1005.9,1003.3,1010.5,1006.9,1009.9
30,1011.9,,1005.4,1005.8,1002.9,1003.7,996.9,1005.4,1004.1,1008.9,1005.8,1011.4
31,1012.0,,1003.7,,1002.1,,992.9,1004.8,,1006.5,,1013.3
平均,1012.2,1009.2,1009.7,1006.4,1004.5,999,998.7,1001.7,1001.6,1006.4,1008.8,1012.7
