2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,41,38,56,62,65,49,54,61,53,58,51,61
2,41,45,56,69,55,52,54,67,59,59,49,69
3,55,58,70,62,60,64,58,61,59,63,63,64
4,44,64,55,73,59,65,59,61,54,57,59,85
5,46,56,57,53,64,61,54,62,52,53,51,77
6,43,61,61,52,83,52,64,55,56,46,52,57
7,40,57,57,61,68,60,57,77,60,48,55,47
8,46,59,57,50,50,65,60,70,61,50,57,42
9,57,56,65,43,75,66,59,73,57,50,60,56
10,51,82,65,55,54,65,62,90,60,46,51,61
11,48,69,53,53,58,63,58,82,58,51,55,67
12,50,58,57,49,56,61,54,90,57,51,61,75
13,56,66,55,47,67,70,53,82,56,55,62,74
14,53,80,61,61,52,79,56,64,55,52,59,/
15,57,62,56,65,57,/,60,64,41,50,59,47
16,37,54,51,57,62,/,51,59,57,46,64,55
17,39,45,47,49,53,64,62,54,59,45,64,52
18,38,57,51,57,58,56,56,64,69,43,65,48
19,47,70,52,58,61,63,54,57,66,48,52,71
20,33,46,52,59,65,61,60,62,64,40,50,61
21,48,42,76,52,74,64,59,53,85,47,43,54
22,43,37,62,54,/,67,65,59,66,48,49,52
23,33,36,50,63,80,56,85,51,83,64,50,52
24,36,47,41,52,49,61,82,53,63,54,49,53
25,31,43,44,50,49,67,69,58,56,56,40,79
26,41,43,54,58,53,67,57,56,51,45,51,73
27,51,50,54,53,56,56,55,56,57,55,50,66
28,43,58,55,59,68,58,59,52,56,56,55,65
29,40,,61,47,53,61,57,58,54,54,65,61
30,42,,57,58,58,60,52,58,54,54,55,43
31,44,,52,,54,,62,56,,53,,41
平均,44.3,55,56.1,56,60.5,61.9,59.6,63.4,59.3,51.5,54.9,60.3
