2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1.0,0.7,0.9,1.5,1.1,0.7,1.0,0.9,1.0,0.8,/,1.4
2,0.5,0.9,0.5,1.6,1.4,1.3,1.1,0.9,1.0,0.8,/,1.0
3,0.4,0.8,1.4,1.5,1.2,1.1,0.9,0.9,1.0,/,1.1,0.7
4,0.9,0.8,0.5,1.4,1.4,1.0,0.8,0.9,0.7,/,0.6,0.8
5,0.7,1.1,0.9,1.0,1.0,1.2,1.1,1.3,0.6,/,0.9,0.9
6,0.6,0.6,0.8,0.6,1.0,0.7,0.8,1.2,1.0,/,0.7,1.5
7,0.5,0.9,0.7,0.9,1.4,0.8,1.0,1.0,0.6,/,0.8,0.8
8,0.6,1.2,0.8,1.2,0.9,0.8,0.7,5.1,1.0,/,0.6,0.7
9,0.7,0.6,1.3,1.1,1.2,1.1,1.4,3.8,0.8,/,1.1,0.8
10,0.8,0.6,0.6,1.2,0.8,0.9,2.7,1.6,0.8,/,0.9,1.2
11,0.9,0.9,0.9,1.0,1.7,0.9,1.2,1.1,0.6,/,0.8,0.9
12,0.8,1.1,1.0,1.3,0.9,1.0,1.1,1.3,0.9,/,0.6,0.7
13,1.2,0.6,0.8,1.5,1.2,1.6,1.3,1.1,0.7,/,0.7,0.8
14,1.7,0.5,0.7,1.8,1.6,1.4,1.0,1.2,0.8,/,0.9,1.0
15,0.8,0.7,1.3,1.6,1.5,1.3,1.0,1.0,0.6,1.3,0.9,1.3
16,0.9,0.9,0.8,1.2,1.3,1.4,1.2,1.1,0.9,0.8,0.7,1.4
17,0.7,0.7,1.1,1.6,1.1,1.0,0.9,1.2,0.8,1.0,0.8,0.9
18,0.4,0.8,1.3,2.6,1.3,1.2,1.2,1.0,1.0,0.8,0.6,1.0
19,0.5,0.9,1.0,1.0,1.3,1.2,3.1,1.0,0.9,0.9,0.8,0.9
20,0.3,0.8,1.1,1.1,1.0,1.1,2.7,0.6,1.1,0.7,0.8,0.9
21,1.1,1.0,0.6,0.8,1.1,1.3,1.9,0.7,0.7,0.5,0.7,0.8
22,0.8,1.0,0.8,1.2,1.4,1.7,1.4,0.5,1.0,0.6,0.6,0.8
23,0.8,0.7,1.0,0.8,0.6,2.4,1.0,1.5,1.0,0.9,0.8,0.9
24,0.6,0.9,1.3,1.2,0.9,1.8,0.9,0.8,1.1,0.9,0.9,1.0
25,0.8,1.0,0.6,1.0,0.7,1.0,0.9,1.6,1.0,0.8,1.2,0.9
26,0.8,0.7,0.9,1.0,0.5,1.2,0.7,1.4,1.6,0.7,1.2,1.1
27,0.7,0.9,1.2,0.9,0.8,0.9,1.3,1.1,0.9,0.8,0.8,1.3
28,0.6,0.6,1.0,1.3,1.0,1.0,0.8,0.7,3.2,0.7,0.9,1.0
29,0.7,,0.7,1.3,1.1,0.9,0.8,1.0,3.1,0.6,1.1,1.2
30,0.7,,1.1,1.1,0.9,1.1,1.0,0.4,1.1,0.9,0.9,1.0
31,0.7,,1.3,,0.8,,0.9,0.6,,0.9,,0.9
平均,0.7,0.8,0.9,1.2,1.1,1.2,1.2,1.2,1.1,0.8,0.8,1
