2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,225.0,270.0,270.0,202.5,270.0,202.5,270.0,315.0,202.5,292.5,/,180.0
2,180.0,247.5,247.5,180.0,202.5,202.5,270.0,180.0,202.5,337.5,/,292.5
3,292.5,157.5,225.0,202.5,292.5,315.0,247.5,360.0,337.5,/,157.5,67.5
4,315.0,292.5,202.5,202.5,180.0,315.0,292.5,225.0,180.0,/,337.5,202.5
5,247.5,225.0,202.5,225.0,225.0,292.5,180.0,292.5,292.5,/,315.0,180.0
6,225.0,315.0,202.5,180.0,247.5,247.5,112.5,292.5,292.5,/,315.0,360.0
7,315.0,270.0,270.0,292.5,315.0,180.0,247.5,360.0,202.5,/,292.5,292.5
8,22.5,360.0,270.0,180.0,225.0,270.0,337.5,270.0,292.5,/,180.0,180.0
9,292.5,247.5,337.5,270.0,202.5,270.0,337.5,225.0,247.5,/,202.5,337.5
10,337.5,270.0,292.5,292.5,270.0,270.0,337.5,202.5,247.5,/,180.0,360.0
11,225.0,247.5,292.5,315.0,337.5,270.0,247.5,225.0,202.5,/,180.0,45.0
12,225.0,202.5,247.5,315.0,292.5,292.5,337.5,337.5,180.0,/,292.5,270.0
13,337.5,315.0,247.5,180.0,202.5,202.5,157.5,247.5,247.5,/,337.5,292.5
14,360.0,292.5,202.5,337.5,202.5,202.5,270.0,360.0,67.5,/,292.5,360.0
15,180.0,247.5,202.5,225.0,225.0,202.5,202.5,315.0,292.5,247.5,225.0,22.5
16,247.5,270.0,202.5,247.5,292.5,135.0,315.0,315.0,292.5,247.5,292.5,337.5
17,225.0,270.0,225.0,202.5,270.0,270.0,337.5,337.5,360.0,202.5,270.0,360.0
18,270.0,225.0,180.0,202.5,180.0,292.5,292.5,270.0,247.5,315.0,225.0,292.5
19,202.5,247.5,202.5,225.0,247.5,270.0,157.5,202.5,202.5,135.0,337.5,315.0
20,225.0,247.5,180.0,292.5,202.5,225.0,157.5,337.5,315.0,157.5,315.0,337.5
21,337.5,45.0,270.0,360.0,90.0,202.5,180.0,247.5,202.5,202.5,360.0,270.0
22,202.5,45.0,225.0,202.5,180.0,180.0,180.0,225.0,292.5,337.5,225.0,292.5
23,270.0,292.5,315.0,270.0,135.0,202.5,202.5,337.5,292.5,157.5,247.5,247.5
24,360.0,337.5,202.5,202.5,135.0,180.0,202.5,315.0,292.5,202.5,360.0,270.0
25,225.0,202.5,270.0,225.0,180.0,225.0,292.5,202.5,292.5,202.5,180.0,180.0
26,360.0,292.5,247.5,225.0,112.5,225.0,360.0,202.5,180.0,247.5,337.5,337.5
27,247.5,270.0,337.5,225.0,360.0,247.5,157.5,225.0,315.0,202.5,225.0,337.5
28,157.5,247.5,202.5,202.5,337.5,292.5,180.0,180.0,270.0,292.5,315.0,202.5
29,315.0,,315.0,292.5,292.5,22.5,247.5,112.5,247.5,247.5,337.5,337.5
30,315.0,,180.0,247.5,292.5,292.5,225.0,22.5,225.0,337.5,202.5,270.0
31,180.0,,202.5,,337.5,,360.0,157.5,,247.5,,225.0
平均,255.5,248.3,241,240.8,236.6,233.3,248.2,254.8,250.5,242.8,269.2,259.8
