2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,22.8,21.9,24.0,25.2,27.6,27.9,28.9,29.0,28.1,27.9,26.9,0.0
2,22.8,22.0,24.1,25.1,27.3,28.0,29.0,28.7,28.2,27.8,27.0,0.0
3,22.8,22.1,24.0,25.2,27.0,28.2,28.4,28.6,28.3,27.8,27.0,0.0
4,22.9,22.3,23.9,25.2,26.8,28.3,28.3,28.6,28.2,27.8,25.6,0.0
5,22.9,22.5,23.9,25.3,26.7,28.1,28.4,28.7,28.0,27.8,16.2,0.0
6,/,22.6,23.9,25.5,26.5,28.2,28.4,28.7,28.1,27.8,12.1,0.0
7,23.2,22.7,24.0,25.5,26.3,28.4,28.5,28.7,28.1,27.8,17.3,5.8
8,/,22.7,23.8,25.6,26.2,28.7,28.5,28.8,/,27.8,8.4,22.9
9,23.3,22.7,23.5,25.7,26.3,28.7,28.4,28.9,28.3,27.9,10.9,20.7
10,23.4,22.7,23.5,25.8,26.5,28.6,28.2,28.8,28.3,27.9,4.6,22.5
11,23.4,22.9,23.5,26.0,26.6,28.2,27.9,28.7,28.2,27.8,0.9,/
12,23.5,23.0,23.4,26.1,/,27.8,27.8,28.7,28.3,27.9,1.1,22.2
13,/,23.1,23.4,26.1,27.1,27.9,28.2,28.3,28.5,27.8,3.2,22.1
14,23.6,23.3,23.5,26.1,27.4,27.8,28.5,28.3,28.7,27.9,0.0,22.0
15,23.6,23.5,23.6,26.2,27.6,27.9,28.8,28.3,28.8,27.8,0.0,22.0
16,23.6,23.5,/,26.1,27.7,28.1,29.1,28.2,28.8,27.7,0.4,22.1
17,23.5,23.5,23.7,25.9,/,28.3,/,27.8,28.7,27.6,5.5,22.2
18,23.3,23.6,23.8,26.0,27.8,28.6,29.5,27.5,28.8,27.6,0.0,22.3
19,23.2,23.7,24.0,/,27.9,28.8,/,27.3,28.7,27.6,0.0,22.5
20,23.2,24.0,24.2,26.1,28.0,29.0,28.5,27.2,28.7,27.5,0.0,22.6
21,/,24.1,24.3,/,27.6,29.1,28.1,27.2,28.4,27.4,0.0,22.6
22,22.9,24.1,24.5,26.2,27.4,29.2,28.1,27.5,28.0,27.3,0.0,22.7
23,22.6,24.0,24.7,26.4,27.4,29.2,28.1,27.9,27.9,27.2,0.0,22.7
24,22.4,23.9,24.4,26.7,27.4,29.0,28.3,28.2,27.9,27.1,1.0,22.8
25,22.3,23.7,24.1,/,27.5,28.7,28.5,27.8,/,27.1,0.0,22.8
26,22.1,23.6,24.1,27.0,27.6,28.6,28.7,27.6,27.8,27.1,0.0,/
27,22.0,23.7,24.2,27.1,27.7,28.5,28.8,27.8,27.9,27.0,0.0,22.9
28,21.9,23.9,24.5,27.2,27.8,28.5,28.7,28.0,27.9,27.0,0.0,22.8
29,21.8,,24.8,27.3,27.9,28.7,28.6,28.3,27.9,27.0,0.0,22.7
30,21.8,,25.0,27.5,27.9,28.8,28.8,28.4,28.0,26.9,0.0,16.4
31,21.8,,25.1,,27.9,,28.9,28.1,,26.9,,11.4
平均,22.8,23.2,24,26.1,27.3,28.5,28.5,28.2,28.3,27.5,6.3,16.6
