2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.5,9.7,9.3,8.4,10.3,11.9,10.8,11.1,10.5,8.0,9.2,8.5
2,9.1,9.7,9.1,5.4,11.3,12.1,9.9,6.9,10.9,10.1,9.5,9.1
3,9.0,9.6,10.1,7.6,11.3,11.9,11.4,6.3,10.6,10.3,8.9,7.5
4,8.7,9.6,6.8,10.7,11.0,12.1,9.6,7.3,10.2,10.2,6.7,8.4
5,9.1,8.6,5.7,8.0,11.5,10.4,9.6,10.6,9.9,0.0,7.7,8.8
6,9.0,9.4,9.4,5.4,10.7,9.3,11.5,8.8,10.9,10.0,5.1,8.9
7,9.4,9.6,9.5,10.1,11.0,11.4,10.7,9.9,11.1,4.7,7.9,9.2
8,9.0,9.0,10.1,10.1,11.4,7.8,11.9,11.0,10.0,4.4,7.5,8.1
9,8.8,8.4,10.1,10.6,10.9,10.7,10.7,11.3,10.8,8.4,7.4,7.3
10,8.8,9.7,6.5,10.4,10.6,10.7,11.5,9.3,8.0,9.9,7.6,7.4
11,9.3,8.2,7.4,10.0,10.8,4.3,11.9,8.4,7.6,8.8,9.4,8.6
12,9.0,9.8,10.3,10.5,11.0,10.9,11.2,9.8,7.8,9.7,8.4,8.4
13,9.0,7.8,9.9,11.0,10.7,11.0,11.3,7.9,7.8,9.7,7.1,9.0
14,9.5,9.5,0.7,10.4,11.2,11.7,9.3,7.7,8.3,9.9,7.9,8.8
15,9.4,10.0,9.5,10.7,11.7,12.0,6.6,8.8,10.3,9.8,8.2,7.9
16,9.5,9.6,10.4,11.1,10.8,11.8,9.9,9.0,8.8,10.1,9.3,8.0
17,9.5,5.9,9.6,11.1,10.8,12.1,11.7,10.9,10.6,7.5,8.6,8.5
18,9.0,9.3,8.1,11.1,10.6,12.0,11.9,9.1,8.2,9.3,9.1,9.1
19,9.4,9.9,9.9,11.1,2.9,12.1,8.7,7.6,10.1,7.5,9.1,8.5
20,9.4,8.0,10.3,11.2,6.8,12.0,9.7,10.6,9.8,8.9,8.6,8.9
21,9.0,9.9,9.9,10.4,4.0,10.1,11.3,7.9,9.0,8.0,8.2,7.1
22,8.3,9.8,10.5,9.0,0.2,11.6,8.8,4.5,8.8,9.5,8.8,7.7
23,9.5,8.7,10.6,10.0,7.5,11.5,9.0,9.3,9.6,7.9,7.9,8.1
24,8.7,10.0,9.2,2.9,9.4,11.3,9.9,9.9,8.3,7.4,6.7,8.9
25,8.1,10.1,10.5,9.1,11.1,11.2,9.1,9.1,8.9,7.9,8.0,6.2
26,7.2,8.5,10.8,10.6,10.1,11.0,8.7,0.6,9.8,9.4,8.8,8.9
27,8.7,8.5,10.7,10.1,5.0,11.6,10.0,4.6,10.5,9.3,8.7,9.0
28,4.8,9.8,9.4,10.6,7.9,11.2,7.4,8.6,10.3,9.3,7.4,9.3
29,8.6,8.8,10.3,10.7,11.6,11.9,9.5,9.1,10.2,8.8,7.1,8.8
30,9.6,,10.6,10.6,10.9,10.6,9.7,8.8,8.6,8.0,8.0,6.9
31,9.8,,9.4,,11.9,,7.7,8.6,,8.3,,7.3
總和,274.7,265.4,284.6,288.9,296.9,330.2,310.9,263.3,286.2,261,242.8,257.1
