2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,15.3,19.0,23.7,27.3,25.6,27.4,29.1,,,,,
2,16.1,19.8,23.3,27.7,26.8,30.0,29.4,,,,,
3,17.5,19.5,21.2,27.4,25.7,30.6,29.3,,,,,
4,19.5,20.0,22.7,26.8,28.0,30.0,29.6,,,,,
5,20.0,19.7,24.0,25.1,28.9,25.3,28.9,,,,,
6,19.1,20.0,24.9,23.2,28.8,23.8,28.6,,,,,
7,16.5,20.8,23.8,23.4,29.2,26.2,,,,,,
8,12.4,20.1,22.8,23.9,29.5,28.5,,,,,,
9,12.7,20.3,23.4,22.9,29.7,27.8,,,,,,
10,14.3,20.3,22.6,23.7,29.5,28.5,,,,,,
11,15.6,20.6,23.1,24.6,29.6,28.4,,,,,,
12,13.6,19.9,23.7,25.6,30.0,28.8,,,,,,
13,15.5,21.0,23.6,26.5,30.1,29.5,,,,,,
14,15.7,20.9,23.0,26.4,30.7,29.7,,,,,,
15,16.9,19.8,23.5,26.1,30.3,28.5,,,,,,
16,17.7,21.1,24.5,26.1,30.2,26.0,,,,,,
17,17.2,20.4,25.7,26.7,30.4,27.6,,,,,,
18,16.2,18.2,25.7,26.0,30.4,28.2,,,,,,
19,17.4,17.3,26.0,23.9,30.5,26.3,,,,,,
20,19.2,17.6,25.7,25.6,30.7,25.8,,,,,,
21,22.1,18.9,24.4,27.2,30.8,25.8,,,,,,
22,21.3,20.7,18.8,27.1,31.0,25.3,,,,,,
23,21.6,21.0,21.1,27.2,30.7,25.7,,,,,,
24,20.7,22.3,20.5,27.3,30.8,25.8,,,,,,
25,20.6,22.9,22.2,23.7,28.8,25.8,,,,,,
26,20.6,23.7,23.8,23.4,29.6,26.5,,,,,,
27,19.9,23.4,25.5,24.0,30.4,25.4,,,,,,
28,19.3,23.2,26.3,25.1,30.5,25.1,,,,,,
29,18.1,,26.2,23.6,29.6,25.6,,,,,,
30,17.5,,26.6,25.9,25.7,28.2,,,,,,
31,18.0,,27.2,,27.8,,,,,,,
平均,17.7,20.4,23.9,25.4,29.4,27.2,29.2, , , , , 
