2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,67,58,74,75,71,87,74,,,,,
2,70,61,72,72,66,75,78,,,,,
3,71,74,72,72,80,70,78,,,,,
4,73,71,71,72,73,77,81,,,,,
5,72,75,75,73,71,97,82,,,,,
6,75,71,75,80,68,98,84,,,,,
7,85,67,74,80,70,86,,,,,,
8,77,74,73,76,70,78,,,,,,
9,66,75,71,73,64,82,,,,,,
10,69,76,76,69,70,82,,,,,,
11,70,81,73,70,65,85,,,,,,
12,70,79,71,70,67,82,,,,,,
13,64,77,74,71,71,77,,,,,,
14,65,77,72,72,65,74,,,,,,
15,65,77,69,68,64,85,,,,,,
16,70,69,68,71,71,95,,,,,,
17,73,70,66,69,72,84,,,,,,
18,70,69,68,68,72,84,,,,,,
19,72,70,69,76,70,96,,,,,,
20,71,63,70,71,65,96,,,,,,
21,71,61,69,67,68,96,,,,,,
22,87,65,70,71,68,97,,,,,,
23,84,87,70,71,73,92,,,,,,
24,82,84,81,72,68,90,,,,,,
25,78,75,72,83,79,91,,,,,,
26,73,73,70,87,76,89,,,,,,
27,78,74,74,85,70,96,,,,,,
28,72,75,72,81,72,98,,,,,,
29,68,,73,90,75,95,,,,,,
30,73,,78,76,96,82,,,,,,
31,72,,76,,89,,,,,,,
平均,72.7,72.4,72.2,74.4,71.6,87.2,79.5, , , , , 
