2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,21.76,25.69,26.82,28.51,26.59,15.89,37.40,,,,,
2,22.43,24.59,16.06,31.52,30.41,38.04,31.81,,,,,
3,23.72,23.90,15.14,27.00,12.30,33.99,28.10,,,,,
4,21.95,24.33,21.76,19.17,36.08,32.18,29.89,,,,,
5,22.99,22.53,19.54,11.49,35.34,6.77,26.65,,,,,
6,7.01,25.59,22.28,6.20,32.23,1.46,22.81,,,,,
7,4.46,26.34,18.37,6.93,33.79,15.29,,,,,,
8,8.77,18.60,24.46,17.45,37.34,23.34,,,,,,
9,9.18,17.96,23.43,13.07,37.50,28.65,,,,,,
10,22.52,13.70,19.95,22.70,35.12,28.39,,,,,,
11,12.11,23.07,25.13,26.52,38.34,27.08,,,,,,
12,12.95,21.54,25.17,32.61,37.56,26.11,,,,,,
13,23.22,18.58,22.07,29.35,35.78,31.76,,,,,,
14,24.30,27.25,20.76,17.00,36.54,33.63,,,,,,
15,23.63,27.34,30.56,29.09,38.50,17.58,,,,,,
16,22.34,27.84,31.41,23.30,37.96,6.99,,,,,,
17,17.69,18.75,29.81,25.39,32.25,23.42,,,,,,
18,21.40,22.69,26.96,21.71,37.08,23.48,,,,,,
19,22.05,26.29,28.30,12.29,37.49,9.22,,,,,,
20,22.82,27.56,27.66,22.63,33.98,6.92,,,,,,
21,14.40,28.99,23.84,28.52,31.17,10.67,,,,,,
22,6.83,29.22,6.04,31.04,33.00,8.75,,,,,,
23,22.73,1.86,13.64,30.63,27.11,12.61,,,,,,
24,18.25,14.49,10.50,34.08,24.38,14.02,,,,,,
25,23.15,23.22,30.74,8.89,27.64,17.20,,,,,,
26,22.21,27.25,28.78,14.73,23.70,18.91,,,,,,
27,22.64,26.50,26.48,19.28,33.09,12.63,,,,,,
28,23.91,23.22,24.83,17.04,33.12,7.37,,,,,,
29,18.00,,27.63,8.34,20.74,11.06,,,,,,
30,20.54,,23.60,32.66,3.38,32.52,,,,,,
31,21.61,,29.17,,12.78,,,,,,,
平均,18.8,22.8,23.3,21.6,30.7,19.2,29.4, , , , , 
