2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,15.0,13.0,20.2,18.1,23.1,24.7,24.4,22.8,22.1,/,19.2,17.9
2,13.6,15.4,19.8,19.2,22.4,23.6,23.9,20.8,22.7,/,18.6,18.0
3,14.2,12.6,20.3,21.0,21.8,23.2,24.5,23.2,22.4,/,20.6,16.9
4,12.3,15.2,19.8,20.0,20.5,22.5,24.8,23.7,23.2,/,20.5,17.4
5,11.3,17.3,20.6,19.5,22.1,23.8,24.9,23.7,24.5,/,20.3,14.4
6,14.2,19.3,21.1,18.3,22.9,24.3,24.2,22.6,24.4,/,20.1,15.2
7,15.4,15.4,20.1,17.6,22.9,24.8,24.6,22.8,23.6,/,18.9,16.0
8,15.2,11.5,19.6,18.0,23.8,24.4,24.6,23.8,23.4,/,19.3,15.3
9,16.3,13.3,17.6,19.2,23.5,23.6,24.9,23.9,23.8,/,20.3,14.5
10,16.2,16.2,16.5,22.1,22.5,21.6,24.9,23.2,24.1,/,21.3,14.7
11,16.1,17.1,15.2,23.1,21.8,22.2,24.9,23.5,23.0,/,20.8,14.9
12,14.4,17.6,14.6,22.8,22.1,21.9,24.1,24.2,23.7,/,20.6,16.2
13,15.6,17.2,16.3,22.2,23.0,22.7,23.8,23.9,23.8,/,19.9,16.3
14,17.9,20.1,17.1,22.6,24.1,21.6,24.0,24.3,23.7,/,20.6,18.3
15,18.3,19.9,19.6,21.7,24.0,22.5,23.8,23.9,23.5,/,21.0,17.7
16,11.9,18.5,20.2,20.9,22.1,22.5,23.1,23.8,22.5,/,20.6,18.5
17,13.6,14.8,21.8,20.0,21.7,23.8,24.2,23.0,21.9,/,17.1,18.4
18,16.3,11.5,23.3,20.4,21.5,23.7,24.2,22.9,21.4,/,16.6,16.0
19,17.4,13.7,21.5,20.0,21.1,21.9,24.4,23.4,21.9,/,19.3,13.3
20,16.6,15.6,19.9,20.6,21.3,20.8,24.5,23.5,23.0,/,18.5,15.5
21,15.3,/,20.3,20.0,22.8,21.9,/,22.9,24.1,21.2,17.7,18.6
22,14.3,/,20.5,20.3,21.7,23.1,/,23.5,24.1,20.7,20.6,18.5
23,11.6,/,22.0,21.3,21.8,23.3,/,24.9,23.8,20.9,18.8,11.7
24,13.2,/,12.5,23.2,22.8,23.7,/,25.6,23.2,22.1,18.2,13.1
25,12.1,/,14.5,23.4,23.2,24.1,/,22.6,23.4,21.8,20.8,15.7
26,12.7,/,16.3,20.8,24.2,24.3,/,24.2,24.1,23.0,19.7,17.2
27,15.6,/,16.8,19.3,24.3,24.7,/,23.9,24.5,22.4,16.2,16.9
28,17.1,/,17.5,19.4,21.0,24.0,/,21.4,21.6,22.6,16.8,17.5
29,16.3,/,16.4,22.0,22.6,24.0,/,23.5,22.0,22.5,17.9,19.5
30,15.3,,19.4,20.4,22.9,24.5,/,24.0,22.4,21.1,17.4,11.4
31,13.6,,20.3,,23.5,,/,22.1,,18.2,,8.8
平均,14.8,15.8,18.8,20.6,22.5,23.3,24.3,23.4,23.2,21.5,19.3,15.9
