2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,25.8,21.9,25.5,23.5,16.5
2,/,/,/,/,/,/,/,26.2,22.1,25.6,23.2,16.5
3,/,/,/,/,/,/,27.7,26.6,23.5,25.2,23.2,16.3
4,/,/,/,/,/,/,27.3,26.8,23.8,24.7,23.5,16.2
5,/,/,/,/,/,/,25.9,26.9,24.1,24.5,23.3,16.0
6,/,/,/,/,/,/,25.4,27.2,24.8,23.9,23.1,16.4
7,/,/,/,/,/,/,25.9,27.1,25.3,24.4,23.7,18.0
8,/,/,/,/,/,/,25.5,27.5,25.2,24.7,23.7,18.7
9,/,/,/,/,/,/,25.5,27.9,26.1,24.8,23.1,19.0
10,/,/,/,/,/,/,/,27.6,26.7,25.1,23.6,18.9
11,/,/,/,/,/,/,/,27.4,26.4,25.3,23.4,18.0
12,/,/,/,/,/,/,26.9,27.7,25.7,25.4,23.3,18.0
13,/,/,/,/,/,/,23.8,27.4,26.1,25.3,23.3,18.3
14,/,/,/,/,/,/,24.8,25.6,26.6,25.3,22.9,19.1
15,/,/,/,/,/,/,24.9,24.5,26.6,24.8,23.1,19.7
16,/,/,/,/,/,/,25.3,25.5,27.1,24.6,23.3,20.0
17,/,/,/,/,/,/,26.4,25.7,26.2,23.5,22.2,19.1
18,/,/,/,/,/,/,25.9,26.0,26.5,23.1,21.1,16.3
19,/,/,/,/,/,/,25.6,26.5,27.2,23.6,20.5,15.7
20,/,/,/,/,/,/,26.0,26.3,27.1,24.0,20.0,15.7
21,/,/,/,/,/,/,/,24.9,25.8,23.4,20.0,15.9
22,/,/,/,/,/,/,/,23.2,25.1,23.4,19.2,16.5
23,/,/,/,/,/,/,/,24.3,24.9,23.0,19.0,16.8
24,/,/,/,/,/,/,/,25.1,24.8,22.5,19.6,17.0
25,/,/,/,/,/,/,/,25.1,25.1,22.6,20.0,17.5
26,/,/,/,/,/,/,/,25.5,25.2,22.4,20.0,17.1
27,/,/,/,/,/,/,/,26.2,25.3,21.8,19.3,14.9
28,/,/,/,/,/,/,/,26.3,25.3,21.8,18.4,14.4
29,/,,/,/,/,/,/,23.4,25.1,21.8,17.3,14.6
30,/,,/,/,/,/,/,22.5,25.1,22.3,16.4,14.6
31,/,,/,,/,,/,22.7,,22.4,,15.6
平均,/,/,/,/,/,/,25.8,25.9,25.4,23.9,21.5,17
