2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,5.2,10.0,3.5,5.2,3.7
2,/,/,/,/,/,/,/,4.1,2.5,4.5,2.2,4.4
3,/,/,/,/,/,/,5.2,4.1,4.1,4.5,2.7,3.6
4,/,/,/,/,/,/,4.4,3.9,3.4,4.3,3.2,6.1
5,/,/,/,/,/,/,6.4,3.8,3.0,4.7,3.9,3.7
6,/,/,/,/,/,/,7.9,4.0,4.5,6.3,3.3,4.3
7,/,/,/,/,/,/,9.0,4.8,4.0,4.0,3.8,4.2
8,/,/,/,/,/,/,4.7,4.3,2.9,3.0,3.0,4.2
9,/,/,/,/,/,/,4.9,4.9,4.1,3.5,3.9,3.8
10,/,/,/,/,/,/,/,4.4,4.1,4.6,3.2,2.4
11,/,/,/,/,/,/,/,3.4,3.4,3.2,2.4,3.7
12,/,/,/,/,/,/,11.3,3.8,4.6,3.7,4.4,2.0
13,/,/,/,/,/,/,22.0,4.0,4.9,3.8,4.6,2.9
14,/,/,/,/,/,/,3.4,7.2,3.8,4.0,4.8,4.4
15,/,/,/,/,/,/,4.2,4.5,3.9,3.9,3.9,3.2
16,/,/,/,/,/,/,4.5,5.1,3.5,4.6,4.2,4.0
17,/,/,/,/,/,/,4.4,2.9,3.9,3.9,4.4,5.6
18,/,/,/,/,/,/,3.6,4.2,3.9,2.8,5.4,2.7
19,/,/,/,/,/,/,5.2,4.0,4.3,4.6,5.1,3.7
20,/,/,/,/,/,/,3.2,2.9,5.4,4.4,4.3,3.5
21,/,/,/,/,/,/,2.9,12.2,17.5,4.0,2.6,4.0
22,/,/,/,/,/,/,2.7,15.8,12.0,5.5,4.8,3.2
23,/,/,/,/,/,/,5.4,4.3,6.1,4.0,3.9,3.5
24,/,/,/,/,/,/,7.8,4.9,3.9,4.6,4.1,3.8
25,/,/,/,/,/,/,4.0,5.1,3.4,4.2,3.3,3.7
26,/,/,/,/,/,/,5.8,3.1,3.2,4.6,3.4,5.3
27,/,/,/,/,/,/,3.9,5.0,3.7,4.9,4.3,4.7
28,/,/,/,/,/,/,5.6,3.4,3.5,4.2,5.7,2.8
29,/,,/,/,/,/,3.4,9.9,3.7,4.0,3.5,2.4
30,/,,/,/,/,/,6.6,2.7,2.8,3.7,3.9,2.5
31,/,,/,,/,,5.4,8.4,,4.7,,3.5
平均,/,/,/,/,/,/,5.8,5.2,4.8,4.2,3.9,3.7
