2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,9.8,9.5,14.3,17.2,17.8,21.2,21.4,22.3,21.0,20.6,18.6,16.3
2,10.1,12.6,15.2,16.3,17.8,20.7,21.3,21.7,21.3,20.8,17.9,14.0
3,13.2,16.8,13.9,15.3,18.6,20.5,21.8,21.6,21.4,19.6,17.1,14.3
4,12.9,15.8,14.3,15.6,19.0,20.9,22.3,22.1,21.3,17.7,15.7,14.7
5,9.3,15.3,14.5,14.2,19.2,20.6,22.0,21.9,21.3,17.2,15.5,13.3
6,7.8,16.2,13.7,14.1,17.6,20.4,22.3,21.8,21.8,16.4,15.6,11.1
7,9.0,16.0,13.3,15.4,17.6,20.3,22.4,21.8,21.8,16.5,15.9,10.1
8,11.5,14.4,13.9,16.3,18.1,20.9,22.2,21.9,21.0,17.0,16.6,11.2
9,12.3,13.8,13.4,16.4,18.9,21.3,21.7,22.0,21.4,16.9,16.7,13.1
10,11.3,10.0,12.8,15.8,17.9,21.6,22.8,21.3,21.3,19.2,15.8,14.6
11,10.3,7.9,13.3,15.8,18.4,22.2,22.7,21.4,0.0,19.4,16.5,16.3
12,10.8,10.2,15.1,16.2,19.2,21.8,22.3,21.7,/,17.9,16.8,14.0
13,11.0,11.8,15.8,17.7,19.5,21.2,21.9,21.4,/,16.7,16.9,13.0
14,10.5,10.2,12.0,18.2,19.5,21.3,22.0,21.1,/,15.8,16.2,12.7
15,9.1,10.3,11.6,17.2,20.2,21.5,22.0,21.5,/,15.3,15.0,12.0
16,8.1,12.2,12.9,16.7,20.5,21.4,21.6,21.4,/,15.4,15.7,11.5
17,7.2,13.0,14.4,16.8,20.4,21.9,21.1,21.7,/,15.6,17.4,9.3
18,6.7,14.5,15.7,18.6,20.1,22.0,21.1,21.5,/,16.9,16.4,9.1
19,5.8,10.8,17.3,18.8,20.0,21.7,21.7,20.8,/,16.8,14.8,9.9
20,6.9,8.1,16.5,18.7,19.7,21.6,22.1,20.0,/,16.0,13.6,11.6
21,6.9,5.7,12.8,19.0,19.9,21.7,21.4,19.8,/,17.0,13.3,10.9
22,5.6,6.8,12.7,19.1,19.6,22.3,21.6,20.7,/,17.9,13.5,8.9
23,3.0,8.4,12.9,18.9,19.5,22.2,20.5,19.7,20.8,18.7,14.2,9.7
24,3.4,8.2,13.5,19.0,18.8,21.8,20.8,20.9,20.6,18.2,14.7,12.2
25,4.6,9.6,14.5,19.4,20.0,22.0,21.1,21.4,21.2,18.0,14.0,12.1
26,6.2,11.6,16.2,19.4,20.4,21.4,21.4,21.4,21.3,18.5,14.5,13.9
27,9.3,13.3,16.8,18.8,21.2,21.7,21.6,20.7,21.2,19.0,16.2,13.8
28,8.6,13.9,17.9,18.5,21.2,22.3,21.8,19.7,20.4,18.4,17.9,13.4
29,8.6,,18.9,16.9,21.0,22.0,21.8,20.7,21.1,18.4,18.7,11.2
30,7.9,,18.1,16.1,20.6,21.4,22.7,20.3,21.1,18.7,19.0,9.0
31,8.9,,16.7,,20.8,,22.6,20.2,,19.0,,7.2
平均,8.6,11.7,14.7,17.2,19.5,21.5,21.8,21.2,20.1,17.7,16,12.1
