2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,292.5,292.5,202.5,337.5,315.0,292.5,292.5,337.5,292.5,337.5,315.0,67.5
2,292.5,337.5,225.0,225.0,292.5,292.5,292.5,337.5,135.0,225.0,292.5,45.0
3,225.0,225.0,90.0,225.0,337.5,315.0,270.0,337.5,292.5,225.0,315.0,45.0
4,270.0,202.5,315.0,292.5,315.0,270.0,337.5,315.0,337.5,337.5,315.0,315.0
5,292.5,292.5,225.0,337.5,337.5,337.5,337.5,337.5,292.5,337.5,292.5,45.0
6,292.5,315.0,337.5,225.0,315.0,337.5,225.0,315.0,292.5,292.5,292.5,22.5
7,292.5,337.5,337.5,292.5,292.5,315.0,292.5,337.5,292.5,292.5,292.5,67.5
8,337.5,292.5,315.0,225.0,292.5,337.5,202.5,202.5,292.5,337.5,315.0,315.0
9,225.0,315.0,337.5,247.5,337.5,270.0,225.0,337.5,292.5,292.5,292.5,45.0
10,292.5,225.0,315.0,292.5,337.5,225.0,292.5,315.0,292.5,292.5,315.0,67.5
11,225.0,337.5,315.0,292.5,337.5,247.5,337.5,292.5,/,225.0,292.5,67.5
12,337.5,337.5,315.0,225.0,337.5,337.5,315.0,337.5,/,315.0,315.0,315.0
13,337.5,337.5,225.0,247.5,337.5,337.5,337.5,315.0,/,292.5,292.5,315.0
14,292.5,225.0,247.5,225.0,337.5,292.5,292.5,292.5,/,292.5,337.5,67.5
15,225.0,315.0,292.5,337.5,315.0,337.5,292.5,270.0,/,292.5,292.5,67.5
16,337.5,292.5,247.5,202.5,337.5,315.0,337.5,292.5,/,292.5,292.5,315.0
17,292.5,337.5,247.5,292.5,292.5,337.5,337.5,292.5,/,270.0,315.0,67.5
18,292.5,337.5,292.5,225.0,337.5,315.0,225.0,315.0,/,292.5,337.5,67.5
19,292.5,225.0,202.5,225.0,315.0,337.5,292.5,315.0,/,292.5,292.5,67.5
20,292.5,292.5,292.5,315.0,292.5,337.5,292.5,337.5,/,292.5,292.5,337.5
21,225.0,337.5,225.0,337.5,337.5,315.0,337.5,292.5,/,292.5,337.5,45.0
22,337.5,292.5,315.0,112.5,337.5,337.5,315.0,337.5,/,292.5,337.5,67.5
23,292.5,270.0,225.0,337.5,337.5,337.5,315.0,247.5,315.0,225.0,315.0,67.5
24,337.5,337.5,292.5,337.5,135.0,315.0,337.5,292.5,337.5,292.5,22.5,67.5
25,337.5,292.5,292.5,292.5,292.5,337.5,337.5,337.5,315.0,292.5,22.5,90.0
26,247.5,337.5,292.5,315.0,292.5,315.0,337.5,292.5,270.0,292.5,22.5,67.5
27,337.5,292.5,247.5,202.5,315.0,292.5,337.5,225.0,292.5,292.5,67.5,67.5
28,292.5,292.5,292.5,225.0,292.5,337.5,292.5,337.5,292.5,247.5,22.5,315.0
29,292.5,,337.5,292.5,337.5,292.5,292.5,337.5,270.0,225.0,22.5,67.5
30,247.5,,270.0,292.5,292.5,337.5,292.5,292.5,225.0,292.5,67.5,45.0
31,292.5,,315.0,,292.5,,202.5,292.5,,292.5,,45.0
平均,289.6,297.3,273.6,267.8,312.1,313.5,297.6,307,285,286,244.5,118.3
