2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.7,3.8,2.2,0.1,0.0,7.2,9.1,0.0,6.4,4.0,4.7,6.7
2,0.5,2.0,1.7,0.4,0.1,5.2,1.4,0.0,12.7,11.9,6.8,1.5
3,0.3,0.2,0.9,0.0,0.0,0.0,0.0,0.0,17.9,7.0,4.6,5.1
4,0.6,1.2,1.7,0.2,0.4,5.6,0.0,2.8,11.4,2.5,9.1,4.8
5,0.7,0.0,0.7,1.5,0.3,9.3,0.0,1.9,11.3,2.5,8.6,3.5
6,0.5,0.9,0.5,3.5,0.0,5.9,0.0,2.6,1.3,2.1,1.0,9.2
7,0.4,1.3,1.2,0.0,0.2,9.6,4.3,1.4,0.3,5.5,3.9,4.0
8,0.8,1.1,0.4,1.8,1.7,20.8,0.0,0.0,0.6,16.9,3.2,7.4
9,0.5,0.0,0.1,2.3,0.4,8.9,1.6,4.6,0.6,14.9,1.9,7.5
10,0.9,0.0,0.2,5.3,0.2,11.6,2.9,4.0,0.4,7.2,4.2,6.8
11,0.7,0.0,0.5,4.5,3.5,3.3,0.4,0.4,/,9.2,4.2,11.1
12,0.7,0.1,0.2,4.9,2.2,12.3,0.0,17.3,/,11.6,11.4,10.9
13,0.8,0.0,0.0,6.1,0.3,7.2,0.0,0.7,/,7.2,3.1,8.6
14,0.4,0.0,1.7,2.4,2.5,21.7,0.0,3.7,/,7.1,1.7,16.2
15,0.6,0.0,1.5,3.7,1.6,8.6,0.0,4.0,/,5.7,3.0,12.1
16,0.3,0.1,1.5,0.5,3.6,2.2,0.0,0.0,/,8.2,5.0,34.2
17,0.5,0.5,1.2,1.6,2.8,2.8,0.0,0.2,/,5.4,6.7,8.6
18,0.7,1.1,1.2,0.6,0.7,0.5,0.0,4.6,/,4.8,6.2,14.0
19,0.2,0.2,1.5,1.4,1.2,1.4,0.0,2.9,/,3.7,6.6,1.6
20,0.4,0.0,1.3,2.0,5.2,1.5,0.0,0.1,/,6.4,10.9,5.9
21,0.0,0.4,0.2,2.3,2.8,0.0,1.8,0.0,/,4.6,7.2,4.5
22,0.4,0.6,0.0,2.2,1.8,0.0,0.0,5.9,/,4.0,7.6,7.8
23,0.4,2.5,0.1,0.9,0.4,5.7,0.1,1.3,0.0,5.5,7.7,5.1
24,0.3,2.8,0.1,0.3,0.6,2.2,0.0,4.1,0.6,2.4,9.9,8.0
25,0.6,4.5,0.9,0.5,0.6,1.5,0.0,0.8,8.1,3.9,8.3,6.0
26,0.5,2.9,1.5,0.4,10.8,8.2,2.3,4.3,2.2,4.5,4.8,2.6
27,6.0,3.6,1.3,0.2,6.3,2.4,0.0,12.8,15.7,8.2,4.9,5.3
28,2.7,3.2,5.3,4.8,4.7,6.1,1.6,1.0,3.0,1.7,3.5,4.2
29,2.3,,3.0,2.0,13.5,8.7,0.0,2.0,5.3,2.8,1.8,8.7
30,2.9,,4.3,0.6,12.3,0.0,0.0,9.8,0.0,2.4,4.9,7.8
31,3.4,,0.0,,2.4,,0.0,3.5,,3.4,,15.4
總和,30.7,33,36.9,57,83.1,180.4,25.5,96.7,97.8,187.2,167.4,255.1
