2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,7.5,0.0,/,0.0,0.0,1.0,0.0,6.0,0.0,0.5,/
2,/,/,0.0,0.0,0.0,0.0,65.5,8.5,/,0.0,0.0,/
3,0.0,4.0,0.0,0.0,0.0,0.0,22.0,3.5,0.0,/,0.0,0.0
4,/,0.5,2.0,0.0,0.5,0.0,12.0,10.5,0.0,0.0,0.0,0.0
5,0.5,/,5.0,0.0,0.0,25.5,0.0,15.5,12.5,0.0,0.0,0.0
6,22.5,0.5,0.0,0.0,0.0,1.0,7.0,0.0,55.0,0.0,0.0,0.0
7,/,7.5,0.0,2.5,13.5,0.5,21.0,1.0,33.5,0.0,0.0,0.0
8,/,10.0,16.5,0.0,49.0,0.0,0.5,/,15.0,0.0,0.0,0.0
9,57.0,4.0,0.5,0.0,27.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10,5.5,1.5,0.0,0.0,0.0,23.5,26.0,0.0,0.0,0.0,0.0,0.0
11,0.0,6.0,0.0,0.0,0.0,46.5,41.5,8.5,0.0,0.0,0.0,0.0
12,/,0.0,0.0,/,0.0,0.0,0.0,0.0,8.5,7.5,0.0,0.0
13,0.0,0.0,0.0,2.5,0.0,0.0,0.5,4.0,0.0,4.0,0.0,0.0
14,0.0,0.0,0.0,0.5,0.0,3.5,0.5,54.5,0.0,/,0.0,0.0
15,/,0.0,14.5,14.0,0.0,0.0,0.0,/,2.5,0.0,0.0,0.0
16,0.0,0.0,3.5,8.0,2.5,4.5,0.0,98.0,0.5,0.0,0.0,0.0
17,0.0,0.0,0.0,/,0.0,43.0,0.0,13.5,0.5,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,7.5,0.0,12.0,0.0,0.0,1.0,0.0
19,/,0.0,0.0,0.0,0.0,61.0,10.5,34.0,/,3.5,0.0,0.0
20,0.5,0.0,5.0,0.0,0.0,32.5,0.5,18.5,0.0,0.0,/,0.0
21,0.0,0.0,0.0,0.0,0.0,15.0,51.0,13.5,/,0.0,0.0,0.0
22,/,30.0,0.0,0.0,0.0,30.0,9.0,21.0,0.0,0.0,0.0,/
23,0.0,0.0,0.0,45.0,0.0,55.5,5.5,55.5,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,18.5,0.0,0.0,/,104.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.5,26.0,21.5,0.0,0.0,8.5,1.0
26,0.0,/,0.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,9.0,0.0
27,0.0,0.0,0.0,0.0,0.0,/,4.5,23.5,0.0,0.0,0.0,0.0
28,2.5,1.5,0.0,0.0,0.0,1.0,0.5,6.5,0.0,0.0,10.0,/
29,3.5,,0.0,0.0,0.5,5.5,0.5,5.5,0.0,0.0,0.0,0.0
30,1.0,,0.0,0.0,0.5,46.0,0.0,/,0.0,0.0,0.5,0.0
31,1.0,,/,,17.0,,/,1.0,,3.5,,0.0
總和,94,73,47,91,111,402.5,317.5,548.5,134,18.5,29.5,1
