2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,924.4,923.2,921.4,915.6,918.8,915.5,916.1,,,,,
2,923.5,923.0,921.7,917.2,920.3,916.3,916.4,,,,,
3,924.3,924.5,923.2,918.0,920.0,915.1,915.9,,,,,
4,923.2,924.5,923.1,918.9,918.7,912.7,916.5,,,,,
5,921.5,923.0,921.8,921.1,919.9,912.3,915.5,,,,,
6,920.5,921.9,922.0,921.2,921.1,913.4,914.9,,,,,
7,920.6,921.9,922.2,920.3,919.7,917.1,919.4,,,,,
8,922.1,922.2,923.1,918.8,917.4,917.8,,,,,,
9,922.4,921.5,923.4,920.0,917.0,916.4,,,,,,
10,922.9,917.6,923.7,922.4,916.7,915.1,,,,,,
11,923.2,915.5,923.9,923.1,916.9,915.8,,,,,,
12,921.7,917.3,923.2,921.5,917.2,918.3,,,,,,
13,921.1,919.4,922.1,920.0,917.4,917.9,,,,,,
14,920.2,918.7,920.4,919.2,917.8,915.3,,,,,,
15,919.3,918.8,919.8,918.4,917.5,913.7,,,,,,
16,919.6,920.0,919.3,919.0,917.7,915.6,,,,,,
17,922.7,921.7,919.3,919.9,918.2,916.6,,,,,,
18,922.9,924.8,919.0,918.9,918.0,915.5,,,,,,
19,922.2,924.8,918.2,917.7,916.9,913.7,,,,,,
20,921.6,922.9,917.2,917.6,917.4,912.2,,,,,,
21,920.1,921.6,919.3,916.8,917.1,912.6,,,,,,
22,916.9,920.6,923.2,914.2,916.4,913.4,,,,,,
23,917.6,919.2,922.7,913.7,916.9,914.6,,,,,,
24,920.5,918.0,920.6,916.1,918.1,914.6,,,,,,
25,921.3,916.3,920.4,918.0,918.0,914.7,,,,,,
26,920.4,915.5,920.1,919.0,917.6,916.3,,,,,,
27,920.4,918.3,917.9,920.8,917.7,915.6,,,,,,
28,922.5,920.3,915.9,920.5,917.5,914.7,,,,,,
29,923.1,,913.9,918.2,915.8,915.5,,,,,,
30,924.8,,914.5,918.0,913.5,916.0,,,,,,
31,924.9,,914.7,,913.6,,,,,,,
平均,921.7,920.6,920.4,918.8,917.6,915.1,916.4, , , , , 
