2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.5,0.8,0.7,0.7,0.7,0.6,0.9,,,,,
2,0.7,1.0,0.9,0.9,1.1,0.7,0.9,,,,,
3,0.7,0.8,0.4,0.8,0.7,0.8,0.8,,,,,
4,0.7,0.8,0.6,0.8,0.6,0.7,0.4,,,,,
5,0.8,0.7,0.6,0.8,0.6,0.6,0.6,,,,,
6,0.3,0.8,0.8,1.0,0.8,0.4,0.7,,,,,
7,0.7,0.8,0.7,0.2,1.2,0.5,0.5,,,,,
8,0.5,0.8,0.6,0.7,0.9,0.6,,,,,,
9,0.3,0.9,0.8,0.7,1.1,0.5,,,,,,
10,0.6,0.7,0.8,0.8,1.0,0.6,,,,,,
11,0.4,0.7,0.7,1.0,0.9,0.8,,,,,,
12,0.3,0.6,0.8,1.0,1.0,0.8,,,,,,
13,0.5,0.7,1.0,0.9,1.0,0.8,,,,,,
14,0.7,0.8,1.1,0.7,0.8,0.9,,,,,,
15,0.7,0.8,0.6,0.8,0.9,0.7,,,,,,
16,1.0,0.8,0.7,0.7,0.9,0.7,,,,,,
17,0.9,0.9,0.7,0.7,1.0,0.5,,,,,,
18,0.8,0.8,0.8,0.9,0.9,0.7,,,,,,
19,0.6,0.8,0.8,0.6,1.0,0.6,,,,,,
20,0.6,0.8,0.8,0.7,0.8,0.4,,,,,,
21,0.6,0.8,1.0,0.7,0.7,0.5,,,,,,
22,0.6,0.9,0.2,0.8,0.8,0.8,,,,,,
23,0.9,1.0,0.4,1.0,1.0,0.3,,,,,,
24,0.7,0.6,0.5,1.0,0.8,0.5,,,,,,
25,0.5,0.7,0.7,0.3,0.9,0.7,,,,,,
26,0.7,0.7,0.8,0.8,0.8,0.5,,,,,,
27,0.7,0.5,1.0,0.4,0.7,0.4,,,,,,
28,0.8,0.9,0.8,0.5,0.9,0.3,,,,,,
29,0.6,,1.4,0.2,0.8,0.3,,,,,,
30,0.7,,0.8,1.0,1.0,0.7,,,,,,
31,0.7,,1.2,,0.7,,,,,,,
平均,0.6,0.8,0.8,0.7,0.9,0.6,0.7, , , , , 
