2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,926.0,924.6,923.3,917.4,920.0,916.8,917.5,,,,,
2,924.8,924.4,923.2,918.8,922.0,917.5,917.4,,,,,
3,925.5,926.3,924.5,919.4,921.8,916.8,917.6,,,,,
4,925.0,926.3,924.2,920.5,920.0,914.4,918.0,,,,,
5,923.0,924.7,923.7,922.5,921.4,913.7,916.8,,,,,
6,922.3,923.8,923.7,923.0,922.2,916.2,919.1,,,,,
7,922.1,923.6,923.6,922.4,921.6,918.9,921.1,,,,,
8,923.4,923.5,924.4,920.3,918.9,919.0,,,,,,
9,923.8,923.1,925.0,921.7,919.0,918.2,,,,,,
10,924.3,920.7,925.1,923.5,918.3,917.1,,,,,,
11,925.2,917.9,925.4,924.6,918.3,918.4,,,,,,
12,923.6,919.7,924.9,923.2,919.0,920.2,,,,,,
13,922.5,920.8,923.7,921.3,919.0,919.8,,,,,,
14,921.6,920.1,921.9,920.5,918.9,917.7,,,,,,
15,920.8,920.2,921.2,919.7,918.9,914.6,,,,,,
16,922.0,921.7,920.5,920.6,919.0,917.4,,,,,,
17,924.0,923.7,920.6,921.4,919.5,917.7,,,,,,
18,924.1,926.5,920.4,920.2,919.4,916.9,,,,,,
19,923.4,926.8,919.9,919.0,918.4,915.3,,,,,,
20,922.8,924.8,918.7,919.0,918.8,913.5,,,,,,
21,921.9,923.6,922.1,918.3,918.5,914.1,,,,,,
22,918.9,921.9,924.8,916.1,918.0,915.2,,,,,,
23,920.3,921.4,925.2,914.9,918.4,916.1,,,,,,
24,921.9,920.0,922.7,917.6,919.7,916.0,,,,,,
25,923.5,917.6,922.2,919.6,919.4,916.4,,,,,,
26,921.8,917.0,922.0,921.3,918.9,917.6,,,,,,
27,921.8,920.1,919.9,922.2,918.9,917.2,,,,,,
28,924.0,921.9,917.5,922.1,919.0,915.6,,,,,,
29,924.5,,915.4,919.5,917.0,916.7,,,,,,
30,926.1,,916.0,919.5,915.5,916.9,,,,,,
31,926.8,,916.2,,915.9,,,,,,,
平均,923.3,922.4,922,920.3,919.1,916.7,918.2, , , , , 
