2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,360.0,135.0,315.0,270.0,337.5,315.0,315.0
2,/,/,/,/,/,337.5,225.0,292.5,337.5,315.0,315.0,337.5
3,/,/,/,/,/,135.0,337.5,225.0,337.5,202.5,315.0,292.5
4,/,/,/,/,/,270.0,292.5,247.5,337.5,247.5,337.5,247.5
5,/,/,/,/,/,292.5,157.5,247.5,337.5,337.5,315.0,315.0
6,/,/,/,/,/,247.5,247.5,337.5,337.5,315.0,225.0,292.5
7,/,/,/,/,/,202.5,225.0,360.0,337.5,225.0,292.5,22.5
8,/,/,/,/,/,247.5,180.0,202.5,337.5,247.5,337.5,292.5
9,/,/,/,/,/,270.0,337.5,22.5,337.5,22.5,337.5,360.0
10,/,/,/,/,/,225.0,337.5,135.0,337.5,315.0,202.5,315.0
11,/,/,/,/,/,180.0,337.5,225.0,337.5,202.5,292.5,337.5
12,/,/,/,/,/,315.0,247.5,135.0,360.0,247.5,337.5,292.5
13,/,/,/,/,/,135.0,337.5,315.0,337.5,202.5,292.5,360.0
14,/,/,/,/,/,180.0,247.5,315.0,360.0,315.0,315.0,157.5
15,/,/,/,/,/,112.5,292.5,225.0,337.5,337.5,337.5,360.0
16,/,/,/,/,/,157.5,202.5,135.0,337.5,337.5,202.5,315.0
17,/,/,/,/,/,112.5,337.5,112.5,337.5,112.5,45.0,360.0
18,/,/,/,/,/,225.0,315.0,135.0,337.5,202.5,315.0,337.5
19,/,/,/,/,/,135.0,337.5,270.0,337.5,225.0,337.5,315.0
20,/,/,/,/,/,157.5,360.0,225.0,337.5,337.5,22.5,315.0
21,/,/,/,/,/,22.5,135.0,337.5,292.5,315.0,157.5,337.5
22,/,/,/,/,/,180.0,225.0,337.5,337.5,337.5,202.5,337.5
23,/,/,/,/,/,202.5,135.0,360.0,337.5,337.5,315.0,337.5
24,/,/,/,/,/,225.0,135.0,112.5,360.0,225.0,315.0,292.5
25,/,/,/,/,/,202.5,360.0,90.0,225.0,225.0,225.0,337.5
26,/,/,/,/,/,225.0,315.0,112.5,337.5,292.5,337.5,337.5
27,/,/,/,/,/,225.0,337.5,135.0,270.0,337.5,337.5,292.5
28,/,/,/,/,/,22.5,337.5,292.5,292.5,270.0,337.5,360.0
29,/,/,/,/,/,135.0,360.0,337.5,337.5,225.0,337.5,337.5
30,/,,/,/,/,112.5,292.5,247.5,202.5,247.5,292.5,337.5
31,/,,/,,/,,135.0,225.0,,315.0,,337.5
平均,/,/,/,/,/,195,266.4,227.9,324,264.9,278.3,309.2
