2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,14.6,11.9,18.7,21.0,23.9,26.5,/,26.3,24.6,24.3,19.9,/
2,15.9,12.9,20.3,20.7,23.6,25.6,/,24.5,24.3,22.5,19.9,/
3,/,11.3,21.6,20.5,25.2,25.5,/,24.8,23.3,21.1,20.2,/
4,/,9.9,22.5,21.9,24.3,26.3,24.8,24.4,/,21.4,22.3,/
5,17.7,/,23.7,22.2,23.6,25.7,23.8,24.3,/,22.6,22.3,/
6,17.0,11.4,/,17.7,/,25.9,23.6,24.2,/,22.7,22.6,/
7,18.4,10.3,19.6,16.5,24.9,25.8,23.3,25.5,/,23.4,21.5,21.0
8,19.8,12.7,11.7,16.0,23.1,25.5,23.7,/,/,22.8,22.4,18.6
9,12.0,14.4,11.2,16.3,21.7,27.1,24.6,24.2,/,23.1,22.5,19.1
10,10.3,15.7,11.8,17.6,23.4,26.4,26.4,24.9,/,23.4,21.7,18.7
11,10.7,12.5,13.9,/,23.4,/,26.7,24.5,/,23.3,21.4,20.3
12,8.6,12.6,14.3,/,23.9,27.0,25.6,24.9,/,22.4,21.6,18.5
13,7.7,12.5,16.5,23.9,24.1,/,24.5,24.6,24.9,/,21.3,16.4
14,9.3,12.3,17.6,25.6,23.7,/,25.5,24.6,26.0,22.6,20.3,17.6
15,11.3,17.0,17.9,21.8,24.7,24.2,/,/,25.6,23.1,20.5,17.5
16,14.1,19.8,19.5,21.1,25.4,24.2,25.8,24.2,25.4,23.4,22.6,19.2
17,19.8,18.0,19.1,20.8,26.1,23.5,26.9,23.4,24.9,23.0,23.5,17.0
18,19.0,16.7,19.5,19.2,25.3,/,26.6,24.9,26.0,22.1,22.0,15.3
19,19.4,18.3,19.5,21.8,24.2,23.9,/,24.4,25.0,23.4,21.9,16.4
20,18.8,19.1,19.6,21.8,26.8,24.5,/,24.4,25.1,21.9,20.2,15.9
21,18.1,19.4,16.1,22.9,26.5,24.0,/,24.6,25.2,22.1,20.6,16.6
22,18.9,15.1,13.3,23.0,25.2,24.8,/,25.3,25.9,22.0,20.6,18.6
23,17.0,14.9,15.8,24.1,25.1,25.6,/,21.6,25.4,23.2,19.4,20.9
24,15.6,18.2,15.5,25.6,26.1,25.6,/,22.3,24.9,23.3,17.7,/
25,16.6,17.3,16.3,22.6,25.7,25.1,/,23.9,24.5,22.8,19.6,/
26,16.0,15.5,17.7,23.6,25.8,25.8,/,24.1,24.6,22.5,20.4,20.3
27,15.2,17.4,18.6,22.5,25.2,25.1,/,22.9,24.3,20.8,/,17.8
28,15.8,19.1,19.0,23.9,28.8,/,/,22.7,24.5,19.6,/,16.8
29,13.4,,20.1,23.8,27.1,/,/,22.9,23.8,18.1,/,14.2
30,12.4,,18.6,23.5,27.5,/,/,23.3,24.1,18.4,/,13.3
31,13.9,,/,,26.3,,/,22.6,,21.5,,17.1
平均,15.1,15,17.6,21.5,25,25.4,25.1,24.1,24.9,22.2,21.1,17.7
