2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,48,67,46,45,54,51,/,56,56,56,68,/
2,47,51,50,50,48,54,/,69,53,54,69,/
3,/,59,55,48,48,49,/,57,58,46,55,/
4,/,60,52,48,54,52,84,59,/,48,60,/
5,72,/,46,49,42,45,83,54,/,47,62,/
6,79,44,/,56,/,44,64,53,/,54,61,/
7,62,62,50,47,44,47,70,59,/,55,54,59
8,62,67,68,41,62,51,50,/,/,54,56,57
9,64,57,52,35,65,48,59,51,/,57,52,54
10,59,54,43,37,63,56,57,62,/,60,61,53
11,51,64,36,/,47,/,58,60,/,56,55,59
12,40,57,36,/,59,49,55,50,/,56,48,59
13,38,44,31,53,59,/,54,81,64,/,50,53
14,35,30,27,52,51,/,56,64,55,54,54,51
15,41,38,49,53,48,75,/,/,64,51,51,54
16,27,53,52,54,58,66,54,59,62,52,54,55
17,53,62,53,47,55,73,52,72,63,57,61,44
18,56,48,53,48,52,/,57,64,66,57,54,51
19,56,38,48,49,53,90,/,79,62,57,52,51
20,62,53,55,41,52,97,/,67,58,55,57,26
21,57,50,51,44,53,72,/,68,54,56,50,40
22,48,61,38,49,49,73,/,84,58,57,50,49
23,56,53,38,49,51,60,/,89,56,52,50,60
24,51,58,27,62,47,56,/,97,57,56,47,/
25,49,48,39,66,48,56,/,77,60,54,43,/
26,48,51,37,55,46,64,/,82,57,48,62,51
27,52,47,47,52,51,59,/,93,56,51,/,48
28,52,52,46,51,53,/,/,98,52,41,/,63
29,64,,38,53,55,/,/,91,50,36,/,47
30,61,,48,47,48,/,/,86,48,37,/,48
31,52,,/,,43,,/,59,,67,,58
平均,53.2,52.9,45.2,49.3,51.9,60.3,60.9,70.3,57.6,52.7,55.2,51.7
