2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,76,67,78,73,95,86,87,90,89,76,80,83
2,83,71,78,70,89,80,98,93,85,76,81,73
3,81,78,74,74,87,75,97,88,89,87,83,66
4,83,81,73,76,92,90,91,84,98,80,87,79
5,80,80,66,76,87,78,95,88,88,82,77,91
6,80,78,79,75,98,80,90,89,89,88,78,98
7,80,69,88,75,94,82,94,91,87,81,81,84
8,81,73,87,75,88,79,97,86,85,82,74,74
9,77,70,84,77,83,77,98,88,85,79,73,68
10,79,72,84,80,86,88,94,89,95,85,75,65
11,77,70,86,74,83,98,97,90,82,81,75,73
12,74,74,72,73,80,92,83,92,84,84,72,77
13,77,73,69,72,74,91,84,/,82,84,75,73
14,76,69,70,72,77,95,80,/,83,79,74,73
15,79,78,73,75,90,84,81,94,85,73,75,79
16,87,74,67,88,85,82,80,99,85,74,77,82
17,81,73,65,78,81,80,82,99,80,73,72,76
18,74,/,72,/,88,76,90,99,80,72,75,78
19,73,73,71,88,86,78,97,99,78,75,73,87
20,79,75,78,70,92,81,99,97,74,76,72,87
21,80,74,74,89,96,79,92,94,63,75,77,84
22,73,79,72,83,85,75,84,84,70,73,84,83
23,69,71,89,81,83,91,84,87,75,72,84,82
24,68,75,84,80,89,85,82,97,75,78,84,83
25,69,80,77,73,82,90,81,95,73,78,81,80
26,72,75,75,73,75,95,83,78,73,81,80,76
27,64,74,76,82,88,95,85,86,81,79,82,74
28,72,69,78,79,86,85,88,82,82,82,80,74
29,65,,79,76,89,97,80,87,78,80,73,98
30,67,,73,79,80,83,80,96,85,76,79,85
31,59,,70,,84,,78,84,,81,,88
平均,75.3,73.9,76.2,77.1,86.2,84.9,88.1,90.5,81.9,78.8,77.8,79.8
