2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,7.2,8.1,8.9,8.2,6.7,9.9,8.4,6.8,9.6,10.0,9.2,8.9
2,6.7,9.6,9.4,10.4,4.9,10.1,5.9,6.6,11.0,9.7,9.1,8.9
3,7.8,9.2,8.9,10.4,8.5,11.2,6.5,10.0,9.2,7.6,9.2,8.9
4,8.5,7.9,9.4,9.2,7.5,4.1,10.5,11.0,4.9,10.3,4.5,5.9
5,7.5,6.6,7.6,10.1,8.8,11.0,6.0,8.4,9.3,8.1,8.6,5.4
6,8.6,8.9,9.0,10.4,5.0,11.5,9.2,7.6,9.2,8.6,8.5,4.4
7,8.6,9.6,4.9,10.4,6.1,11.2,8.9,9.8,9.7,9.8,8.8,5.9
8,8.3,9.5,4.4,10.3,9.0,11.6,8.9,10.0,10.1,8.8,9.1,8.5
9,8.7,9.4,7.2,10.6,9.3,10.7,6.9,7.0,9.3,8.9,9.3,9.0
10,8.6,9.0,5.8,10.4,8.6,7.5,8.3,8.9,6.0,9.2,9.4,9.0
11,8.9,9.2,4.8,10.6,10.1,5.3,3.4,9.1,10.6,9.7,9.3,9.0
12,8.1,8.5,9.9,9.8,11.2,7.0,11.2,8.7,10.3,9.7,9.2,8.4
13,8.2,9.1,8.7,9.8,11.3,9.4,10.5,/,9.8,9.6,9.1,9.0
14,8.5,7.0,9.2,10.6,11.4,6.1,11.2,/,8.7,8.7,8.9,8.9
15,7.2,9.4,7.6,8.9,7.2,10.6,11.6,7.3,9.4,9.0,9.1,8.8
16,6.3,9.2,9.6,3.6,10.7,10.5,10.9,2.2,7.4,9.6,9.1,9.0
17,7.9,9.2,10.0,9.6,10.4,10.0,10.8,2.4,10.2,9.6,9.2,8.8
18,8.4,/,10.0,/,9.3,11.2,5.7,0.4,9.5,9.1,9.1,8.4
19,7.7,9.4,10.0,6.6,10.3,11.5,4.9,3.9,9.3,9.4,7.8,7.8
20,7.5,9.6,10.1,8.9,7.6,11.3,2.2,8.5,10.3,9.7,6.5,7.5
21,6.6,9.8,10.4,5.9,3.4,11.1,5.7,7.8,9.5,9.4,8.8,8.6
22,8.6,9.7,10.4,9.9,8.6,10.8,10.0,10.6,9.5,8.0,9.1,9.0
23,8.9,8.4,2.8,10.8,3.2,6.4,10.2,10.3,9.6,8.4,9.2,8.8
24,9.1,8.0,6.8,11.0,9.2,9.3,9.5,3.0,9.8,8.8,7.8,8.8
25,9.3,9.1,10.1,11.0,11.1,8.1,10.7,6.5,9.8,0.7,8.8,8.9
26,8.6,9.6,10.0,10.8,10.5,6.2,8.9,11.1,9.9,8.8,9.1,7.9
27,8.3,9.8,10.2,7.7,8.1,6.7,9.1,10.8,10.3,8.4,8.4,6.6
28,9.3,9.3,10.0,9.7,9.6,11.4,8.3,10.6,10.2,9.3,7.7,6.9
29,9.2,,10.5,11.1,11.0,7.1,10.9,8.8,10.3,9.2,8.7,6.6
30,9.2,,9.4,9.7,11.2,10.8,10.7,4.8,8.6,8.2,7.9,6.9
31,8.6,,10.1,,9.4,,10.8,10.7,,8.4,,5.8
總和,254.9,242.1,266.1,276.4,269.2,279.6,266.7,223.6,281.3,272.7,258.5,245.2
