2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,17.3,19.2,24.3,28.6,26.6,28.6,29.2,,,,,
2,18.0,19.8,23.9,28.8,27.7,30.5,29.4,,,,,
3,19.1,20.6,23.0,28.7,26.1,30.5,29.7,,,,,
4,20.2,20.4,23.4,28.6,29.0,30.0,30.0,,,,,
5,20.6,20.9,24.2,27.5,30.5,26.6,29.5,,,,,
6,20.2,20.8,25.6,26.4,30.4,25.3,29.6,,,,,
7,18.2,21.1,25.0,25.8,31.4,26.6,,,,,,
8,14.8,21.3,24.3,27.1,32.1,28.7,,,,,,
9,15.5,21.7,24.4,25.1,31.9,29.5,,,,,,
10,16.7,21.3,24.6,26.2,32.1,29.6,,,,,,
11,17.0,20.8,21.1,27.3,32.4,30.1,,,,,,
12,15.5,20.5,26.2,28.0,32.5,30.1,,,,,,
13,17.2,21.7,25.1,28.7,33.7,30.7,,,,,,
14,16.9,21.2,24.8,28.3,33.5,30.3,,,,,,
15,17.8,21.0,25.2,28.2,33.7,30.0,,,,,,
16,18.5,21.5,26.1,28.6,34.1,28.7,,,,,,
17,18.2,20.9,27.0,29.7,34.0,28.9,,,,,,
18,18.0,19.8,26.8,29.5,34.4,29.2,,,,,,
19,18.9,18.8,26.8,27.1,33.9,28.0,,,,,,
20,20.0,19.3,26.9,28.2,34.1,27.0,,,,,,
21,21.9,19.9,25.4,29.8,34.7,27.6,,,,,,
22,21.3,21.0,20.2,29.5,34.0,27.0,,,,,,
23,21.2,22.7,22.8,29.0,35.1,26.9,,,,,,
24,21.2,22.7,21.4,30.3,34.9,27.9,,,,,,
25,21.1,22.6,23.8,25.2,34.4,27.5,,,,,,
26,20.7,23.3,25.6,24.0,34.5,28.0,,,,,,
27,20.7,23.3,26.8,25.5,34.6,27.7,,,,,,
28,19.4,23.3,27.1,26.5,33.9,26.6,,,,,,
29,19.6,,27.8,24.5,31.6,26.9,,,,,,
30,19.3,,27.9,27.0,27.1,28.3,,,,,,
31,19.4,,28.7,,28.9,,,,,,,
平均,18.9,21.1,25,27.6,32.2,28.4,29.6, , , , , 
