2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 12:56:00,2021-02-01 13:32:00,2021-03-01 12:24:00,2021-04-01 12:50:00,2021-05-01 13:24:00,2021-06-01 10:02:00,2021-07-01 14:27:00,,,,,
2,2021-01-02 13:37:00,2021-02-02 14:11:00,2021-03-02 11:54:00,2021-04-02 13:02:00,2021-05-02 12:43:00,2021-06-02 10:52:00,2021-07-02 11:19:00,,,,,
3,2021-01-03 14:02:00,2021-02-03 13:57:00,2021-03-03 11:31:00,2021-04-03 11:17:00,2021-05-03 13:45:00,2021-06-03 13:00:00,2021-07-03 13:57:00,,,,,
4,2021-01-04 14:14:00,2021-02-04 12:23:00,2021-03-04 12:36:00,2021-04-04 11:59:00,2021-05-04 13:53:00,2021-06-04 11:52:00,2021-07-04 10:57:00,,,,,
5,2021-01-05 13:16:00,2021-02-05 14:32:00,2021-03-05 14:42:00,2021-04-05 12:59:00,2021-05-05 13:31:00,2021-06-05 15:02:00,2021-07-05 11:22:00,,,,,
6,2021-01-06 11:49:00,2021-02-06 12:35:00,2021-03-06 11:31:00,2021-04-06 11:42:00,2021-05-06 13:05:00,2021-06-06 00:01:00,/,,,,,
7,2021-01-07 11:21:00,2021-02-07 13:47:00,2021-03-07 11:11:00,2021-04-07 10:47:00,2021-05-07 12:19:00,2021-06-07 16:09:00,,,,,,
8,2021-01-08 00:27:00,2021-02-08 13:35:00,2021-03-08 11:31:00,2021-04-08 13:57:00,2021-05-08 11:58:00,2021-06-08 15:38:00,,,,,,
9,2021-01-09 12:13:00,2021-02-09 12:40:00,2021-03-09 13:52:00,2021-04-09 14:20:00,2021-05-09 12:00:00,2021-06-09 13:13:00,,,,,,
10,2021-01-10 14:06:00,2021-02-10 15:16:00,2021-03-10 11:10:00,2021-04-10 14:59:00,2021-05-10 13:54:00,2021-06-10 13:28:00,,,,,,
11,2021-01-11 12:52:00,2021-02-11 12:45:00,2021-03-11 10:50:00,2021-04-11 12:31:00,2021-05-11 12:29:00,2021-06-11 10:13:00,,,,,,
12,2021-01-12 14:41:00,2021-02-12 14:41:00,2021-03-12 12:45:00,2021-04-12 13:21:00,2021-05-12 11:54:00,2021-06-12 14:02:00,,,,,,
13,2021-01-13 13:01:00,2021-02-13 12:12:00,2021-03-13 12:56:00,2021-04-13 12:46:00,2021-05-13 11:00:00,2021-06-13 13:36:00,,,,,,
14,2021-01-14 13:14:00,2021-02-14 13:18:00,2021-03-14 12:34:00,2021-04-14 14:12:00,2021-05-14 12:07:00,2021-06-14 14:27:00,,,,,,
15,2021-01-15 12:30:00,2021-02-15 14:48:00,2021-03-15 13:04:00,2021-04-15 13:24:00,2021-05-15 11:57:00,2021-06-15 13:03:00,,,,,,
16,2021-01-16 12:58:00,2021-02-16 13:30:00,2021-03-16 11:43:00,2021-04-16 11:18:00,2021-05-16 13:33:00,2021-06-16 03:25:00,,,,,,
17,2021-01-17 14:38:00,2021-02-17 13:07:00,2021-03-17 12:47:00,2021-04-17 13:00:00,2021-05-17 14:43:00,2021-06-17 12:29:00,,,,,,
18,2021-01-18 12:46:00,2021-02-18 13:29:00,2021-03-18 12:48:00,2021-04-18 13:34:00,2021-05-18 11:29:00,2021-06-18 16:22:00,,,,,,
19,2021-01-19 13:36:00,2021-02-19 12:01:00,2021-03-19 13:44:00,2021-04-19 14:01:00,2021-05-19 13:08:00,2021-06-19 15:23:00,,,,,,
20,2021-01-20 12:39:00,2021-02-20 13:26:00,2021-03-20 13:00:00,2021-04-20 12:43:00,2021-05-20 13:24:00,2021-06-20 17:14:00,,,,,,
21,2021-01-21 12:39:00,2021-02-21 12:19:00,2021-03-21 11:09:00,2021-04-21 13:32:00,2021-05-21 13:51:00,2021-06-21 12:34:00,,,,,,
22,2021-01-22 11:25:00,2021-02-22 12:29:00,2021-03-22 12:26:00,2021-04-22 11:19:00,2021-05-22 12:15:00,2021-06-22 12:45:00,,,,,,
23,2021-01-23 15:32:00,2021-02-23 12:15:00,2021-03-23 13:51:00,2021-04-23 13:48:00,2021-05-23 11:32:00,2021-06-23 17:10:00,,,,,,
24,2021-01-24 11:07:00,2021-02-24 14:49:00,2021-03-24 16:07:00,2021-04-24 14:00:00,2021-05-24 13:17:00,2021-06-24 15:36:00,,,,,,
25,2021-01-25 12:04:00,2021-02-25 13:28:00,2021-03-25 14:28:00,2021-04-25 10:18:00,2021-05-25 11:04:00,2021-06-25 09:28:00,,,,,,
26,2021-01-26 11:52:00,2021-02-26 11:55:00,2021-03-26 11:51:00,2021-04-26 13:35:00,2021-05-26 13:11:00,2021-06-26 14:05:00,,,,,,
27,2021-01-27 12:12:00,2021-02-27 14:29:00,2021-03-27 14:21:00,2021-04-27 12:14:00,2021-05-27 11:15:00,2021-06-27 12:46:00,,,,,,
28,2021-01-28 12:19:00,2021-02-28 12:25:00,2021-03-28 12:04:00,2021-04-28 10:52:00,2021-05-28 12:35:00,2021-06-28 08:05:00,,,,,,
29,2021-01-29 12:26:00,,2021-03-29 11:19:00,2021-04-29 15:34:00,2021-05-29 11:08:00,2021-06-29 12:16:00,,,,,,
30,2021-01-30 11:11:00,,2021-03-30 11:19:00,2021-04-30 11:58:00,2021-05-30 04:28:00,2021-06-30 15:00:00,,,,,,
31,2021-01-31 13:11:00,,2021-03-31 12:34:00,,2021-05-31 14:00:00,,,,,,,
平均, , , , , , , , , , , , 
