ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1015.9 ,1019.4 ,1018.3 ,2018-02-01 21:50 ,1013.4 ,2018-02-01 15:19 ,13.3 ,16.0 ,2018-02-01 14:58 ,10.8 ,2018-02-01 05:58 ,10.9 ,86 ,75 ,2018-02-01 13:00 ,3.1 ,20 ,9.8 ,20 ,2018-02-01 05:48 ,3.0 ,6.6 ,0.5 ,2018-02-01 00:11 ,1.5 ,2018-02-01 00:09 ,0.0 ,0.0 ,6.67 ,6.3 ,-1.2 ,4 ,2018-02-01 13:00 ,10.0 
02,1018.0 ,1021.4 ,1020.1 ,2018-02-02 22:03 ,1016.4 ,2018-02-02 15:13 ,14.4 ,19.2 ,2018-02-02 11:23 ,12.4 ,2018-02-02 22:40 ,11.4 ,82 ,69 ,2018-02-02 11:29 ,3.5 ,10 ,11.2 ,20 ,2018-02-02 14:01 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.4 ,30.8 ,8.74 ,11.8 ,-1.8 ,5 ,2018-02-02 11:00 ,7.3 
03,1019.2 ,1022.7 ,1020.8 ,2018-02-03 21:59 ,1017.4 ,2018-02-03 15:28 ,11.7 ,13.6 ,2018-02-03 13:21 ,9.2 ,2018-02-03 23:05 ,8.5 ,81 ,74 ,2018-02-03 11:19 ,3.6 ,10 ,9.6 ,360 ,2018-02-03 02:42 ,0.2 ,0.6 ,0.2 ,2018-02-03 02:42 ,0.2 ,2018-02-03 02:20 ,0.0 ,0.0 ,4.98 ,8.2 ,1.6 ,3 ,2018-02-03 11:00 ,9.8 
04,1019.7 ,1023.2 ,1021.4 ,2018-02-04 22:17 ,1018.2 ,2018-02-04 14:29 ,10.6 ,12.8 ,2018-02-04 12:49 ,9.2 ,2018-02-04 00:10 ,7.3 ,80 ,73 ,2018-02-04 13:07 ,3.3 ,10 ,9.0 ,20 ,2018-02-04 18:02 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,5.01 ,20.7 ,1.1 ,2 ,2018-02-04 13:00 ,9.7 
05,1020.4 ,1023.9 ,1022.6 ,2018-02-05 09:37 ,1018.2 ,2018-02-05 15:32 ,9.2 ,9.8 ,2018-02-05 00:01 ,8.6 ,2018-02-05 17:11 ,5.9 ,80 ,75 ,2018-02-05 13:59 ,3.7 ,10 ,9.4 ,360 ,2018-02-05 10:05 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,1.34 ,22.0 ,1.0 ,1 ,2018-02-05 14:00 ,10.0 
06,1017.5 ,1021.0 ,1020.7 ,2018-02-06 00:49 ,1014.8 ,2018-02-06 15:26 ,11.7 ,17.0 ,2018-02-06 15:14 ,6.7 ,2018-02-06 06:52 ,6.4 ,71 ,54 ,2018-02-06 15:33 ,2.2 ,20 ,7.8 ,20 ,2018-02-06 17:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.5 ,31.5 ,11.36 ,18.5 ,-2.0 ,6 ,2018-02-06 13:00 ,5.2 
07,1015.7 ,1019.2 ,1017.7 ,2018-02-07 09:31 ,1013.4 ,2018-02-07 15:43 ,11.9 ,13.7 ,2018-02-07 15:24 ,9.7 ,2018-02-07 06:23 ,9.4 ,85 ,71 ,2018-02-07 00:06 ,1.5 ,360 ,6.1 ,60 ,2018-02-07 01:09 ,2.5 ,10.3 ,0.5 ,2018-02-07 05:35 ,1.0 ,2018-02-07 20:21 ,0.2 ,1.8 ,4.24 ,7.3 ,-0.6 ,2 ,2018-02-07 13:00 ,10.0 
08,1013.7 ,1017.1 ,1016.3 ,2018-02-08 00:38 ,1011.6 ,2018-02-08 14:25 ,13.8 ,15.8 ,2018-02-08 14:46 ,12.0 ,2018-02-08 04:34 ,12.6 ,92 ,86 ,2018-02-08 16:36 ,1.5 ,20 ,6.6 ,360 ,2018-02-08 03:07 ,3.5 ,15.4 ,0.5 ,2018-02-08 00:03 ,0.5 ,2018-02-08 00:01 ,0.0 ,0.0 ,4.66 ,5.2 ,-0.4 ,2 ,2018-02-08 12:00 ,10.0 
09,1012.2 ,1015.6 ,1014.3 ,2018-02-09 09:14 ,1009.8 ,2018-02-09 15:02 ,16.5 ,21.8 ,2018-02-09 13:02 ,13.8 ,2018-02-09 00:23 ,14.8 ,90 ,71 ,2018-02-09 13:11 ,1.5 ,10 ,8.2 ,360 ,2018-02-09 15:10 ,1.0 ,3.4 ,0.5 ,2018-02-09 00:05 ,0.5 ,2018-02-09 00:01 ,1.1 ,9.8 ,10.58 ,3.8 ,1.8 ,... ,... ,9.8 
10,1013.0 ,1016.4 ,1015.3 ,2018-02-10 09:28 ,1010.3 ,2018-02-10 13:46 ,17.3 ,23.5 ,2018-02-10 13:47 ,15.2 ,2018-02-10 02:19 ,15.7 ,91 ,71 ,2018-02-10 13:47 ,2.4 ,340 ,9.4 ,10 ,2018-02-10 14:33 ,0.5 ,3.6 ,0.1 ,2018-02-10 20:18 ,0.3 ,2018-02-10 20:18 ,2.6 ,23.2 ,10.07 ,3.5 ,-1.0 ,... ,... ,8.0 
