ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1012.6 ,1015.9 ,1014.9 ,2014-02-01 09:10 ,1011.0 ,2014-02-01 14:35 ,18.3 ,24.2 ,2014-02-01 10:41 ,15.7 ,2014-02-01 06:02 ,13.9 ,76 ,56 ,2014-02-01 10:41 ,1.7 ,220 ,9.0 ,170 ,2014-02-01 00:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.9 ,90.4 ,15.67 ,7.5 ,2.3 ,5 ,2014-02-01 13:00 ,0.0 
02,1007.6 ,1010.8 ,1011.0 ,2014-02-02 00:01 ,1005.0 ,2014-02-02 15:30 ,19.3 ,23.7 ,2014-02-02 11:47 ,15.4 ,2014-02-02 05:23 ,15.4 ,78 ,66 ,2014-02-02 12:04 ,1.7 ,40 ,5.1 ,50 ,2014-02-02 12:51 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.7 ,42.8 ,12.07 ,11.5 ,2.1 ,6 ,2014-02-02 12:00 ,4.9 
03,1008.0 ,1011.3 ,1012.5 ,2014-02-03 23:44 ,1005.2 ,2014-02-03 03:46 ,19.1 ,21.2 ,2014-02-03 09:51 ,17.3 ,2014-02-03 18:18 ,15.2 ,78 ,64 ,2014-02-03 14:31 ,2.7 ,50 ,11.9 ,40 ,2014-02-03 21:44 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.5 ,86.4 ,15.38 ,10.4 ,-2.7 ,5 ,2014-02-03 13:00 ,5.1 
04,1015.5 ,1018.8 ,1017.2 ,2014-02-04 09:04 ,1012.4 ,2014-02-04 00:01 ,14.6 ,17.6 ,2014-02-04 00:02 ,13.8 ,2014-02-04 19:48 ,11.9 ,84 ,78 ,2014-02-04 00:56 ,5.4 ,50 ,14.7 ,20 ,2014-02-04 03:03 ,18.5 ,21.5 ,0.8 ,2014-02-04 19:32 ,2.1 ,2014-02-04 11:55 ,0.0 ,0.0 ,0.00 ,4.6 ,-0.4 ,0 ,2014-02-04 14:00 ,10.0 
05,1012.6 ,1015.9 ,1016.1 ,2014-02-05 06:50 ,1009.3 ,2014-02-05 23:31 ,16.9 ,19.3 ,2014-02-05 18:20 ,14.2 ,2014-02-05 01:26 ,14.9 ,88 ,81 ,2014-02-05 17:17 ,3.3 ,50 ,12.2 ,40 ,2014-02-05 05:54 ,35.1 ,17.9 ,1.4 ,2014-02-05 06:25 ,5.0 ,2014-02-05 06:08 ,0.0 ,0.0 ,0.45 ,7.4 ,-0.3 ,1 ,2014-02-05 14:00 ,9.9 
06,1008.7 ,1012.0 ,1011.1 ,2014-02-06 09:17 ,1007.1 ,2014-02-06 13:52 ,17.4 ,19.2 ,2014-02-06 12:45 ,16.2 ,2014-02-06 20:48 ,15.5 ,89 ,83 ,2014-02-06 10:18 ,2.2 ,230 ,7.7 ,360 ,2014-02-06 19:55 ,0.6 ,3.2 ,0.2 ,2014-02-06 18:45 ,0.3 ,2014-02-06 18:40 ,1.7 ,15.4 ,7.79 ,7.4 ,-2.4 ,6 ,2014-02-06 13:00 ,8.1 
07,1007.9 ,1011.2 ,1009.6 ,2014-02-07 09:13 ,1005.9 ,2014-02-07 15:21 ,16.3 ,17.4 ,2014-02-07 16:01 ,15.3 ,2014-02-07 23:52 ,14.7 ,90 ,86 ,2014-02-07 12:43 ,1.7 ,360 ,8.5 ,360 ,2014-02-07 23:51 ,1.3 ,8.9 ,0.5 ,2014-02-07 23:44 ,0.9 ,2014-02-07 22:54 ,0.0 ,0.0 ,3.38 ,5.1 ,-0.4 ,1 ,2014-02-07 13:00 ,10.0 
08,1011.7 ,1015.0 ,1013.8 ,2014-02-08 09:06 ,1008.7 ,2014-02-08 00:01 ,13.8 ,15.3 ,2014-02-08 00:01 ,13.1 ,2014-02-08 05:39 ,11.6 ,87 ,81 ,2014-02-08 10:35 ,5.0 ,10 ,11.5 ,10 ,2014-02-08 02:09 ,25.1 ,23.1 ,4.5 ,2014-02-08 07:15 ,6.2 ,2014-02-08 07:15 ,0.0 ,0.0 ,0.26 ,5.6 ,-0.4 ,1 ,2014-02-08 12:00 ,10.0 
09,1012.2 ,1015.5 ,1015.1 ,2014-02-09 23:09 ,1009.6 ,2014-02-09 14:05 ,13.3 ,14.4 ,2014-02-09 08:06 ,11.3 ,2014-02-09 23:09 ,11.2 ,87 ,84 ,2014-02-09 20:28 ,6.8 ,10 ,19.6 ,360 ,2014-02-09 22:58 ,118.3 ,24.0 ,2.6 ,2014-02-09 05:34 ,8.8 ,2014-02-09 09:00 ,0.0 ,0.0 ,0.00 ,4.4 ,-0.3 ,0 ,2014-02-09 12:00 ,10.0 
10,1017.2 ,1020.6 ,1019.1 ,2014-02-10 09:33 ,1014.2 ,2014-02-10 00:14 ,9.7 ,11.9 ,2014-02-10 00:01 ,8.8 ,2014-02-10 15:59 ,7.4 ,85 ,80 ,2014-02-10 21:39 ,7.4 ,10 ,17.5 ,360 ,2014-02-10 00:15 ,19.4 ,24.0 ,1.2 ,2014-02-10 01:13 ,4.2 ,2014-02-10 01:41 ,0.0 ,0.0 ,0.35 ,4.9 ,-0.4 ,1 ,2014-02-10 12:00 ,10.0 
