ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1013.2 ,1014.2 ,1015.1 ,2011-03-01 23:35 ,1011.3 ,2011-03-01 15:28 ,22.9 ,27.3 ,2011-03-01 11:07 ,19.9 ,2011-03-01 03:04 ,18.6 ,77 ,53 ,2011-03-01 09:46 ,2.2 ,40 ,13.1 ,40 ,2011-03-01 22:48 ,2.9 ,2.9 ,0.7 ,2011-03-01 21:06 ,1.6 ,2011-03-01 20:11 ,4.6 ,39.6 ,15.05 ,15.8 ,-4.4 ,... ,... ,8.5 
02,1016.7 ,1017.8 ,1018.8 ,2011-03-02 09:05 ,1014.5 ,2011-03-02 03:00 ,20.0 ,21.7 ,2011-03-02 00:05 ,18.4 ,2011-03-02 19:48 ,14.9 ,72 ,65 ,2011-03-02 10:44 ,4.0 ,30 ,13.3 ,10 ,2011-03-02 06:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.1 ,0.9 ,4.09 ,13.5 ,2.7 ,... ,... ,10.0 
03,1016.9 ,1018.0 ,1018.5 ,2011-03-03 22:35 ,1014.8 ,2011-03-03 15:25 ,20.3 ,23.0 ,2011-03-03 12:02 ,19.0 ,2011-03-03 01:48 ,14.5 ,69 ,62 ,2011-03-03 10:35 ,4.2 ,30 ,11.3 ,40 ,2011-03-03 20:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,8.48 ,17.3 ,3.8 ,... ,... ,9.5 
04,1018.9 ,1020.0 ,1020.6 ,2011-03-04 21:53 ,1017.1 ,2011-03-04 03:54 ,18.5 ,20.9 ,2011-03-04 12:44 ,17.0 ,2011-03-04 17:52 ,11.8 ,65 ,58 ,2011-03-04 12:49 ,4.7 ,20 ,13.6 ,60 ,2011-03-04 19:51 ,0.7 ,0.8 ,0.3 ,2011-03-04 17:39 ,0.7 ,2011-03-04 17:10 ,0.3 ,2.6 ,7.42 ,16.2 ,-3.6 ,... ,... ,9.7 
05,1018.3 ,1019.4 ,1020.5 ,2011-03-05 09:03 ,1016.2 ,2011-03-05 15:33 ,19.1 ,20.9 ,2011-03-05 15:33 ,15.8 ,2011-03-05 04:41 ,12.6 ,66 ,58 ,2011-03-05 03:06 ,2.8 ,30 ,9.8 ,60 ,2011-03-05 11:35 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,4.75 ,11.0 ,2.0 ,... ,... ,10.0 
06,1014.6 ,1015.6 ,1017.8 ,2011-03-06 00:03 ,1012.0 ,2011-03-06 16:48 ,20.3 ,23.4 ,2011-03-06 10:06 ,18.3 ,2011-03-06 03:04 ,16.6 ,80 ,61 ,2011-03-06 10:05 ,1.4 ,300 ,4.7 ,310 ,2011-03-06 01:48 ,4.8 ,2.4 ,1.2 ,2011-03-06 20:16 ,1.3 ,2011-03-06 17:52 ,0.1 ,0.9 ,5.06 ,10.8 ,-0.8 ,... ,... ,9.8 
07,1014.3 ,1015.4 ,1019.6 ,2011-03-07 22:16 ,1008.6 ,2011-03-07 04:45 ,18.6 ,22.1 ,2011-03-07 07:44 ,15.9 ,2011-03-07 18:56 ,15.8 ,84 ,66 ,2011-03-07 23:52 ,3.9 ,20 ,14.3 ,30 ,2011-03-07 08:14 ,3.7 ,6.8 ,0.7 ,2011-03-07 09:08 ,1.0 ,2011-03-07 11:12 ,1.0 ,8.5 ,0.62 ,8.7 ,-2.0 ,... ,... ,9.0 
08,1019.9 ,1021.0 ,1021.7 ,2011-03-08 23:23 ,1018.2 ,2011-03-08 15:22 ,17.0 ,18.1 ,2011-03-08 11:46 ,16.0 ,2011-03-08 01:46 ,9.1 ,60 ,56 ,2011-03-08 11:18 ,3.6 ,20 ,11.4 ,360 ,2011-03-08 01:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,3.64 ,11.8 ,3.8 ,... ,... ,10.0 
09,1021.4 ,1022.5 ,1023.2 ,2011-03-09 22:46 ,1018.9 ,2011-03-09 15:12 ,19.3 ,22.7 ,2011-03-09 12:14 ,17.1 ,2011-03-09 22:52 ,11.8 ,62 ,51 ,2011-03-09 14:01 ,3.3 ,40 ,10.6 ,50 ,2011-03-09 11:14 ,1.2 ,0.9 ,0.8 ,2011-03-09 21:54 ,1.0 ,2011-03-09 21:54 ,4.1 ,34.8 ,14.30 ,17.7 ,-3.2 ,... ,... ,8.3 
10,1020.3 ,1021.4 ,1022.9 ,2011-03-10 00:02 ,1017.7 ,2011-03-10 15:03 ,19.6 ,22.8 ,2011-03-10 11:57 ,16.7 ,2011-03-10 06:02 ,14.0 ,70 ,61 ,2011-03-10 10:00 ,3.0 ,20 ,11.1 ,40 ,2011-03-10 05:14 ,1.1 ,1.9 ,0.5 ,2011-03-10 05:25 ,0.8 ,2011-03-10 05:20 ,0.7 ,5.9 ,8.23 ,11.5 ,1.9 ,... ,... ,9.7 
11,1018.2 ,1019.3 ,1020.1 ,2011-03-11 09:13 ,1016.5 ,2011-03-11 15:33 ,19.7 ,22.5 ,2011-03-11 12:37 ,17.5 ,2011-03-11 05:44 ,14.4 ,72 ,62 ,2011-03-11 09:56 ,2.6 ,40 ,9.7 ,60 ,2011-03-11 13:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.6 ,5.1 ,7.42 ,11.7 ,2.5 ,... ,... ,9.5 
12,1015.3 ,1016.4 ,1017.8 ,2011-03-12 08:52 ,1012.5 ,2011-03-12 16:47 ,21.6 ,26.4 ,2011-03-12 13:36 ,16.7 ,2011-03-12 03:06 ,17.3 ,77 ,59 ,2011-03-12 23:23 ,1.8 ,290 ,7.6 ,160 ,2011-03-12 15:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.5 ,63.2 ,17.21 ,13.3 ,2.0 ,... ,... ,3.0 
13,1015.1 ,1016.2 ,1017.2 ,2011-03-13 10:56 ,1013.5 ,2011-03-13 03:11 ,21.2 ,25.0 ,2011-03-13 12:52 ,18.7 ,2011-03-13 05:26 ,18.2 ,83 ,69 ,2011-03-13 08:45 ,2.3 ,50 ,8.2 ,30 ,2011-03-13 16:15 ,0.2 ,0.4 ,0.2 ,2011-03-13 16:03 ,0.2 ,2011-03-13 16:03 ,1.0 ,8.4 ,8.58 ,11.7 ,-1.6 ,... ,... ,8.8 
14,1014.0 ,1015.0 ,1016.1 ,2011-03-14 21:23 ,1012.0 ,2011-03-14 14:35 ,22.4 ,26.6 ,2011-03-14 11:53 ,18.5 ,2011-03-14 04:42 ,18.3 ,78 ,66 ,2011-03-14 10:29 ,1.5 ,20 ,6.8 ,30 ,2011-03-14 23:35 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.2 ,43.7 ,11.18 ,10.3 ,1.8 ,... ,... ,7.3 
15,1016.6 ,1017.7 ,1020.4 ,2011-03-15 21:56 ,1013.7 ,2011-03-15 03:03 ,21.3 ,23.8 ,2011-03-15 11:14 ,17.8 ,2011-03-15 23:46 ,16.9 ,76 ,71 ,2011-03-15 11:13 ,4.3 ,30 ,14.3 ,360 ,2011-03-15 20:34 ,0.5 ,1.3 ,0.2 ,2011-03-15 19:30 ,0.4 ,2011-03-15 19:01 ,0.4 ,3.4 ,7.75 ,9.7 ,-1.8 ,... ,... ,9.7 
16,1021.2 ,1022.3 ,1023.6 ,2011-03-16 09:16 ,1018.9 ,2011-03-16 15:21 ,17.4 ,19.5 ,2011-03-16 13:36 ,15.9 ,2011-03-16 05:40 ,10.7 ,65 ,56 ,2011-03-16 21:43 ,5.2 ,30 ,14.4 ,20 ,2011-03-16 11:27 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.0 ,8.4 ,9.60 ,8.7 ,5.0 ,... ,... ,10.0 
17,1022.6 ,1023.7 ,1024.6 ,2011-03-17 10:01 ,1021.0 ,2011-03-17 15:05 ,17.5 ,18.8 ,2011-03-17 13:13 ,16.0 ,2011-03-17 03:29 ,9.4 ,59 ,53 ,2011-03-17 20:58 ,4.8 ,30 ,13.2 ,40 ,2011-03-17 19:07 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,2.27 ,11.5 ,4.1 ,... ,... ,10.0 
18,1019.5 ,1020.6 ,1022.4 ,2011-03-18 00:01 ,1017.1 ,2011-03-18 15:13 ,19.9 ,22.9 ,2011-03-18 14:20 ,18.0 ,2011-03-18 00:01 ,11.5 ,59 ,49 ,2011-03-18 05:50 ,3.4 ,20 ,10.9 ,40 ,2011-03-18 01:18 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.4 ,3.3 ,6.10 ,9.7 ,3.1 ,... ,... ,9.8 
19,1015.2 ,1016.2 ,1018.9 ,2011-03-19 00:04 ,1012.4 ,2011-03-19 15:19 ,21.7 ,23.6 ,2011-03-19 13:57 ,19.6 ,2011-03-19 06:39 ,16.0 ,70 ,62 ,2011-03-19 05:48 ,2.5 ,30 ,9.7 ,30 ,2011-03-19 01:32 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,5.99 ,10.7 ,1.8 ,... ,... ,10.0 
20,1012.2 ,1013.2 ,1014.7 ,2011-03-20 00:01 ,1009.4 ,2011-03-20 15:39 ,23.2 ,25.9 ,2011-03-20 09:25 ,21.1 ,2011-03-20 00:08 ,20.3 ,84 ,77 ,2011-03-20 09:14 ,1.5 ,300 ,4.1 ,300 ,2011-03-20 21:46 ,1.0 ,0.4 ,0.5 ,2011-03-20 20:29 ,1.0 ,2011-03-20 20:29 ,0.1 ,0.8 ,3.92 ,12.5 ,-1.0 ,... ,... ,10.0 
21,1011.6 ,1012.6 ,1013.3 ,2011-03-21 08:58 ,1009.7 ,2011-03-21 14:44 ,24.0 ,26.9 ,2011-03-21 10:47 ,22.0 ,2011-03-21 05:52 ,21.7 ,87 ,78 ,2011-03-21 11:57 ,1.2 ,290 ,4.3 ,300 ,2011-03-21 00:55 ,0.5 ,0.9 ,0.5 ,2011-03-21 05:37 ,0.5 ,2011-03-21 05:05 ,0.1 ,0.8 ,7.87 ,10.0 ,-2.2 ,... ,... ,10.0 
22,1016.5 ,1017.6 ,1020.4 ,2011-03-22 23:18 ,1012.3 ,2011-03-22 01:57 ,20.2 ,23.7 ,2011-03-22 05:09 ,17.7 ,2011-03-22 20:14 ,17.4 ,84 ,72 ,2011-03-22 23:24 ,4.6 ,30 ,15.0 ,30 ,2011-03-22 07:33 ,2.0 ,2.6 ,0.4 ,2011-03-22 05:38 ,1.0 ,2011-03-22 16:09 ,0.0 ,0.0 ,3.09 ,11.0 ,-1.8 ,... ,... ,10.0 
