ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1016.0 ,1017.0 ,1018.0 ,2011-12-01 09:29 ,1013.7 ,2011-12-01 01:26 ,18.6 ,21.3 ,2011-12-01 01:24 ,16.5 ,2011-12-01 22:23 ,16.2 ,86 ,81 ,2011-12-01 05:46 ,1.6 ,230 ,5.0 ,220 ,2011-12-01 17:22 ,13.3 ,24.0 ,1.2 ,2011-12-01 11:10 ,2.8 ,2011-12-01 11:10 ,0.0 ,0.0 ,0.14 ,8.0 ,-1.1 ,1 ,2011-12-01 13:00 ,10.0 
02,1014.6 ,1015.6 ,1016.4 ,2011-12-02 00:02 ,1012.6 ,2011-12-02 14:34 ,16.6 ,19.1 ,2011-12-02 11:40 ,14.7 ,2011-12-02 18:21 ,12.4 ,77 ,68 ,2011-12-02 12:30 ,2.0 ,350 ,9.9 ,360 ,2011-12-02 13:28 ,0.3 ,1.8 ,0.2 ,2011-12-02 18:12 ,0.2 ,2011-12-02 18:12 ,0.5 ,4.7 ,4.90 ,11.6 ,-0.9 ,3 ,2011-12-02 12:00 ,10.0 
03,1018.8 ,1019.8 ,1022.7 ,2011-12-03 22:27 ,1015.0 ,2011-12-03 02:02 ,16.6 ,19.4 ,2011-12-03 10:49 ,15.1 ,2011-12-03 22:32 ,9.9 ,65 ,55 ,2011-12-03 15:36 ,2.8 ,10 ,8.4 ,20 ,2011-12-03 02:21 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.5 ,61.1 ,14.00 ,9.8 ,1.7 ,4 ,2011-12-03 12:00 ,8.9 
04,1020.2 ,1021.2 ,1022.3 ,2011-12-04 00:24 ,1017.9 ,2011-12-04 14:30 ,18.0 ,21.9 ,2011-12-04 11:52 ,15.0 ,2011-12-04 00:32 ,12.2 ,69 ,55 ,2011-12-04 12:17 ,1.2 ,270 ,5.6 ,70 ,2011-12-04 13:14 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.7 ,6.6 ,6.94 ,10.8 ,-1.3 ,3 ,2011-12-04 12:00 ,8.4 
05,1019.3 ,1020.3 ,1021.0 ,2011-12-05 08:05 ,1017.2 ,2011-12-05 14:53 ,18.0 ,19.2 ,2011-12-05 10:10 ,16.4 ,2011-12-05 02:41 ,15.6 ,86 ,71 ,2011-12-05 01:23 ,0.9 ,230 ,5.4 ,170 ,2011-12-05 07:09 ,37.9 ,16.4 ,2.2 ,2011-12-05 12:51 ,7.2 ,2011-12-05 12:45 ,0.0 ,0.0 ,1.27 ,8.5 ,-2.2 ,1 ,2011-12-05 10:00 ,10.0 
06,1018.8 ,1019.8 ,1021.1 ,2011-12-06 09:44 ,1017.4 ,2011-12-06 15:02 ,20.4 ,21.9 ,2011-12-06 12:41 ,18.4 ,2011-12-06 00:45 ,19.1 ,92 ,87 ,2011-12-06 15:09 ,0.6 ,240 ,3.5 ,250 ,2011-12-06 14:53 ,63.1 ,24.0 ,2.6 ,2011-12-06 06:32 ,12.5 ,2011-12-06 06:28 ,0.0 ,0.0 ,2.35 ,5.9 ,-2.0 ,2 ,2011-12-06 13:00 ,10.0 
07,1014.9 ,1015.8 ,1018.4 ,2011-12-07 00:01 ,1011.9 ,2011-12-07 13:49 ,24.2 ,28.8 ,2011-12-07 13:12 ,21.0 ,2011-12-07 00:29 ,20.9 ,83 ,70 ,2011-12-07 12:39 ,2.0 ,100 ,8.4 ,150 ,2011-12-07 06:05 ,48.8 ,8.1 ,5.5 ,2011-12-07 01:45 ,17.5 ,2011-12-07 00:23 ,6.0 ,56.6 ,11.81 ,11.0 ,3.0 ,5 ,2011-12-07 12:00 ,7.9 
08,1018.5 ,1019.4 ,1022.8 ,2011-12-08 22:13 ,1013.8 ,2011-12-08 02:28 ,19.5 ,22.9 ,2011-12-08 04:08 ,16.1 ,2011-12-08 22:26 ,15.5 ,78 ,71 ,2011-12-08 07:54 ,2.5 ,50 ,10.0 ,20 ,2011-12-08 07:32 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,0.20 ,11.8 ,-0.4 ,1 ,2011-12-08 13:00 ,10.0 
09,1023.9 ,1024.9 ,1026.0 ,2011-12-09 09:06 ,1022.2 ,2011-12-09 14:14 ,14.6 ,16.3 ,2011-12-09 00:01 ,13.6 ,2011-12-09 20:25 ,12.0 ,84 ,79 ,2011-12-09 07:15 ,1.6 ,230 ,6.5 ,230 ,2011-12-09 20:26 ,12.0 ,23.0 ,1.5 ,2011-12-09 23:38 ,2.2 ,2011-12-09 19:05 ,0.0 ,0.0 ,2.55 ,8.3 ,-0.5 ,2 ,2011-12-09 12:00 ,10.0 
10,1023.4 ,1024.4 ,1025.1 ,2011-12-10 23:02 ,1021.5 ,2011-12-10 14:30 ,15.0 ,16.9 ,2011-12-10 13:37 ,13.4 ,2011-12-10 23:28 ,12.6 ,86 ,79 ,2011-12-10 14:14 ,2.2 ,240 ,9.2 ,40 ,2011-12-10 16:32 ,10.5 ,23.7 ,0.7 ,2011-12-10 02:54 ,2.2 ,2011-12-10 11:13 ,0.0 ,0.0 ,3.20 ,7.3 ,-0.3 ,1 ,2011-12-10 11:00 ,10.0 
