ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1002.5 ,1014.6 ,1003.8 ,2011-10-01 21:36 ,1001.3 ,2011-10-01 14:37 ,24.6 ,26.8 ,2011-10-01 10:27 ,23.1 ,2011-10-01 01:10 ,20.3 ,77 ,65 ,2011-10-01 21:28 ,11.4 ,60 ,23.4 ,50 ,2011-10-01 15:14 ,0.8 ,1.7 ,0.3 ,2011-10-01 00:12 ,0.8 ,2011-10-01 00:12 ,1.0 ,8.5 ,7.94 ,10.2 ,5.7 ,... ,... ,10.0 
02,1002.0 ,1014.2 ,1003.5 ,2011-10-02 00:04 ,1000.4 ,2011-10-02 13:35 ,23.7 ,25.4 ,2011-10-02 09:37 ,22.0 ,2011-10-02 23:54 ,19.1 ,76 ,69 ,2011-10-02 07:45 ,13.1 ,50 ,25.1 ,50 ,2011-10-02 23:54 ,0.6 ,1.5 ,0.3 ,2011-10-02 23:40 ,0.5 ,2011-10-02 23:30 ,0.6 ,5.1 ,6.32 ,10.8 ,-3.7 ,... ,... ,10.0 
03,1001.4 ,1013.7 ,1002.7 ,2011-10-03 20:33 ,1000.1 ,2011-10-03 14:53 ,20.9 ,22.5 ,2011-10-03 03:05 ,19.8 ,2011-10-03 11:56 ,18.7 ,87 ,79 ,2011-10-03 03:12 ,16.4 ,40 ,27.6 ,40 ,2011-10-03 04:40 ,25.0 ,18.1 ,2.0 ,2011-10-03 01:17 ,4.5 ,2011-10-03 08:00 ,0.0 ,0.0 ,1.47 ,5.7 ,-3.7 ,... ,... ,10.0 
04,1000.8 ,1013.0 ,1002.5 ,2011-10-04 23:08 ,999.5 ,2011-10-04 13:33 ,22.2 ,24.2 ,2011-10-04 12:36 ,20.4 ,2011-10-04 00:16 ,20.4 ,90 ,84 ,2011-10-04 12:54 ,11.4 ,10 ,22.6 ,360 ,2011-10-04 06:13 ,2.2 ,6.3 ,0.5 ,2011-10-04 21:50 ,1.0 ,2011-10-04 03:00 ,0.0 ,0.0 ,4.29 ,7.0 ,-1.4 ,... ,... ,10.0 
05,1003.1 ,1015.3 ,1005.3 ,2011-10-05 20:45 ,1001.2 ,2011-10-05 04:01 ,23.3 ,25.0 ,2011-10-05 10:37 ,22.0 ,2011-10-05 03:05 ,20.1 ,82 ,77 ,2011-10-05 10:37 ,8.0 ,10 ,17.5 ,30 ,2011-10-05 00:23 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.4 ,20.5 ,11.27 ,13.7 ,3.3 ,... ,... ,7.7 
06,1004.8 ,1017.0 ,1006.4 ,2011-10-06 20:48 ,1003.0 ,2011-10-06 02:55 ,23.7 ,25.4 ,2011-10-06 10:06 ,22.7 ,2011-10-06 01:59 ,18.9 ,74 ,63 ,2011-10-06 09:10 ,7.4 ,30 ,13.7 ,40 ,2011-10-06 16:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.3 ,2.6 ,9.83 ,13.2 ,4.1 ,... ,... ,7.8 
07,1005.2 ,1017.4 ,1006.7 ,2011-10-07 08:44 ,1003.8 ,2011-10-07 03:35 ,24.4 ,27.0 ,2011-10-07 12:22 ,22.8 ,2011-10-07 05:31 ,18.3 ,69 ,60 ,2011-10-07 10:04 ,7.4 ,70 ,15.4 ,50 ,2011-10-07 07:44 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.3 ,28.3 ,13.64 ,15.8 ,5.2 ,... ,... ,8.2 
08,1004.8 ,1016.9 ,1006.3 ,2011-10-08 09:23 ,1003.7 ,2011-10-08 03:01 ,24.9 ,26.4 ,2011-10-08 11:30 ,23.6 ,2011-10-08 03:56 ,20.3 ,76 ,72 ,2011-10-08 11:37 ,9.1 ,60 ,20.0 ,50 ,2011-10-08 07:48 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.8 ,6.9 ,8.22 ,5.3 ,4.1 ,... ,... ,9.5 
09,1003.1 ,1015.2 ,1004.9 ,2011-10-09 00:01 ,1001.9 ,2011-10-09 14:40 ,24.9 ,25.9 ,2011-10-09 09:35 ,22.9 ,2011-10-09 13:13 ,21.8 ,83 ,72 ,2011-10-09 00:04 ,7.1 ,70 ,18.8 ,50 ,2011-10-09 03:56 ,14.5 ,5.6 ,5.0 ,2011-10-09 12:44 ,9.5 ,2011-10-09 12:41 ,0.0 ,0.0 ,2.24 ,12.0 ,-1.4 ,... ,... ,10.0 
10,1002.9 ,1015.0 ,1005.4 ,2011-10-10 10:42 ,1001.4 ,2011-10-10 02:56 ,25.4 ,26.7 ,2011-10-10 08:55 ,23.1 ,2011-10-10 11:05 ,22.5 ,84 ,76 ,2011-10-10 22:49 ,8.6 ,150 ,25.6 ,160 ,2011-10-10 10:59 ,12.8 ,2.7 ,7.9 ,2011-10-10 11:01 ,12.0 ,2011-10-10 10:42 ,0.0 ,0.0 ,5.83 ,33.7 ,-3.3 ,... ,... ,9.7 
