ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1010.7 ,1013.5 ,1012.5 ,2011-03-01 09:47 ,1008.9 ,2011-03-01 15:20 ,23.9 ,27.8 ,2011-03-01 10:45 ,21.3 ,2011-03-01 23:55 ,19.3 ,76 ,59 ,2011-03-01 11:29 ,2.2 ,20 ,10.8 ,40 ,2011-03-01 23:35 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.0 ,25.8 ,13.23 ,14.6 ,5.5 ,5 ,2011-03-01 11:00 ,6.5 
02,1012.8 ,1015.6 ,1015.1 ,2011-03-02 21:42 ,1010.3 ,2011-03-02 03:24 ,20.6 ,23.0 ,2011-03-02 13:49 ,19.1 ,2011-03-02 22:33 ,15.9 ,75 ,65 ,2011-03-02 12:10 ,6.7 ,50 ,22.0 ,80 ,2011-03-02 08:18 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.2 ,70.4 ,22.77 ,14.5 ,5.7 ,9 ,2011-03-02 13:00 ,4.4 
03,1013.9 ,1016.7 ,1015.5 ,2011-03-03 10:31 ,1012.1 ,2011-03-03 14:51 ,20.8 ,24.6 ,2011-03-03 13:18 ,19.3 ,2011-03-03 00:01 ,15.3 ,71 ,62 ,2011-03-03 12:44 ,6.1 ,50 ,18.1 ,40 ,2011-03-03 23:40 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.9 ,16.3 ,16.77 ,15.5 ,3.5 ,8 ,2011-03-03 13:00 ,6.0 
04,1015.2 ,1018.1 ,1016.7 ,2011-03-04 08:56 ,1013.6 ,2011-03-04 02:44 ,19.0 ,21.4 ,2011-03-04 13:46 ,17.9 ,2011-03-04 20:09 ,13.4 ,70 ,62 ,2011-03-04 13:45 ,7.1 ,50 ,20.5 ,40 ,2011-03-04 10:30 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.0 ,51.3 ,19.47 ,17.0 ,5.4 ,8 ,2011-03-04 13:00 ,3.3 
05,1015.0 ,1017.9 ,1017.2 ,2011-03-05 08:55 ,1013.0 ,2011-03-05 15:02 ,20.0 ,23.0 ,2011-03-05 11:36 ,17.9 ,2011-03-05 00:01 ,14.2 ,70 ,61 ,2011-03-05 11:35 ,5.2 ,50 ,17.1 ,50 ,2011-03-05 01:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.9 ,33.3 ,17.70 ,14.8 ,6.8 ,7 ,2011-03-05 12:00 ,5.0 
06,1011.9 ,1014.7 ,1014.8 ,2011-03-06 00:05 ,1009.6 ,2011-03-06 17:00 ,22.4 ,26.5 ,2011-03-06 12:21 ,19.3 ,2011-03-06 00:36 ,17.3 ,73 ,61 ,2011-03-06 12:21 ,2.9 ,80 ,12.1 ,90 ,2011-03-06 12:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.0 ,25.6 ,14.96 ,14.3 ,5.5 ,8 ,2011-03-06 12:00 ,6.6 
07,1011.3 ,1014.2 ,1015.2 ,2011-03-07 21:41 ,1008.4 ,2011-03-07 04:00 ,20.5 ,25.3 ,2011-03-07 08:42 ,16.9 ,2011-03-07 23:06 ,16.9 ,80 ,73 ,2011-03-07 23:47 ,4.5 ,50 ,21.6 ,40 ,2011-03-07 20:20 ,3.0 ,1.4 ,2.5 ,2011-03-07 09:58 ,2.5 ,2011-03-07 09:58 ,0.0 ,0.0 ,6.89 ,11.8 ,-3.2 ,3 ,2011-03-07 14:00 ,8.0 
08,1016.0 ,1018.9 ,1018.2 ,2011-03-08 23:37 ,1014.1 ,2011-03-08 04:49 ,17.8 ,20.5 ,2011-03-08 12:02 ,16.3 ,2011-03-08 05:01 ,11.3 ,66 ,59 ,2011-03-08 10:08 ,6.5 ,50 ,21.3 ,20 ,2011-03-08 00:39 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.5 ,29.7 ,15.78 ,13.9 ,6.1 ,7 ,2011-03-08 12:00 ,7.8 
09,1018.1 ,1021.0 ,1019.7 ,2011-03-09 20:58 ,1016.1 ,2011-03-09 14:27 ,20.0 ,23.5 ,2011-03-09 13:34 ,17.6 ,2011-03-09 00:08 ,13.3 ,66 ,56 ,2011-03-09 12:21 ,5.3 ,40 ,17.2 ,20 ,2011-03-09 01:56 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.7 ,73.7 ,23.43 ,15.8 ,4.9 ,7 ,2011-03-09 13:00 ,4.4 
10,1017.1 ,1020.0 ,1019.3 ,2011-03-10 00:01 ,1014.9 ,2011-03-10 14:52 ,20.5 ,24.2 ,2011-03-10 12:22 ,18.0 ,2011-03-10 06:26 ,14.6 ,69 ,57 ,2011-03-10 12:22 ,5.2 ,50 ,18.3 ,30 ,2011-03-10 05:45 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.9 ,41.4 ,18.42 ,15.3 ,6.1 ,7 ,2011-03-10 12:00 ,6.8 
11,1015.4 ,1018.2 ,1017.5 ,2011-03-11 07:30 ,1013.5 ,2011-03-11 15:11 ,21.5 ,25.7 ,2011-03-11 12:12 ,19.0 ,2011-03-11 05:01 ,15.6 ,69 ,57 ,2011-03-11 13:06 ,3.4 ,30 ,12.2 ,40 ,2011-03-11 21:25 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.6 ,64.2 ,21.12 ,15.8 ,4.9 ,7 ,2011-03-11 12:00 ,4.0 
12,1013.7 ,1016.5 ,1016.0 ,2011-03-12 07:48 ,1011.5 ,2011-03-12 15:23 ,22.4 ,27.2 ,2011-03-12 12:58 ,18.1 ,2011-03-12 03:24 ,17.4 ,74 ,61 ,2011-03-12 14:35 ,1.1 ,340 ,6.3 ,50 ,2011-03-12 00:14 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.3 ,70.0 ,21.13 ,14.6 ,4.1 ,7 ,2011-03-12 13:00 ,3.6 
13,1012.6 ,1015.4 ,1014.5 ,2011-03-13 09:58 ,1010.5 ,2011-03-13 15:21 ,22.6 ,28.0 ,2011-03-13 12:47 ,17.8 ,2011-03-13 04:36 ,18.2 ,77 ,62 ,2011-03-13 11:44 ,2.4 ,90 ,10.2 ,40 ,2011-03-13 19:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.1 ,68.1 ,21.22 ,14.3 ,5.4 ,6 ,2011-03-13 13:00 ,2.8 
14,1011.6 ,1014.4 ,1013.5 ,2011-03-14 21:46 ,1009.7 ,2011-03-14 14:29 ,23.5 ,27.7 ,2011-03-14 12:42 ,20.6 ,2011-03-14 05:59 ,19.0 ,76 ,63 ,2011-03-14 12:10 ,1.7 ,80 ,8.4 ,90 ,2011-03-14 19:41 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.6 ,38.6 ,14.75 ,14.6 ,3.3 ,5 ,2011-03-14 13:00 ,6.1 
15,1013.2 ,1016.1 ,1015.9 ,2011-03-15 22:23 ,1011.4 ,2011-03-15 03:11 ,22.3 ,25.0 ,2011-03-15 12:28 ,18.9 ,2011-03-15 23:39 ,17.6 ,75 ,66 ,2011-03-15 13:22 ,6.0 ,40 ,23.9 ,40 ,2011-03-15 23:23 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.3 ,61.2 ,21.46 ,13.5 ,3.5 ,7 ,2011-03-15 13:00 ,5.0 
