ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1007.7 ,1012.1 ,1009.3 ,2021-05-01 22:02 ,1006.0 ,2021-05-01 02:56 ,24.3 ,28.6 ,2021-05-01 11:47 ,21.2 ,2021-05-01 03:30 ,21.2 ,83 ,68 ,2021-05-01 10:57 ,1.8 ,330 ,4.7 ,340 ,2021-05-01 20:02 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.9 ,53.2 ,25.56 ,... ,... ,11 ,2021-05-01 12:00 ,... 
02,1010.3 ,1014.7 ,1012.3 ,2021-05-02 21:50 ,1008.0 ,2021-05-02 02:44 ,25.0 ,29.7 ,2021-05-02 12:43 ,21.2 ,2021-05-02 03:24 ,22.1 ,84 ,62 ,2021-05-02 08:33 ,2.1 ,340 ,6.3 ,150 ,2021-05-02 22:02 ,5.5 ,1.0 ,2.5 ,2021-05-02 23:28 ,5.5 ,2021-05-02 23:28 ,7.3 ,56.2 ,25.43 ,... ,... ,12 ,2021-05-02 12:00 ,... 
03,1011.0 ,1015.3 ,1012.7 ,2021-05-03 09:17 ,1009.1 ,2021-05-03 16:04 ,23.9 ,26.6 ,2021-05-03 11:49 ,22.3 ,2021-05-03 05:38 ,22.6 ,92 ,76 ,2021-05-03 11:47 ,1.3 ,320 ,8.3 ,80 ,2021-05-03 00:30 ,40.5 ,7.4 ,5.5 ,2021-05-03 00:26 ,15.5 ,2021-05-03 00:24 ,0.2 ,1.5 ,12.89 ,... ,... ,9 ,2021-05-03 12:00 ,... 
04,1008.2 ,1012.6 ,1010.4 ,2021-05-04 00:01 ,1005.9 ,2021-05-04 15:41 ,25.2 ,28.9 ,2021-05-04 11:22 ,22.6 ,2021-05-04 02:24 ,24.1 ,94 ,82 ,2021-05-04 10:18 ,1.9 ,220 ,10.0 ,230 ,2021-05-04 16:04 ,13.0 ,7.2 ,2.5 ,2021-05-04 20:54 ,3.5 ,2021-05-04 20:20 ,3.4 ,26.1 ,15.38 ,... ,... ,11 ,2021-05-04 11:00 ,... 
05,1009.1 ,1013.5 ,1012.5 ,2021-05-05 22:18 ,1006.8 ,2021-05-05 02:40 ,24.5 ,29.5 ,2021-05-05 11:03 ,22.2 ,2021-05-05 20:12 ,23.0 ,92 ,85 ,2021-05-05 11:05 ,3.1 ,30 ,16.5 ,30 ,2021-05-05 14:01 ,30.0 ,3.4 ,7.0 ,2021-05-05 14:05 ,19.0 ,2021-05-05 13:39 ,5.1 ,39.1 ,18.71 ,... ,... ,12 ,2021-05-05 11:00 ,... 
06,1010.9 ,1015.3 ,1012.6 ,2021-05-06 07:36 ,1009.0 ,2021-05-06 15:59 ,25.0 ,28.4 ,2021-05-06 11:07 ,21.9 ,2021-05-06 04:41 ,22.5 ,86 ,68 ,2021-05-06 10:10 ,1.7 ,340 ,6.6 ,20 ,2021-05-06 00:03 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.8 ,44.4 ,24.97 ,... ,... ,13 ,2021-05-06 13:00 ,... 
07,1008.4 ,1012.8 ,1010.7 ,2021-05-07 00:01 ,1005.9 ,2021-05-07 16:26 ,25.9 ,29.3 ,2021-05-07 11:20 ,22.8 ,2021-05-07 05:31 ,24.2 ,91 ,82 ,2021-05-07 09:26 ,1.0 ,200 ,8.3 ,210 ,2021-05-07 09:51 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.2 ,47.4 ,22.10 ,... ,... ,13 ,2021-05-07 12:00 ,... 
08,1005.1 ,1009.4 ,1007.9 ,2021-05-08 00:06 ,1001.8 ,2021-05-08 15:06 ,26.6 ,29.3 ,2021-05-08 13:22 ,23.9 ,2021-05-08 00:57 ,25.1 ,91 ,83 ,2021-05-08 08:46 ,1.7 ,190 ,11.0 ,210 ,2021-05-08 11:41 ,0.5 ,0.9 ,0.5 ,2021-05-08 05:51 ,0.5 ,2021-05-08 05:51 ,8.7 ,66.4 ,28.16 ,... ,... ,13 ,2021-05-08 12:00 ,... 
09,1005.2 ,1009.5 ,1006.7 ,2021-05-09 21:25 ,1003.6 ,2021-05-09 15:45 ,26.2 ,29.9 ,2021-05-09 12:49 ,23.5 ,2021-05-09 02:17 ,24.4 ,90 ,78 ,2021-05-09 13:44 ,1.6 ,340 ,6.5 ,90 ,2021-05-09 13:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.3 ,55.6 ,25.20 ,... ,... ,13 ,2021-05-09 12:00 ,... 
10,1005.1 ,1009.3 ,1006.3 ,2021-05-10 08:34 ,1003.3 ,2021-05-10 03:19 ,27.0 ,30.0 ,2021-05-10 12:55 ,23.9 ,2021-05-10 00:50 ,25.0 ,89 ,78 ,2021-05-10 12:13 ,0.9 ,200 ,6.6 ,210 ,2021-05-10 11:24 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.1 ,54.1 ,24.56 ,... ,... ,14 ,2021-05-10 12:00 ,... 
11,1004.1 ,1008.3 ,1005.7 ,2021-05-11 00:01 ,1001.5 ,2021-05-11 14:59 ,27.4 ,30.0 ,2021-05-11 12:46 ,25.3 ,2021-05-11 23:52 ,25.3 ,88 ,81 ,2021-05-11 02:21 ,1.2 ,190 ,10.4 ,140 ,2021-05-11 14:24 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.3 ,78.3 ,30.82 ,... ,... ,14 ,2021-05-11 12:00 ,... 
12,1004.3 ,1008.6 ,1006.7 ,2021-05-12 22:05 ,1002.6 ,2021-05-12 15:15 ,27.8 ,31.8 ,2021-05-12 14:09 ,23.8 ,2021-05-12 05:18 ,25.1 ,86 ,74 ,2021-05-12 09:11 ,1.3 ,200 ,6.7 ,260 ,2021-05-12 03:30 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.0 ,83.5 ,30.73 ,... ,... ,13 ,2021-05-12 12:00 ,... 
13,1005.4 ,1009.7 ,1007.5 ,2021-05-13 22:26 ,1003.9 ,2021-05-13 15:32 ,27.5 ,30.5 ,2021-05-13 11:55 ,24.1 ,2021-05-13 05:01 ,25.4 ,88 ,80 ,2021-05-13 07:06 ,1.4 ,200 ,8.1 ,200 ,2021-05-13 10:44 ,T ,0.2 ,T ,2021-05-13 22:08 ,T ,2021-05-13 22:08 ,8.4 ,63.7 ,26.99 ,... ,... ,13 ,2021-05-13 12:00 ,... 
14,1006.8 ,1011.1 ,1008.1 ,2021-05-14 08:48 ,1005.4 ,2021-05-14 16:02 ,27.3 ,31.1 ,2021-05-14 14:11 ,22.3 ,2021-05-14 23:54 ,24.5 ,85 ,77 ,2021-05-14 11:35 ,0.9 ,220 ,5.5 ,180 ,2021-05-14 01:51 ,T ,0.1 ,T ,2021-05-14 00:30 ,T ,2021-05-14 00:30 ,11.4 ,86.4 ,31.27 ,... ,... ,13 ,2021-05-14 12:00 ,... 
15,1006.0 ,1010.3 ,1007.4 ,2021-05-15 09:14 ,1004.4 ,2021-05-15 16:35 ,27.7 ,30.4 ,2021-05-15 10:44 ,22.5 ,2021-05-15 00:03 ,24.5 ,83 ,60 ,2021-05-15 02:44 ,1.4 ,190 ,9.5 ,200 ,2021-05-15 13:12 ,T ,0.2 ,T ,2021-05-15 20:01 ,T ,2021-05-15 20:01 ,10.0 ,75.7 ,29.57 ,... ,... ,14 ,2021-05-15 12:00 ,... 
16,1005.5 ,1009.8 ,1007.1 ,2021-05-16 22:22 ,1003.4 ,2021-05-16 15:39 ,27.7 ,30.3 ,2021-05-16 12:36 ,26.1 ,2021-05-16 02:42 ,25.8 ,90 ,80 ,2021-05-16 08:10 ,1.5 ,200 ,9.8 ,180 ,2021-05-16 11:15 ,4.0 ,2.6 ,2.0 ,2021-05-16 21:09 ,4.0 ,2021-05-16 20:53 ,8.9 ,67.3 ,28.21 ,... ,... ,14 ,2021-05-16 12:00 ,... 
17,1006.1 ,1010.3 ,1007.3 ,2021-05-17 21:31 ,1005.1 ,2021-05-17 16:01 ,27.5 ,30.8 ,2021-05-17 13:06 ,25.7 ,2021-05-17 05:20 ,26.3 ,93 ,85 ,2021-05-17 12:13 ,1.5 ,230 ,8.2 ,180 ,2021-05-17 10:19 ,8.0 ,3.6 ,1.5 ,2021-05-17 20:02 ,3.5 ,2021-05-17 20:02 ,5.2 ,39.3 ,21.14 ,... ,... ,12 ,2021-05-17 12:00 ,... 
18,1006.0 ,1010.3 ,1007.4 ,2021-05-18 08:48 ,1004.1 ,2021-05-18 16:31 ,27.2 ,30.2 ,2021-05-18 12:47 ,25.4 ,2021-05-18 05:37 ,26.0 ,93 ,85 ,2021-05-18 11:31 ,1.3 ,240 ,8.5 ,240 ,2021-05-18 02:53 ,21.5 ,2.4 ,8.0 ,2021-05-18 03:05 ,20.0 ,2021-05-18 02:38 ,6.5 ,49.0 ,25.33 ,... ,... ,14 ,2021-05-18 12:00 ,... 
