ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1009.1 ,1011.6 ,1010.4 ,2020-06-01 22:03 ,1006.9 ,2020-06-01 15:42 ,27.8 ,30.1 ,2020-06-01 11:19 ,26.4 ,2020-06-01 04:49 ,25.7 ,88 ,82 ,2020-06-01 10:27 ,4.5 ,250 ,14.5 ,260 ,2020-06-01 12:27 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.9 ,50.9 ,20.77 ,16.0 ,-3.4 ,13 ,2020-06-01 12:00 ,6.3 
02,1007.9 ,1010.4 ,1010.4 ,2020-06-02 00:04 ,1006.0 ,2020-06-02 16:25 ,27.4 ,29.8 ,2020-06-02 11:46 ,24.6 ,2020-06-02 02:18 ,25.2 ,88 ,80 ,2020-06-02 00:53 ,4.9 ,230 ,12.9 ,260 ,2020-06-02 00:28 ,0.4 ,0.1 ,0.4 ,2020-06-02 00:25 ,0.4 ,2020-06-02 00:25 ,7.3 ,53.9 ,23.23 ,15.3 ,8.5 ,14 ,2020-06-02 13:00 ,6.0 
03,1006.2 ,1008.6 ,1007.9 ,2020-06-03 09:05 ,1003.7 ,2020-06-03 16:22 ,28.3 ,30.6 ,2020-06-03 13:37 ,25.4 ,2020-06-03 02:00 ,24.8 ,81 ,71 ,2020-06-03 23:47 ,7.5 ,230 ,16.7 ,260 ,2020-06-03 12:42 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.3 ,90.7 ,28.39 ,16.0 ,7.8 ,14 ,2020-06-03 12:00 ,2.8 
04,1005.7 ,1008.1 ,1007.1 ,2020-06-04 09:45 ,1003.9 ,2020-06-04 03:20 ,28.7 ,30.7 ,2020-06-04 11:54 ,27.3 ,2020-06-04 04:23 ,24.5 ,78 ,70 ,2020-06-04 00:38 ,8.2 ,230 ,18.2 ,240 ,2020-06-04 12:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.6 ,63.4 ,22.62 ,17.3 ,6.0 ,12 ,2020-06-04 11:00 ,5.3 
05,1005.4 ,1007.8 ,1007.1 ,2020-06-05 08:07 ,1003.3 ,2020-06-05 16:55 ,28.6 ,30.4 ,2020-06-05 14:51 ,26.7 ,2020-06-05 04:32 ,24.9 ,80 ,73 ,2020-06-05 02:10 ,7.0 ,240 ,16.7 ,260 ,2020-06-05 14:04 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.4 ,47.1 ,20.59 ,17.3 ,5.5 ,10 ,2020-06-05 14:00 ,7.5 
06,1004.4 ,1006.9 ,1005.7 ,2020-06-06 22:39 ,1003.0 ,2020-06-06 03:49 ,28.9 ,30.7 ,2020-06-06 14:12 ,27.4 ,2020-06-06 19:38 ,25.4 ,82 ,76 ,2020-06-06 03:40 ,7.5 ,230 ,18.7 ,250 ,2020-06-06 09:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.3 ,53.7 ,22.67 ,16.7 ,-5.6 ,12 ,2020-06-06 11:00 ,7.0 
07,1005.6 ,1008.1 ,1006.7 ,2020-06-07 21:44 ,1004.4 ,2020-06-07 02:15 ,26.3 ,29.4 ,2020-06-07 07:07 ,24.3 ,2020-06-07 12:44 ,23.9 ,87 ,66 ,2020-06-07 03:30 ,4.2 ,230 ,16.3 ,240 ,2020-06-07 07:35 ,26.5 ,9.0 ,7.0 ,2020-06-07 12:36 ,11.0 ,2020-06-07 12:20 ,0.8 ,5.9 ,4.32 ,9.0 ,/ ,4 ,2020-06-07 11:00 ,9.8 
08,1006.5 ,1009.0 ,1007.9 ,2020-06-08 10:45 ,1004.7 ,2020-06-08 02:09 ,25.1 ,27.2 ,2020-06-08 09:13 ,23.8 ,2020-06-08 18:23 ,23.5 ,91 ,79 ,2020-06-08 22:21 ,2.7 ,90 ,16.2 ,230 ,2020-06-08 17:12 ,9.0 ,11.4 ,1.0 ,2020-06-08 15:54 ,3.0 ,2020-06-08 15:13 ,0.0 ,0.0 ,4.96 ,13.0 ,-1.0 ,3 ,2020-06-08 11:00 ,10.0 
09,1007.4 ,1009.9 ,1008.3 ,2020-06-09 11:22 ,1006.0 ,2020-06-09 03:46 ,26.4 ,29.1 ,2020-06-09 13:52 ,24.2 ,2020-06-09 00:01 ,23.4 ,84 ,71 ,2020-06-09 19:30 ,3.0 ,230 ,12.8 ,250 ,2020-06-09 16:38 ,0.5 ,0.8 ,0.5 ,2020-06-09 16:45 ,0.5 ,2020-06-09 16:34 ,0.1 ,0.7 ,9.25 ,17.5 ,-2.6 ,5 ,2020-06-09 12:00 ,8.5 
10,1007.2 ,1009.6 ,1008.6 ,2020-06-10 09:26 ,1005.6 ,2020-06-10 16:18 ,27.8 ,30.7 ,2020-06-10 12:09 ,24.5 ,2020-06-10 00:11 ,24.5 ,82 ,70 ,2020-06-10 08:23 ,4.2 ,220 ,12.9 ,240 ,2020-06-10 09:42 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.6 ,26.4 ,19.95 ,17.7 ,4.3 ,12 ,2020-06-10 12:00 ,9.3 
11,1005.9 ,1008.4 ,1007.4 ,2020-06-11 00:01 ,1004.2 ,2020-06-11 17:18 ,27.8 ,29.1 ,2020-06-11 10:44 ,26.2 ,2020-06-11 23:51 ,26.0 ,90 ,87 ,2020-06-11 00:01 ,3.7 ,230 ,9.6 ,230 ,2020-06-11 12:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,8.43 ,16.3 ,1.7 ,5 ,2020-06-11 12:00 ,10.0 
12,1005.0 ,1007.4 ,1006.6 ,2020-06-12 09:52 ,1003.2 ,2020-06-12 17:35 ,28.7 ,31.5 ,2020-06-12 13:03 ,26.1 ,2020-06-12 00:08 ,25.9 ,85 ,75 ,2020-06-12 16:14 ,2.0 ,210 ,6.5 ,290 ,2020-06-12 11:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.4 ,83.7 ,28.21 ,17.3 ,6.1 ,13 ,2020-06-12 12:00 ,5.7 
13,1006.3 ,1008.7 ,1009.4 ,2020-06-13 22:17 ,1003.5 ,2020-06-13 02:16 ,29.1 ,32.1 ,2020-06-13 13:50 ,26.0 ,2020-06-13 04:09 ,26.0 ,84 ,73 ,2020-06-13 10:16 ,1.7 ,320 ,7.2 ,310 ,2020-06-13 15:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.0 ,66.0 ,26.00 ,15.3 ,5.8 ,13 ,2020-06-13 12:00 ,3.8 
14,1010.0 ,1012.4 ,1012.2 ,2020-06-14 21:11 ,1007.4 ,2020-06-14 02:32 ,28.8 ,32.0 ,2020-06-14 13:21 ,26.2 ,2020-06-14 21:43 ,25.9 ,84 ,74 ,2020-06-14 11:28 ,3.0 ,250 ,8.4 ,240 ,2020-06-14 17:28 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.5 ,77.0 ,26.64 ,17.3 ,6.9 ,13 ,2020-06-14 12:00 ,4.5 
15,1009.8 ,1012.3 ,1011.7 ,2020-06-15 00:01 ,1008.2 ,2020-06-15 15:08 ,28.7 ,31.2 ,2020-06-15 12:20 ,25.8 ,2020-06-15 01:43 ,25.7 ,84 ,78 ,2020-06-15 13:23 ,5.8 ,230 ,14.9 ,250 ,2020-06-15 13:39 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.5 ,91.6 ,28.47 ,19.7 ,6.7 ,12 ,2020-06-15 12:00 ,3.5 
16,1006.9 ,1009.4 ,1008.8 ,2020-06-16 00:01 ,1005.3 ,2020-06-16 15:55 ,28.9 ,30.9 ,2020-06-16 12:36 ,26.6 ,2020-06-16 01:52 ,24.9 ,79 ,69 ,2020-06-16 21:21 ,7.4 ,230 ,15.9 ,240 ,2020-06-16 11:48 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.8 ,93.8 ,28.48 ,23.7 ,8.6 ,13 ,2020-06-16 12:00 ,2.2 
17,1005.5 ,1007.9 ,1006.6 ,2020-06-17 21:43 ,1004.3 ,2020-06-17 15:34 ,29.3 ,31.4 ,2020-06-17 13:37 ,26.8 ,2020-06-17 00:24 ,25.1 ,78 ,68 ,2020-06-17 10:45 ,8.3 ,230 ,18.1 ,220 ,2020-06-17 10:42 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.9 ,94.5 ,28.90 ,20.7 ,7.4 ,13 ,2020-06-17 12:00 ,5.3 
18,1005.5 ,1007.9 ,1007.6 ,2020-06-18 08:43 ,1003.8 ,2020-06-18 17:04 ,29.4 ,31.5 ,2020-06-18 13:17 ,27.5 ,2020-06-18 04:40 ,24.8 ,77 ,68 ,2020-06-18 13:01 ,8.7 ,230 ,16.5 ,220 ,2020-06-18 10:01 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.3 ,90.1 ,28.50 ,18.0 ,8.7 ,13 ,2020-06-18 12:00 ,4.7 
19,1006.2 ,1008.6 ,1007.5 ,2020-06-19 11:37 ,1005.2 ,2020-06-19 01:32 ,29.2 ,31.3 ,2020-06-19 14:27 ,26.7 ,2020-06-19 23:37 ,25.3 ,80 ,72 ,2020-06-19 00:32 ,7.8 ,230 ,19.0 ,220 ,2020-06-19 09:48 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.1 ,88.7 ,27.13 ,18.0 ,7.8 ,12 ,2020-06-19 12:00 ,6.2 
20,1005.7 ,1008.2 ,1007.2 ,2020-06-20 10:01 ,1004.0 ,2020-06-20 16:44 ,29.2 ,31.4 ,2020-06-20 13:02 ,26.3 ,2020-06-20 00:42 ,25.3 ,80 ,74 ,2020-06-20 09:42 ,6.3 ,220 ,16.6 ,230 ,2020-06-20 09:44 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.5 ,91.6 ,27.76 ,16.7 ,6.9 ,12 ,2020-06-20 13:00 ,4.7 
21,1003.0 ,1005.5 ,1005.0 ,2020-06-21 00:01 ,1000.6 ,2020-06-21 16:51 ,29.5 ,31.3 ,2020-06-21 13:58 ,26.6 ,2020-06-21 03:15 ,25.1 ,77 ,70 ,2020-06-21 21:53 ,8.0 ,240 ,20.2 ,240 ,2020-06-21 11:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.9 ,65.2 ,22.75 ,18.0 ,6.4 ,12 ,2020-06-21 12:00 ,6.5 
22,1003.4 ,1005.8 ,1004.9 ,2020-06-22 22:06 ,1002.1 ,2020-06-22 03:03 ,29.9 ,31.4 ,2020-06-22 12:00 ,28.4 ,2020-06-22 06:12 ,25.6 ,78 ,70 ,2020-06-22 20:04 ,8.8 ,230 ,18.7 ,230 ,2020-06-22 09:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.5 ,84.3 ,27.59 ,19.3 ,6.9 ,12 ,2020-06-22 13:00 ,5.3 
23,1004.1 ,1006.5 ,1004.9 ,2020-06-23 22:01 ,1003.0 ,2020-06-23 18:55 ,29.8 ,32.0 ,2020-06-23 12:36 ,26.6 ,2020-06-23 04:17 ,25.6 ,78 ,74 ,2020-06-23 07:51 ,7.2 ,220 ,18.4 ,240 ,2020-06-23 14:03 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.0 ,87.9 ,27.73 ,18.7 ,2.0 ,12 ,2020-06-23 12:00 ,7.2 
