ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1003.4 ,1006.7 ,1004.6 ,2019-08-01 22:33 ,1002.0 ,2019-08-01 17:26 ,29.1 ,34.2 ,2019-08-01 11:01 ,24.4 ,2019-08-01 16:09 ,25.1 ,80 ,61 ,2019-08-01 09:45 ,1.1 ,70 ,9.1 ,180 ,2019-08-01 15:29 ,19.0 ,0.8 ,11.5 ,2019-08-01 15:51 ,18.5 ,2019-08-01 15:42 ,8.5 ,64.2 ,21.31 ,10.7 ,-6.3 ,10 ,2019-08-01 13:00 ,7.0 
02,1001.8 ,1005.1 ,1004.3 ,2019-08-02 00:04 ,999.2 ,2019-08-02 17:05 ,29.5 ,34.4 ,2019-08-02 14:32 ,25.8 ,2019-08-02 05:24 ,23.4 ,70 ,55 ,2019-08-02 18:10 ,1.2 ,110 ,10.2 ,200 ,2019-08-02 14:41 ,T ,0.3 ,T ,2019-08-02 13:40 ,T ,2019-08-02 13:40 ,9.6 ,72.6 ,20.10 ,13.8 ,-5.0 ,10 ,2019-08-02 12:00 ,5.9 
03,999.9 ,1003.1 ,1001.2 ,2019-08-03 00:01 ,998.2 ,2019-08-03 16:47 ,29.6 ,34.1 ,2019-08-03 13:59 ,25.1 ,2019-08-03 04:52 ,23.6 ,71 ,57 ,2019-08-03 13:08 ,1.6 ,10 ,9.5 ,360 ,2019-08-03 15:21 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.4 ,78.8 ,23.98 ,17.8 ,7.0 ,13 ,2019-08-03 13:00 ,4.4 
04,998.4 ,1001.7 ,999.7 ,2019-08-04 00:01 ,996.9 ,2019-08-04 16:45 ,30.5 ,34.6 ,2019-08-04 14:30 ,26.0 ,2019-08-04 05:41 ,24.7 ,72 ,61 ,2019-08-04 14:37 ,1.1 ,80 ,6.6 ,290 ,2019-08-04 13:04 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.0 ,75.9 ,22.82 ,14.3 ,5.3 ,10 ,2019-08-04 14:00 ,5.2 
05,998.4 ,1001.6 ,999.8 ,2019-08-05 09:54 ,996.2 ,2019-08-05 16:40 ,31.2 ,36.4 ,2019-08-05 14:59 ,27.7 ,2019-08-05 03:06 ,24.9 ,70 ,53 ,2019-08-05 15:09 ,1.6 ,70 ,11.4 ,40 ,2019-08-05 16:17 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.1 ,61.5 ,20.44 ,15.8 ,6.7 ,11 ,2019-08-05 13:00 ,6.4 
06,998.2 ,1001.5 ,1000.2 ,2019-08-06 06:10 ,996.3 ,2019-08-06 15:31 ,31.1 ,35.1 ,2019-08-06 11:11 ,27.5 ,2019-08-06 04:42 ,23.0 ,63 ,46 ,2019-08-06 15:38 ,2.5 ,30 ,12.2 ,360 ,2019-08-06 20:12 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.1 ,92.1 ,28.08 ,20.5 ,9.5 ,13 ,2019-08-06 13:00 ,2.1 
07,995.7 ,999.0 ,997.9 ,2019-08-07 00:01 ,993.1 ,2019-08-07 16:19 ,30.1 ,33.8 ,2019-08-07 12:09 ,27.4 ,2019-08-07 05:41 ,24.1 ,71 ,59 ,2019-08-07 09:25 ,2.7 ,30 ,15.5 ,20 ,2019-08-07 13:55 ,15.0 ,4.0 ,3.5 ,2019-08-07 21:17 ,10.0 ,2019-08-07 20:27 ,12.0 ,91.5 ,27.76 ,18.8 ,-6.6 ,14 ,2019-08-07 13:00 ,4.5 
08,991.5 ,994.7 ,994.4 ,2019-08-08 00:01 ,988.2 ,2019-08-08 23:59 ,28.2 ,31.7 ,2019-08-08 11:09 ,26.6 ,2019-08-08 16:42 ,25.8 ,87 ,76 ,2019-08-08 08:07 ,2.0 ,10 ,11.3 ,20 ,2019-08-08 19:25 ,58.5 ,12.8 ,7.0 ,2019-08-08 15:23 ,10.0 ,2019-08-08 00:01 ,2.5 ,19.1 ,8.88 ,12.5 ,-0.5 ,8 ,2019-08-08 12:00 ,8.7 
09,987.0 ,990.2 ,988.4 ,2019-08-09 00:28 ,984.7 ,2019-08-09 16:27 ,27.7 ,29.7 ,2019-08-09 21:46 ,26.1 ,2019-08-09 02:28 ,24.7 ,84 ,67 ,2019-08-09 21:46 ,2.2 ,190 ,13.3 ,170 ,2019-08-09 23:45 ,49.5 ,14.4 ,9.0 ,2019-08-09 03:47 ,12.5 ,2019-08-09 03:35 ,0.2 ,1.5 ,6.22 ,8.8 ,-3.4 ,4 ,2019-08-09 12:00 ,9.7 
10,990.3 ,993.5 ,994.9 ,2019-08-10 23:59 ,986.8 ,2019-08-10 01:42 ,31.4 ,34.4 ,2019-08-10 14:54 ,27.1 ,2019-08-10 00:26 ,25.4 ,71 ,60 ,2019-08-10 14:42 ,2.5 ,240 ,17.5 ,250 ,2019-08-10 04:14 ,4.0 ,0.5 ,2.5 ,2019-08-10 00:21 ,4.0 ,2019-08-10 00:18 ,6.7 ,51.3 ,18.55 ,10.8 ,-6.4 ,10 ,2019-08-10 12:00 ,8.1 
