ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,904.0 ,1546.0 ,905.6 ,2015-10-01 00:03 ,902.5 ,2015-10-01 15:35 ,22.8 ,28.6 ,2015-10-01 13:18 ,20.3 ,2015-10-01 06:42 ,20.9 ,89 ,73 ,2015-10-01 13:17 ,1.1 ,350 ,5.2 ,290 ,2015-10-01 16:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.0 ,50.7 ,14.01 ,7.0 ,2.1 ,6 ,2015-10-01 14:00 ,4.8 
02,902.9 ,1536.3 ,904.1 ,2015-10-02 23:06 ,901.5 ,2015-10-02 14:57 ,23.3 ,28.8 ,2015-10-02 13:07 ,19.9 ,2015-10-02 05:06 ,21.0 ,88 ,70 ,2015-10-02 13:58 ,1.0 ,310 ,5.5 ,180 ,2015-10-02 23:57 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.1 ,60.1 ,15.88 ,8.3 ,3.6 ,6 ,2015-10-02 14:00 ,5.0 
03,905.4 ,1560.5 ,907.8 ,2015-10-03 21:11 ,903.5 ,2015-10-03 02:23 ,23.5 ,29.3 ,2015-10-03 13:25 ,20.2 ,2015-10-03 04:43 ,20.6 ,85 ,66 ,2015-10-03 13:07 ,1.3 ,320 ,6.0 ,280 ,2015-10-03 15:44 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.6 ,73.0 ,18.34 ,12.0 ,3.2 ,7 ,2015-10-03 13:00 ,4.6 
04,907.4 ,1579.7 ,908.3 ,2015-10-04 09:59 ,906.0 ,2015-10-04 15:12 ,23.2 ,29.1 ,2015-10-04 14:20 ,19.8 ,2015-10-04 05:49 ,20.2 ,84 ,68 ,2015-10-04 11:01 ,1.2 ,300 ,6.2 ,270 ,2015-10-04 13:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.9 ,58.7 ,15.52 ,11.8 ,2.1 ,6 ,2015-10-04 11:00 ,3.0 
05,906.4 ,1569.5 ,907.6 ,2015-10-05 00:02 ,904.7 ,2015-10-05 14:17 ,22.7 ,29.2 ,2015-10-05 13:45 ,19.0 ,2015-10-05 05:02 ,20.3 ,86 ,68 ,2015-10-05 11:02 ,0.9 ,290 ,6.0 ,290 ,2015-10-05 15:49 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.8 ,57.9 ,14.41 ,6.0 ,2.4 ,5 ,2015-10-05 14:00 ,5.0 
06,904.4 ,1548.8 ,906.3 ,2015-10-06 00:01 ,902.6 ,2015-10-06 15:21 ,22.1 ,28.2 ,2015-10-06 13:06 ,19.7 ,2015-10-06 20:37 ,19.7 ,87 ,74 ,2015-10-06 13:19 ,1.4 ,300 ,5.6 ,290 ,2015-10-06 15:10 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.4 ,29.0 ,10.67 ,5.0 ,2.3 ,5 ,2015-10-06 14:00 ,6.8 
07,902.5 ,1530.4 ,903.8 ,2015-10-07 00:01 ,901.0 ,2015-10-07 16:31 ,22.0 ,26.7 ,2015-10-07 14:01 ,19.5 ,2015-10-07 23:57 ,19.1 ,84 ,72 ,2015-10-07 12:56 ,1.2 ,310 ,5.9 ,250 ,2015-10-07 12:33 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.0 ,51.3 ,13.29 ,7.0 ,2.4 ,6 ,2015-10-07 12:00 ,4.8 
08,900.6 ,1510.7 ,902.2 ,2015-10-08 00:01 ,899.4 ,2015-10-08 14:25 ,20.5 ,24.5 ,2015-10-08 11:39 ,18.1 ,2015-10-08 06:23 ,18.6 ,89 ,76 ,2015-10-08 11:36 ,1.0 ,300 ,5.3 ,290 ,2015-10-08 12:24 ,T ,0.9 ,T ,2015-10-08 18:33 ,T ,2015-10-08 18:20 ,1.9 ,16.3 ,8.09 ,14.0 ,-0.8 ,4 ,2015-10-08 11:00 ,7.7 
09,899.9 ,1502.8 ,901.3 ,2015-10-09 21:30 ,898.2 ,2015-10-09 14:53 ,21.1 ,26.7 ,2015-10-09 13:42 ,18.6 ,2015-10-09 07:25 ,19.7 ,92 ,77 ,2015-10-09 13:13 ,1.2 ,300 ,5.4 ,280 ,2015-10-09 15:27 ,2.5 ,2.6 ,1.0 ,2015-10-09 05:06 ,2.0 ,2015-10-09 04:40 ,2.6 ,22.3 ,10.96 ,16.0 ,1.8 ,5 ,2015-10-09 13:00 ,8.8 
10,901.5 ,1518.5 ,903.8 ,2015-10-10 22:19 ,900.0 ,2015-10-10 03:03 ,20.1 ,22.9 ,2015-10-10 10:11 ,18.6 ,2015-10-10 23:35 ,18.9 ,93 ,86 ,2015-10-10 10:10 ,1.4 ,330 ,6.5 ,320 ,2015-10-10 13:49 ,8.5 ,2.8 ,5.5 ,2015-10-10 12:53 ,7.5 ,2015-10-10 12:42 ,0.8 ,6.9 ,5.32 ,4.9 ,-1.5 ,2 ,2015-10-10 10:00 ,8.8 
