ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1008.0 ,1013.2 ,1009.6 ,2018-03-01 10:22 ,1006.5 ,2018-03-01 15:36 ,21.8 ,24.5 ,2018-03-01 13:22 ,20.2 ,2018-03-01 17:59 ,18.5 ,81 ,70 ,2018-03-01 13:37 ,6.3 ,10 ,11.2 ,360 ,2018-03-01 12:03 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.1 ,78.4 ,18.85 ,13.5 ,3.3 ,... ,... ,2.0 
02,1007.6 ,1012.9 ,1009.7 ,2018-03-02 10:16 ,1005.7 ,2018-03-02 15:53 ,21.5 ,24.0 ,2018-03-02 11:27 ,20.2 ,2018-03-02 04:21 ,18.6 ,84 ,78 ,2018-03-02 11:27 ,6.0 ,20 ,9.5 ,350 ,2018-03-02 13:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.8 ,75.7 ,18.22 ,6.0 ,3.8 ,... ,... ,2.0 
03,1006.9 ,1012.1 ,1008.6 ,2018-03-03 09:58 ,1005.5 ,2018-03-03 15:19 ,23.0 ,27.4 ,2018-03-03 13:02 ,20.8 ,2018-03-03 05:06 ,20.2 ,84 ,76 ,2018-03-03 13:00 ,3.6 ,20 ,7.3 ,20 ,2018-03-03 03:35 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.8 ,75.5 ,18.78 ,4.3 ,4.3 ,... ,... ,4.5 
04,1007.7 ,1012.9 ,1009.1 ,2018-03-04 09:09 ,1006.2 ,2018-03-04 04:19 ,23.5 ,27.0 ,2018-03-04 12:22 ,21.4 ,2018-03-04 04:12 ,21.5 ,89 ,81 ,2018-03-04 11:54 ,2.8 ,10 ,9.4 ,170 ,2018-03-04 23:59 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.0 ,8.6 ,10.79 ,4.0 ,2.8 ,... ,... ,9.0 
05,1008.3 ,1013.5 ,1010.3 ,2018-03-05 22:13 ,1006.6 ,2018-03-05 02:58 ,24.3 ,29.5 ,2018-03-05 11:30 ,19.4 ,2018-03-05 23:41 ,22.8 ,91 ,80 ,2018-03-05 18:05 ,4.8 ,20 ,20.6 ,20 ,2018-03-05 22:57 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.1 ,52.2 ,16.80 ,3.2 ,2.9 ,... ,... ,4.5 
06,1012.3 ,1017.6 ,1014.0 ,2018-03-06 10:08 ,1010.1 ,2018-03-06 00:05 ,19.7 ,20.7 ,2018-03-06 10:57 ,18.7 ,2018-03-06 05:00 ,16.1 ,80 ,76 ,2018-03-06 12:05 ,13.0 ,20 ,21.4 ,20 ,2018-03-06 04:49 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.1 ,0.9 ,6.80 ,7.0 ,5.4 ,... ,... ,9.8 
07,1011.6 ,1016.9 ,1013.9 ,2018-03-07 00:15 ,1009.4 ,2018-03-07 16:10 ,20.2 ,22.5 ,2018-03-07 14:24 ,19.0 ,2018-03-07 18:53 ,16.6 ,80 ,77 ,2018-03-07 13:09 ,9.1 ,20 ,15.7 ,360 ,2018-03-07 01:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.6 ,5.1 ,8.60 ,6.5 ,3.9 ,... ,... ,9.0 
08,1012.0 ,1017.4 ,1015.3 ,2018-03-08 23:09 ,1009.2 ,2018-03-08 03:00 ,18.0 ,20.8 ,2018-03-08 03:18 ,15.6 ,2018-03-08 22:43 ,13.7 ,76 ,68 ,2018-03-08 22:46 ,14.7 ,20 ,26.4 ,20 ,2018-03-08 19:53 ,3.5 ,3.9 ,0.5 ,2018-03-08 19:18 ,1.1 ,2018-03-08 18:30 ,0.0 ,0.0 ,0.19 ,18.8 ,-3.7 ,... ,... ,10.0 
09,1014.9 ,1020.3 ,1016.6 ,2018-03-09 23:05 ,1013.1 ,2018-03-09 00:53 ,16.5 ,17.9 ,2018-03-09 11:16 ,15.6 ,2018-03-09 18:24 ,10.5 ,68 ,62 ,2018-03-09 10:44 ,14.9 ,20 ,26.3 ,360 ,2018-03-09 03:05 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.4 ,37.3 ,13.48 ,5.5 ,4.9 ,... ,... ,6.8 
10,1016.0 ,1021.4 ,1017.5 ,2018-03-10 09:11 ,1014.9 ,2018-03-10 03:18 ,18.7 ,21.5 ,2018-03-10 11:34 ,17.2 ,2018-03-10 00:03 ,12.8 ,68 ,61 ,2018-03-10 11:10 ,9.4 ,30 ,15.8 ,20 ,2018-03-10 10:31 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.5 ,63.5 ,17.34 ,15.0 ,4.8 ,... ,... ,3.8 
11,1016.4 ,1021.7 ,1018.1 ,2018-03-11 09:30 ,1015.2 ,2018-03-11 03:14 ,19.7 ,22.6 ,2018-03-11 10:06 ,18.3 ,2018-03-11 02:45 ,13.9 ,69 ,64 ,2018-03-11 02:24 ,6.7 ,360 ,11.8 ,360 ,2018-03-11 10:39 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.9 ,83.7 ,20.21 ,17.5 ,4.4 ,... ,... ,1.8 
12,1014.2 ,1019.5 ,1016.1 ,2018-03-12 00:02 ,1012.3 ,2018-03-12 16:10 ,20.5 ,23.3 ,2018-03-12 12:15 ,18.4 ,2018-03-12 04:14 ,14.8 ,70 ,63 ,2018-03-12 19:23 ,4.3 ,360 ,9.4 ,360 ,2018-03-12 01:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,91.1 ,20.12 ,19.0 ,4.2 ,... ,... ,0.8 
13,1012.5 ,1017.8 ,1014.4 ,2018-03-13 09:47 ,1010.8 ,2018-03-13 16:32 ,21.8 ,25.6 ,2018-03-13 14:19 ,19.0 ,2018-03-13 03:07 ,16.6 ,72 ,56 ,2018-03-13 13:45 ,2.7 ,350 ,6.7 ,330 ,2018-03-13 14:13 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.4 ,87.6 ,19.45 ,15.0 ,5.2 ,... ,... ,1.0 
14,1010.8 ,1016.1 ,1013.0 ,2018-03-14 10:21 ,1009.2 ,2018-03-14 15:25 ,23.1 ,25.5 ,2018-03-14 15:29 ,20.7 ,2018-03-14 02:25 ,16.9 ,68 ,61 ,2018-03-14 21:20 ,3.6 ,20 ,7.5 ,10 ,2018-03-14 15:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.6 ,5.0 ,7.85 ,13.0 ,2.2 ,... ,... ,9.5 
15,1009.1 ,1014.4 ,1010.9 ,2018-03-15 10:54 ,1007.3 ,2018-03-15 15:47 ,23.4 ,27.7 ,2018-03-15 13:20 ,20.5 ,2018-03-15 18:24 ,18.7 ,75 ,66 ,2018-03-15 00:26 ,4.5 ,70 ,16.5 ,300 ,2018-03-15 15:58 ,22.4 ,2.3 ,7.0 ,2018-03-15 15:54 ,18.5 ,2018-03-15 15:54 ,0.4 ,3.4 ,7.26 ,6.0 ,-6.2 ,... ,... ,9.5 
16,1010.1 ,1015.4 ,1012.5 ,2018-03-16 22:45 ,1007.4 ,2018-03-16 03:51 ,23.0 ,25.2 ,2018-03-16 12:50 ,22.1 ,2018-03-16 00:02 ,19.3 ,80 ,74 ,2018-03-16 15:37 ,7.6 ,20 ,17.6 ,30 ,2018-03-16 23:35 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.4 ,70.3 ,18.27 ,10.5 ,2.7 ,... ,... ,2.8 
17,1012.8 ,1018.1 ,1014.3 ,2018-03-17 09:36 ,1011.6 ,2018-03-17 17:35 ,21.7 ,23.2 ,2018-03-17 11:15 ,20.8 ,2018-03-17 05:13 ,17.9 ,79 ,75 ,2018-03-17 00:02 ,10.9 ,10 ,18.1 ,360 ,2018-03-17 03:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.1 ,42.6 ,15.58 ,9.5 ,3.3 ,... ,... ,5.8 
18,1011.4 ,1016.6 ,1013.3 ,2018-03-18 00:05 ,1009.8 ,2018-03-18 15:25 ,22.6 ,25.4 ,2018-03-18 10:14 ,21.0 ,2018-03-18 04:13 ,18.9 ,80 ,74 ,2018-03-18 10:14 ,5.5 ,10 ,13.8 ,360 ,2018-03-18 03:01 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.4 ,78.4 ,17.80 ,7.0 ,4.4 ,... ,... ,1.3 
19,1007.6 ,1012.8 ,1010.2 ,2018-03-19 00:01 ,1004.6 ,2018-03-19 15:56 ,24.4 ,28.0 ,2018-03-19 13:32 ,21.5 ,2018-03-19 02:17 ,20.8 ,81 ,71 ,2018-03-19 11:09 ,3.6 ,20 ,8.1 ,260 ,2018-03-19 20:00 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.4 ,78.2 ,19.01 ,4.8 ,-3.8 ,... ,... ,2.3 
20,1006.9 ,1012.1 ,1009.8 ,2018-03-20 23:15 ,1004.6 ,2018-03-20 07:17 ,22.8 ,25.7 ,2018-03-20 10:01 ,20.7 ,2018-03-20 23:36 ,19.5 ,82 ,74 ,2018-03-20 22:58 ,6.8 ,10 ,16.4 ,360 ,2018-03-20 23:35 ,0.8 ,0.2 ,0.5 ,2018-03-20 06:48 ,0.8 ,2018-03-20 06:42 ,2.8 ,23.3 ,11.09 ,13.5 ,4.8 ,... ,... ,8.0 
