ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1016.7 ,1018.0 ,1018.7 ,2011-12-01 09:00 ,1014.6 ,2011-12-01 02:16 ,17.7 ,20.1 ,2011-12-01 00:01 ,15.8 ,2011-12-01 23:04 ,14.5 ,82 ,76 ,2011-12-01 13:31 ,1.5 ,350 ,7.2 ,340 ,2011-12-01 14:38 ,10.0 ,18.1 ,1.0 ,2011-12-01 06:12 ,2.0 ,2011-12-01 06:02 ,0.0 ,0.0 ,0.00 ,8.4 ,-0.4 ,... ,... ,10.0 
02,1015.7 ,1017.0 ,1017.4 ,2011-12-02 09:30 ,1014.3 ,2011-12-02 13:59 ,14.7 ,16.3 ,2011-12-02 00:01 ,13.5 ,2011-12-02 16:35 ,11.9 ,84 ,78 ,2011-12-02 00:01 ,1.5 ,360 ,8.5 ,30 ,2011-12-02 09:03 ,4.5 ,19.5 ,0.5 ,2011-12-02 02:24 ,1.0 ,2011-12-02 02:21 ,0.0 ,0.0 ,0.21 ,6.1 ,-1.1 ,... ,... ,10.0 
03,1018.6 ,1019.9 ,1021.6 ,2011-12-03 21:42 ,1016.1 ,2011-12-03 02:04 ,15.9 ,18.2 ,2011-12-03 12:44 ,13.7 ,2011-12-03 06:39 ,8.9 ,63 ,52 ,2011-12-03 13:05 ,3.3 ,80 ,11.8 ,90 ,2011-12-03 14:22 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.4 ,32.0 ,8.34 ,10.8 ,2.2 ,... ,... ,7.3 
04,1018.9 ,1020.2 ,1021.3 ,2011-12-04 00:04 ,1016.4 ,2011-12-04 14:08 ,19.2 ,22.5 ,2011-12-04 12:00 ,15.1 ,2011-12-04 00:31 ,10.8 ,59 ,49 ,2011-12-04 15:31 ,4.1 ,60 ,14.2 ,70 ,2011-12-04 12:45 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.2 ,77.3 ,14.32 ,12.1 ,-2.4 ,... ,... ,4.4 
05,1018.2 ,1019.5 ,1019.9 ,2011-12-05 10:18 ,1016.6 ,2011-12-05 14:40 ,19.4 ,20.5 ,2011-12-05 01:38 ,18.0 ,2011-12-05 16:30 ,16.3 ,83 ,66 ,2011-12-05 01:14 ,2.2 ,60 ,9.6 ,60 ,2011-12-05 02:56 ,23.6 ,16.3 ,1.5 ,2011-12-05 16:02 ,7.5 ,2011-12-05 15:52 ,0.0 ,0.0 ,1.91 ,8.9 ,-1.2 ,... ,... ,9.6 
06,1017.3 ,1018.5 ,1020.3 ,2011-12-06 09:56 ,1014.8 ,2011-12-06 14:58 ,22.0 ,25.4 ,2011-12-06 13:18 ,19.8 ,2011-12-06 00:01 ,19.0 ,83 ,68 ,2011-12-06 13:38 ,3.4 ,50 ,12.6 ,70 ,2011-12-06 13:50 ,24.0 ,10.1 ,3.0 ,2011-12-06 04:50 ,7.5 ,2011-12-06 04:03 ,0.7 ,6.6 ,6.30 ,11.5 ,-0.7 ,... ,... ,9.0 
07,1014.8 ,1016.0 ,1016.5 ,2011-12-07 00:01 ,1012.2 ,2011-12-07 12:39 ,23.7 ,31.2 ,2011-12-07 12:09 ,21.0 ,2011-12-07 20:08 ,19.9 ,80 ,57 ,2011-12-07 12:17 ,1.6 ,70 ,8.9 ,280 ,2011-12-07 13:13 ,T ,1.4 ,T ,2011-12-07 03:30 ,T ,2011-12-07 03:30 ,5.1 ,48.2 ,11.05 ,10.8 ,-1.0 ,... ,... ,8.4 
08,1019.4 ,1020.7 ,1023.0 ,2011-12-08 23:10 ,1015.5 ,2011-12-08 01:42 ,17.9 ,21.5 ,2011-12-08 02:16 ,15.6 ,2011-12-08 23:57 ,15.0 ,83 ,77 ,2011-12-08 19:16 ,1.8 ,90 ,7.9 ,60 ,2011-12-08 23:37 ,8.0 ,16.1 ,0.5 ,2011-12-08 05:45 ,1.5 ,2011-12-08 05:45 ,0.0 ,0.0 ,0.00 ,6.8 ,-0.3 ,... ,... ,10.0 
09,1023.6 ,1024.9 ,1025.9 ,2011-12-09 09:01 ,1022.0 ,2011-12-09 14:09 ,14.1 ,15.8 ,2011-12-09 00:14 ,12.8 ,2011-12-09 06:54 ,11.3 ,83 ,75 ,2011-12-09 03:20 ,3.6 ,80 ,10.8 ,80 ,2011-12-09 18:21 ,17.5 ,9.4 ,1.5 ,2011-12-09 06:45 ,4.5 ,2011-12-09 07:36 ,0.0 ,0.0 ,1.56 ,8.1 ,-0.6 ,... ,... ,10.0 
10,1023.1 ,1024.4 ,1024.9 ,2011-12-10 22:30 ,1021.3 ,2011-12-10 14:10 ,14.7 ,16.8 ,2011-12-10 11:19 ,12.5 ,2011-12-10 23:46 ,11.7 ,83 ,78 ,2011-12-10 14:08 ,3.8 ,80 ,10.9 ,70 ,2011-12-10 23:40 ,0.5 ,0.2 ,0.5 ,2011-12-10 12:30 ,0.5 ,2011-12-10 12:30 ,0.0 ,0.0 ,4.36 ,8.4 ,-0.2 ,... ,... ,10.0 
