ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1013.0 ,1014.1 ,1015.6 ,2010-03-01 09:05 ,1010.9 ,2010-03-01 15:04 ,25.4 ,30.7 ,2010-03-01 13:11 ,21.0 ,2010-03-01 05:05 ,19.3 ,70 ,49 ,2010-03-01 13:10 ,2.2 ,200 ,7.2 ,230 ,2010-03-01 15:10 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.7 ,92.2 ,15.22 ,... ,... ,... ,... ,... 
02,1012.0 ,1013.1 ,1013.8 ,2010-03-02 08:50 ,1010.1 ,2010-03-02 15:07 ,25.6 ,30.6 ,2010-03-02 12:09 ,22.6 ,2010-03-02 23:32 ,20.3 ,73 ,52 ,2010-03-02 12:09 ,2.0 ,310 ,6.5 ,300 ,2010-03-02 12:41 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.6 ,48.1 ,11.39 ,... ,... ,... ,... ,... 
03,1012.3 ,1013.4 ,1013.8 ,2010-03-03 08:49 ,1010.6 ,2010-03-03 16:00 ,24.3 ,29.6 ,2010-03-03 11:59 ,21.6 ,2010-03-03 23:38 ,18.5 ,71 ,53 ,2010-03-03 13:09 ,2.5 ,10 ,7.5 ,270 ,2010-03-03 12:50 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.9 ,59.2 ,12.20 ,... ,... ,... ,... ,... 
04,1011.5 ,1012.6 ,1013.2 ,2010-03-04 10:11 ,1009.5 ,2010-03-04 15:24 ,25.8 ,31.1 ,2010-03-04 12:17 ,21.5 ,2010-03-04 00:31 ,19.9 ,71 ,50 ,2010-03-04 12:17 ,2.8 ,170 ,10.3 ,210 ,2010-03-04 15:10 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.7 ,91.6 ,15.66 ,... ,... ,... ,... ,... 
05,1011.8 ,1012.9 ,1013.1 ,2010-03-05 09:22 ,1010.3 ,2010-03-05 15:15 ,26.1 ,30.5 ,2010-03-05 12:55 ,22.5 ,2010-03-05 06:07 ,20.2 ,71 ,51 ,2010-03-05 13:00 ,2.6 ,220 ,9.6 ,220 ,2010-03-05 14:19 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.8 ,83.8 ,14.25 ,... ,... ,... ,... ,... 
06,1013.0 ,1014.1 ,1014.6 ,2010-03-06 09:49 ,1011.1 ,2010-03-06 16:17 ,26.5 ,32.9 ,2010-03-06 13:41 ,22.2 ,2010-03-06 06:40 ,19.3 ,66 ,37 ,2010-03-06 13:39 ,1.8 ,250 ,6.7 ,230 ,2010-03-06 14:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,92.2 ,16.60 ,... ,... ,... ,... ,... 
07,1014.7 ,1015.8 ,1016.5 ,2010-03-07 23:01 ,1012.5 ,2010-03-07 14:47 ,22.5 ,28.2 ,2010-03-07 13:35 ,17.4 ,2010-03-07 23:37 ,16.3 ,69 ,51 ,2010-03-07 14:27 ,4.0 ,10 ,9.4 ,350 ,2010-03-07 15:39 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.1 ,77.5 ,14.61 ,... ,... ,... ,... ,... 
08,1015.4 ,1016.5 ,1017.2 ,2010-03-08 08:43 ,1012.7 ,2010-03-08 16:03 ,21.0 ,27.6 ,2010-03-08 13:39 ,16.7 ,2010-03-08 04:20 ,14.3 ,66 ,51 ,2010-03-08 12:35 ,3.4 ,10 ,8.3 ,20 ,2010-03-08 23:54 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.5 ,72.3 ,12.97 ,... ,... ,... ,... ,... 
09,1019.0 ,1020.2 ,1023.7 ,2010-03-09 22:54 ,1014.2 ,2010-03-09 03:53 ,15.5 ,19.5 ,2010-03-09 00:33 ,12.5 ,2010-03-09 20:25 ,9.9 ,69 ,59 ,2010-03-09 19:25 ,7.8 ,10 ,19.1 ,360 ,2010-03-09 18:18 ,0.5 ,0.3 ,0.5 ,2010-03-09 13:22 ,0.5 ,2010-03-09 13:22 ,0.4 ,3.4 ,3.75 ,... ,... ,... ,... ,... 
10,1023.4 ,1024.6 ,1025.1 ,2010-03-10 09:32 ,1021.7 ,2010-03-10 14:36 ,13.3 ,18.3 ,2010-03-10 13:31 ,10.9 ,2010-03-10 22:31 ,4.2 ,54 ,44 ,2010-03-10 13:31 ,5.6 ,10 ,18.2 ,20 ,2010-03-10 04:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.5 ,38.1 ,12.25 ,... ,... ,... ,... ,... 
