ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1019.7 ,1022.1 ,1022.2 ,2011-02-01 00:01 ,1016.8 ,2011-02-01 14:32 ,15.2 ,21.1 ,2011-02-01 12:35 ,11.4 ,2011-02-01 05:15 ,10.9 ,76 ,58 ,2011-02-01 12:34 ,2.3 ,20 ,10.2 ,20 ,2011-02-01 20:57 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.8 ,16.4 ,8.73 ,... ,... ,... ,... ,... 
02,1019.2 ,1021.6 ,1020.7 ,2011-02-02 09:13 ,1018.0 ,2011-02-02 15:18 ,13.8 ,14.6 ,2011-02-02 12:19 ,12.7 ,2011-02-02 02:42 ,11.9 ,88 ,81 ,2011-02-02 18:39 ,1.6 ,20 ,8.6 ,10 ,2011-02-02 12:47 ,5.3 ,8.8 ,1.0 ,2011-02-02 01:15 ,3.0 ,2011-02-02 01:00 ,0.0 ,0.0 ,0.58 ,... ,... ,... ,... ,... 
03,1017.1 ,1019.5 ,1019.3 ,2011-02-03 00:01 ,1015.0 ,2011-02-03 15:39 ,15.9 ,19.7 ,2011-02-03 11:59 ,12.9 ,2011-02-03 22:31 ,13.0 ,83 ,71 ,2011-02-03 12:10 ,1.7 ,20 ,10.1 ,20 ,2011-02-03 14:44 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.5 ,13.6 ,9.38 ,... ,... ,... ,... ,... 
04,1015.1 ,1017.5 ,1016.9 ,2011-02-04 09:13 ,1013.0 ,2011-02-04 14:51 ,16.0 ,21.0 ,2011-02-04 12:36 ,12.4 ,2011-02-04 23:22 ,12.9 ,82 ,64 ,2011-02-04 13:34 ,1.6 ,10 ,8.6 ,10 ,2011-02-04 10:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.8 ,61.8 ,14.76 ,... ,... ,... ,... ,... 
05,1016.1 ,1018.5 ,1018.9 ,2011-02-05 09:26 ,1014.4 ,2011-02-05 14:44 ,15.8 ,22.0 ,2011-02-05 12:09 ,11.5 ,2011-02-05 03:02 ,10.3 ,72 ,49 ,2011-02-05 13:08 ,1.1 ,110 ,9.3 ,140 ,2011-02-05 12:13 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.8 ,88.9 ,15.66 ,... ,... ,... ,... ,... 
06,1014.3 ,1016.7 ,1016.7 ,2011-02-06 09:30 ,1012.4 ,2011-02-06 15:52 ,16.7 ,23.2 ,2011-02-06 15:17 ,11.5 ,2011-02-06 02:04 ,10.9 ,69 ,36 ,2011-02-06 16:26 ,1.5 ,130 ,10.2 ,110 ,2011-02-06 23:57 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.1 ,91.4 ,16.95 ,... ,... ,... ,... ,... 
07,1010.4 ,1012.8 ,1014.2 ,2011-02-07 00:01 ,1007.6 ,2011-02-07 14:41 ,20.3 ,24.7 ,2011-02-07 12:53 ,17.9 ,2011-02-07 22:12 ,12.4 ,61 ,49 ,2011-02-07 12:31 ,2.7 ,130 ,12.1 ,110 ,2011-02-07 02:42 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.2 ,65.1 ,14.18 ,... ,... ,... ,... ,... 
08,1007.8 ,1010.2 ,1009.9 ,2011-02-08 08:43 ,1005.4 ,2011-02-08 15:15 ,17.1 ,23.2 ,2011-02-08 11:03 ,14.0 ,2011-02-08 06:39 ,12.5 ,75 ,59 ,2011-02-08 22:12 ,1.4 ,310 ,6.6 ,280 ,2011-02-08 02:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.4 ,75.8 ,15.80 ,... ,... ,... ,... ,... 
09,1009.8 ,1012.2 ,1012.6 ,2011-02-09 22:45 ,1007.5 ,2011-02-09 03:14 ,17.1 ,24.1 ,2011-02-09 10:43 ,13.0 ,2011-02-09 01:31 ,13.0 ,77 ,62 ,2011-02-09 09:58 ,1.4 ,20 ,8.7 ,10 ,2011-02-09 13:38 ,0.9 ,2.3 ,0.2 ,2011-02-09 23:35 ,0.4 ,2011-02-09 23:00 ,1.7 ,15.3 ,4.63 ,... ,... ,... ,... ,... 
10,1011.6 ,1014.0 ,1013.9 ,2011-02-10 23:47 ,1009.8 ,2011-02-10 13:44 ,15.8 ,17.2 ,2011-02-10 09:16 ,15.0 ,2011-02-10 19:36 ,13.9 ,89 ,85 ,2011-02-10 09:40 ,2.1 ,360 ,10.6 ,20 ,2011-02-10 23:45 ,0.3 ,1.0 ,0.1 ,2011-02-10 00:01 ,0.3 ,2011-02-10 00:01 ,0.0 ,0.0 ,3.57 ,... ,... ,... ,... ,... 
11,1018.2 ,1020.7 ,1022.2 ,2011-02-11 22:18 ,1013.7 ,2011-02-11 00:02 ,11.0 ,15.0 ,2011-02-11 00:02 ,9.5 ,2011-02-11 21:02 ,9.1 ,88 ,75 ,2011-02-11 23:49 ,3.7 ,20 ,14.3 ,30 ,2011-02-11 02:20 ,10.8 ,22.3 ,0.4 ,2011-02-11 02:22 ,1.5 ,2011-02-11 12:24 ,0.0 ,0.0 ,0.02 ,... ,... ,... ,... ,... 
12,1020.3 ,1022.7 ,1022.6 ,2011-02-12 09:42 ,1018.3 ,2011-02-12 18:27 ,12.1 ,13.1 ,2011-02-12 23:43 ,9.9 ,2011-02-12 00:16 ,6.8 ,70 ,62 ,2011-02-12 12:46 ,1.4 ,70 ,7.8 ,100 ,2011-02-12 09:52 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,0.10 ,... ,... ,... ,... ,... 
13,1015.5 ,1017.9 ,1018.5 ,2011-02-13 00:01 ,1012.9 ,2011-02-13 15:29 ,14.3 ,16.1 ,2011-02-13 10:37 ,12.0 ,2011-02-13 23:42 ,11.3 ,83 ,66 ,2011-02-13 05:20 ,2.3 ,150 ,12.2 ,10 ,2011-02-13 20:05 ,13.1 ,13.5 ,1.0 ,2011-02-13 17:51 ,3.5 ,2011-02-13 20:00 ,0.0 ,0.0 ,1.77 ,... ,... ,... ,... ,... 
14,1021.4 ,1023.8 ,1024.3 ,2011-02-14 21:10 ,1017.6 ,2011-02-14 01:40 ,9.3 ,12.2 ,2011-02-14 00:21 ,7.8 ,2011-02-14 12:36 ,7.1 ,87 ,74 ,2011-02-14 22:04 ,3.1 ,20 ,11.7 ,20 ,2011-02-14 04:38 ,17.5 ,16.0 ,1.0 ,2011-02-14 01:01 ,2.0 ,2011-02-14 01:00 ,0.0 ,0.0 ,0.01 ,... ,... ,... ,... ,... 
15,1021.6 ,1024.0 ,1023.9 ,2011-02-15 00:01 ,1018.8 ,2011-02-15 14:16 ,11.8 ,13.8 ,2011-02-15 15:41 ,8.8 ,2011-02-15 00:13 ,8.3 ,79 ,72 ,2011-02-15 15:41 ,1.8 ,30 ,9.2 ,360 ,2011-02-15 00:21 ,0.4 ,4.0 ,0.1 ,2011-02-15 23:20 ,0.2 ,2011-02-15 23:00 ,0.0 ,0.0 ,0.58 ,... ,... ,... ,... ,... 
16,1015.9 ,1018.3 ,1020.2 ,2011-02-16 00:04 ,1014.1 ,2011-02-16 15:01 ,15.4 ,20.1 ,2011-02-16 10:52 ,13.2 ,2011-02-16 01:16 ,12.6 ,84 ,70 ,2011-02-16 05:37 ,2.4 ,320 ,13.4 ,120 ,2011-02-16 04:15 ,2.3 ,3.0 ,0.5 ,2011-02-16 08:05 ,1.0 ,2011-02-16 08:00 ,0.6 ,5.3 ,7.05 ,... ,... ,... ,... ,... 
