ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1006.9 ,1008.2 ,1009.0 ,2014-06-01 09:13 ,1004.5 ,2014-06-01 18:51 ,28.0 ,31.9 ,2014-06-01 13:15 ,25.5 ,2014-06-01 03:06 ,24.4 ,81 ,67 ,2014-06-01 12:50 ,1.4 ,190 ,4.7 ,180 ,2014-06-01 12:55 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.6 ,86.3 ,23.92 ,11.1 ,4.8 ,10 ,2014-06-01 13:00 ,2.6 
02,1004.5 ,1005.8 ,1006.3 ,2014-06-02 08:02 ,1002.3 ,2014-06-02 16:14 ,28.3 ,31.6 ,2014-06-02 12:41 ,26.2 ,2014-06-02 03:07 ,25.9 ,87 ,78 ,2014-06-02 12:49 ,2.9 ,190 ,7.9 ,190 ,2014-06-02 11:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.5 ,55.7 ,20.62 ,13.8 ,-5.1 ,9 ,2014-06-02 13:00 ,6.0 
03,1002.9 ,1004.2 ,1004.6 ,2014-06-03 21:30 ,1001.4 ,2014-06-03 06:01 ,26.5 ,28.0 ,2014-06-03 01:34 ,25.0 ,2014-06-03 14:57 ,25.5 ,94 ,88 ,2014-06-03 22:17 ,2.3 ,200 ,8.2 ,240 ,2014-06-03 07:40 ,36.6 ,6.4 ,10.0 ,2014-06-03 14:35 ,20.0 ,2014-06-03 13:47 ,0.0 ,0.0 ,1.33 ,8.9 ,-0.4 ,2 ,2014-06-03 10:00 ,9.4 
04,1003.4 ,1004.7 ,1004.5 ,2014-06-04 07:43 ,1002.1 ,2014-06-04 03:03 ,26.9 ,30.4 ,2014-06-04 11:33 ,25.1 ,2014-06-04 04:57 ,24.4 ,86 ,73 ,2014-06-04 11:33 ,1.3 ,10 ,5.6 ,40 ,2014-06-04 09:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.4 ,54.9 ,19.74 ,8.5 ,4.2 ,8 ,2014-06-04 12:00 ,7.5 
05,1003.3 ,1004.6 ,1005.1 ,2014-06-05 21:57 ,1001.9 ,2014-06-05 03:28 ,28.1 ,30.5 ,2014-06-05 12:13 ,26.3 ,2014-06-05 00:01 ,25.5 ,86 ,77 ,2014-06-05 13:37 ,1.9 ,190 ,7.1 ,190 ,2014-06-05 14:56 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.9 ,43.8 ,18.84 ,11.9 ,-3.6 ,7 ,2014-06-05 13:00 ,7.3 
06,1003.5 ,1004.8 ,1004.8 ,2014-06-06 09:30 ,1002.3 ,2014-06-06 15:45 ,26.5 ,29.7 ,2014-06-06 11:37 ,24.6 ,2014-06-06 05:10 ,24.7 ,90 ,79 ,2014-06-06 12:20 ,0.8 ,80 ,12.7 ,280 ,2014-06-06 18:05 ,27.5 ,9.3 ,7.1 ,2014-06-06 09:40 ,10.4 ,2014-06-06 18:18 ,1.2 ,8.9 ,10.94 ,10.4 ,-0.6 ,8 ,2014-06-06 12:00 ,9.3 
07,1002.1 ,1003.4 ,1003.5 ,2014-06-07 01:18 ,1000.2 ,2014-06-07 15:41 ,26.9 ,30.5 ,2014-06-07 12:00 ,25.3 ,2014-06-07 21:20 ,24.9 ,89 ,81 ,2014-06-07 12:12 ,1.5 ,190 ,11.5 ,200 ,2014-06-07 12:41 ,8.7 ,2.2 ,8.1 ,2014-06-07 12:37 ,8.4 ,2014-06-07 12:37 ,2.3 ,17.0 ,12.42 ,12.4 ,-2.0 ,8 ,2014-06-07 12:00 ,9.1 
08,1000.7 ,1002.0 ,1002.0 ,2014-06-08 08:57 ,999.2 ,2014-06-08 15:33 ,26.6 ,28.7 ,2014-06-08 09:01 ,25.5 ,2014-06-08 02:59 ,24.6 ,89 ,83 ,2014-06-08 12:26 ,2.1 ,40 ,8.9 ,30 ,2014-06-08 19:27 ,10.7 ,6.3 ,3.0 ,2014-06-08 21:30 ,5.7 ,2014-06-08 21:00 ,0.8 ,5.9 ,8.17 ,10.5 ,-0.5 ,4 ,2014-06-08 15:00 ,9.4 
09,1000.0 ,1001.3 ,1001.2 ,2014-06-09 09:21 ,998.7 ,2014-06-09 16:52 ,26.3 ,28.2 ,2014-06-09 10:08 ,25.6 ,2014-06-09 04:52 ,24.2 ,88 ,84 ,2014-06-09 10:36 ,3.3 ,30 ,13.3 ,30 ,2014-06-09 12:57 ,0.2 ,1.0 ,0.2 ,2014-06-09 00:20 ,0.2 ,2014-06-09 00:10 ,0.3 ,2.2 ,9.48 ,6.9 ,-1.9 ,5 ,2014-06-09 11:00 ,9.8 
10,999.3 ,1000.6 ,1000.8 ,2014-06-10 22:22 ,998.0 ,2014-06-10 02:40 ,26.1 ,27.7 ,2014-06-10 14:07 ,24.9 ,2014-06-10 02:28 ,23.4 ,85 ,80 ,2014-06-10 12:54 ,4.1 ,20 ,13.3 ,360 ,2014-06-10 01:14 ,T ,3.3 ,T ,2014-06-10 01:35 ,T ,2014-06-10 01:35 ,0.3 ,2.2 ,9.41 ,7.8 ,-0.6 ,6 ,2014-06-10 14:00 ,9.4 
