ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,635.1 ,3084.9 ,636.5 ,2011-01-01 21:01 ,633.4 ,2011-01-01 01:02 ,-6.1 ,-2.0 ,2011-01-01 11:36 ,-8.6 ,2011-01-01 17:53 ,-8.4 ,85 ,42 ,2011-01-01 18:57 ,6.3 ,260 ,21.6 ,290 ,2011-01-01 00:38 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.0 ,46.8 ,10.64 ,10.6 ,/ ,7 ,2011-01-01 12:00 ,5.0 
02,637.3 ,3105.7 ,638.9 ,2011-01-02 09:52 ,635.4 ,2011-01-02 02:42 ,-3.3 ,5.8 ,2011-01-02 12:08 ,-8.1 ,2011-01-02 03:57 ,-6.9 ,79 ,46 ,2011-01-02 12:08 ,7.4 ,280 ,21.2 ,310 ,2011-01-02 18:05 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.6 ,99.3 ,16.76 ,25.5 ,/ ,8 ,2011-01-02 12:00 ,2.0 
03,638.1 ,3116.8 ,639.3 ,2011-01-03 22:21 ,636.7 ,2011-01-03 03:43 ,-4.9 ,-3.7 ,2011-01-03 14:12 ,-6.7 ,2011-01-03 01:11 ,-5.0 ,99 ,93 ,2011-01-03 16:00 ,4.3 ,290 ,15.1 ,290 ,2011-01-03 19:16 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.5 ,4.7 ,3.75 ,3.4 ,/ ,2 ,2011-01-03 13:00 ,3.0 
04,638.7 ,3123.3 ,639.8 ,2011-01-04 09:10 ,637.9 ,2011-01-04 03:45 ,-4.2 ,-1.4 ,2011-01-04 11:35 ,-6.0 ,2011-01-04 19:23 ,-4.2 ,100 ,96 ,2011-01-04 07:36 ,3.9 ,270 ,12.9 ,280 ,2011-01-04 14:28 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.5 ,4.7 ,4.63 ,2.6 ,/ ,5 ,2011-01-04 12:00 ,5.0 
05,639.7 ,3135.1 ,641.0 ,2011-01-05 09:42 ,638.0 ,2011-01-05 03:17 ,-3.2 ,-0.2 ,2011-01-05 14:21 ,-5.1 ,2011-01-05 03:02 ,-4.4 ,92 ,52 ,2011-01-05 20:37 ,6.0 ,220 ,17.3 ,280 ,2011-01-05 00:46 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.4 ,31.8 ,7.18 ,7.6 ,/ ,6 ,2011-01-05 13:00 ,1.5 
06,640.6 ,3138.3 ,642.3 ,2011-01-06 09:13 ,639.7 ,2011-01-06 15:08 ,-0.3 ,2.6 ,2011-01-06 13:58 ,-4.4 ,2011-01-06 02:05 ,-0.6 ,98 ,65 ,2011-01-06 00:54 ,8.0 ,240 ,20.9 ,240 ,2011-01-06 20:08 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.1 ,0.9 ,9.55 ,0.1 ,/ ,6 ,2011-01-06 13:00 ,... 
07,639.4 ,3124.5 ,640.8 ,2011-01-07 09:06 ,638.4 ,2011-01-07 14:55 ,-1.3 ,2.9 ,2011-01-07 12:58 ,-6.3 ,2011-01-07 06:52 ,-7.4 ,72 ,17 ,2011-01-07 20:49 ,8.5 ,270 ,21.6 ,280 ,2011-01-07 20:46 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.9 ,92.4 ,16.62 ,20.4 ,/ ,8 ,2011-01-07 12:00 ,1.8 
08,640.1 ,3124.5 ,641.1 ,2011-01-08 08:57 ,638.8 ,2011-01-08 02:02 ,2.5 ,8.8 ,2011-01-08 10:05 ,-1.4 ,2011-01-08 21:28 ,-17.9 ,21 ,15 ,2011-01-08 05:35 ,6.8 ,270 ,20.7 ,280 ,2011-01-08 00:10 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.9 ,99.9 ,16.30 ,30.0 ,/ ,8 ,2011-01-08 13:00 ,0.0 
09,640.3 ,3128.6 ,641.7 ,2011-01-09 09:51 ,639.3 ,2011-01-09 23:51 ,1.0 ,8.4 ,2011-01-09 12:49 ,-2.9 ,2011-01-09 22:20 ,-8.9 ,56 ,18 ,2011-01-09 00:06 ,6.1 ,250 ,17.1 ,270 ,2011-01-09 19:13 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.7 ,90.4 ,16.27 ,20.8 ,/ ,8 ,2011-01-09 13:00 ,3.0 
10,638.4 ,3112.9 ,639.8 ,2011-01-10 09:12 ,637.3 ,2011-01-10 14:46 ,-2.2 ,-0.3 ,2011-01-10 16:23 ,-4.0 ,2011-01-10 06:11 ,-2.3 ,99 ,93 ,2011-01-10 03:40 ,4.7 ,270 ,18.0 ,280 ,2011-01-10 20:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.7 ,6.5 ,5.52 ,0.6 ,/ ,4 ,2011-01-10 13:00 ,9.0 
