ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,950.6 ,1023.2 ,952.2 ,2015-03-01 09:31 ,948.5 ,2015-03-01 00:21 ,8.9 ,14.2 ,2015-03-01 00:01 ,6.8 ,2015-03-01 17:55 ,7.8 ,92 ,86 ,2015-03-01 11:35 ,3.6 ,20 ,16.1 ,10 ,2015-03-01 10:46 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,3.76 ,8.4 ,0.4 ,... ,... ,10.0 
02,946.9 ,1018.5 ,951.1 ,2015-03-02 00:31 ,944.4 ,2015-03-02 17:52 ,11.2 ,13.7 ,2015-03-02 22:53 ,8.0 ,2015-03-02 00:18 ,9.6 ,90 ,83 ,2015-03-02 11:59 ,2.6 ,30 ,15.6 ,30 ,2015-03-02 06:04 ,0.5 ,3.4 ,0.5 ,2015-03-02 14:39 ,0.5 ,2015-03-02 13:49 ,0.0 ,0.0 ,1.29 ,8.7 ,-1.0 ,... ,... ,10.0 
03,944.3 ,1014.5 ,946.4 ,2015-03-03 23:05 ,942.0 ,2015-03-03 14:21 ,16.2 ,22.3 ,2015-03-03 15:01 ,9.8 ,2015-03-03 23:57 ,13.2 ,83 ,66 ,2015-03-03 14:45 ,2.0 ,260 ,17.0 ,360 ,2015-03-03 23:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.1 ,69.8 ,18.54 ,7.0 ,-2.3 ,... ,... ,6.8 
04,947.9 ,1020.1 ,949.9 ,2015-03-04 22:59 ,945.9 ,2015-03-04 00:06 ,9.5 ,10.3 ,2015-03-04 17:34 ,8.4 ,2015-03-04 04:10 ,8.5 ,93 ,92 ,2015-03-04 00:09 ,7.4 ,20 ,18.2 ,10 ,2015-03-04 22:52 ,5.0 ,10.3 ,0.5 ,2015-03-04 02:41 ,1.0 ,2015-03-04 17:55 ,0.0 ,0.0 ,4.08 ,4.0 ,-0.2 ,... ,... ,10.0 
05,948.0 ,1019.2 ,949.5 ,2015-03-05 00:50 ,946.0 ,2015-03-05 14:26 ,13.0 ,16.0 ,2015-03-05 13:30 ,9.8 ,2015-03-05 00:01 ,11.7 ,92 ,80 ,2015-03-05 10:42 ,2.6 ,20 ,17.4 ,20 ,2015-03-05 00:32 ,1.5 ,6.7 ,0.5 ,2015-03-05 00:01 ,0.5 ,2015-03-05 00:01 ,0.1 ,0.9 ,4.52 ,15.7 ,-0.1 ,... ,... ,10.0 
06,948.0 ,1019.6 ,949.9 ,2015-03-06 07:46 ,946.2 ,2015-03-06 14:55 ,11.8 ,13.2 ,2015-03-06 00:01 ,10.0 ,2015-03-06 05:52 ,11.6 ,99 ,90 ,2015-03-06 06:01 ,0.7 ,220 ,12.3 ,20 ,2015-03-06 05:47 ,8.5 ,7.2 ,1.5 ,2015-03-06 06:00 ,5.0 ,2015-03-06 05:59 ,0.0 ,0.0 ,2.89 ,1.0 ,-0.2 ,... ,... ,10.0 
07,948.9 ,1020.2 ,950.1 ,2015-03-07 21:05 ,947.6 ,2015-03-07 15:09 ,13.3 ,15.2 ,2015-03-07 22:55 ,11.7 ,2015-03-07 06:24 ,12.4 ,94 ,80 ,2015-03-07 22:55 ,0.7 ,260 ,8.8 ,20 ,2015-03-07 20:36 ,T ,0.7 ,T ,2015-03-07 03:33 ,T ,2015-03-07 03:10 ,0.2 ,1.7 ,6.71 ,6.5 ,0.4 ,... ,... ,10.0 
08,948.0 ,1018.3 ,949.5 ,2015-03-08 00:01 ,946.5 ,2015-03-08 14:31 ,16.9 ,22.2 ,2015-03-08 12:03 ,14.2 ,2015-03-08 00:01 ,14.5 ,86 ,78 ,2015-03-08 11:55 ,1.1 ,330 ,7.3 ,280 ,2015-03-08 22:57 ,0.5 ,0.3 ,0.5 ,2015-03-08 09:30 ,0.5 ,2015-03-08 19:30 ,2.9 ,24.7 ,11.10 ,13.2 ,-2.1 ,... ,... ,9.0 
09,950.4 ,1021.9 ,954.2 ,2015-03-09 22:51 ,947.7 ,2015-03-09 02:53 ,12.9 ,18.5 ,2015-03-09 05:44 ,9.2 ,2015-03-09 19:05 ,10.3 ,84 ,76 ,2015-03-09 06:08 ,4.7 ,30 ,19.7 ,20 ,2015-03-09 18:41 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.6 ,5.1 ,9.68 ,8.0 ,-1.1 ,... ,... ,8.7 
10,953.8 ,1026.8 ,956.0 ,2015-03-10 08:28 ,952.0 ,2015-03-10 02:14 ,8.3 ,9.5 ,2015-03-10 00:01 ,7.3 ,2015-03-10 18:49 ,6.9 ,91 ,84 ,2015-03-10 00:01 ,5.0 ,30 ,17.4 ,20 ,2015-03-10 21:57 ,25.0 ,21.9 ,1.5 ,2015-03-10 18:05 ,3.0 ,2015-03-10 22:42 ,0.0 ,0.0 ,2.20 ,4.0 ,-0.5 ,... ,... ,10.0 
