ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,992.3 ,1002.0 ,995.3 ,2010-09-01 23:28 ,990.5 ,2010-09-01 11:07 ,26.7 ,32.9 ,2010-09-01 10:16 ,24.4 ,2010-09-01 03:39 ,23.7 ,84 ,59 ,2010-09-01 09:46 ,0.9 ,170 ,7.9 ,170 ,2010-09-01 13:33 ,4.3 ,6.1 ,0.5 ,2010-09-01 13:55 ,1.5 ,2010-09-01 13:58 ,2.9 ,23.1 ,8.26 ,10.3 ,-1.4 ,5 ,2010-09-01 10:00 ,6.9 
02,997.2 ,1006.9 ,1000.0 ,2010-09-02 20:52 ,994.8 ,2010-09-02 00:35 ,27.7 ,32.9 ,2010-09-02 13:44 ,24.6 ,2010-09-02 05:42 ,24.2 ,82 ,59 ,2010-09-02 14:37 ,0.9 ,240 ,6.6 ,190 ,2010-09-02 15:38 ,5.5 ,1.0 ,3.5 ,2010-09-02 19:02 ,4.9 ,2010-09-02 18:50 ,3.9 ,31.1 ,12.34 ,9.8 ,-2.7 ,5 ,2010-09-02 14:00 ,7.6 
03,998.0 ,1007.6 ,999.3 ,2010-09-03 22:03 ,996.0 ,2010-09-03 15:16 ,29.7 ,34.0 ,2010-09-03 13:28 ,26.0 ,2010-09-03 01:48 ,23.7 ,71 ,54 ,2010-09-03 12:58 ,1.6 ,30 ,7.8 ,40 ,2010-09-03 08:45 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.1 ,80.8 ,24.54 ,11.9 ,5.6 ,10 ,2010-09-03 13:00 ,5.3 
04,998.2 ,1008.0 ,1000.4 ,2010-09-04 21:50 ,996.0 ,2010-09-04 13:36 ,27.5 ,32.8 ,2010-09-04 12:17 ,24.7 ,2010-09-04 14:40 ,24.4 ,84 ,60 ,2010-09-04 11:22 ,0.9 ,150 ,9.6 ,70 ,2010-09-04 14:09 ,44.6 ,6.1 ,9.0 ,2010-09-04 14:31 ,29.0 ,2010-09-04 14:17 ,3.7 ,29.7 ,12.62 ,8.6 ,/ ,8 ,2010-09-04 11:00 ,7.1 
05,998.4 ,1008.1 ,999.9 ,2010-09-05 22:37 ,996.0 ,2010-09-05 15:19 ,28.2 ,32.8 ,2010-09-05 14:09 ,24.8 ,2010-09-05 04:01 ,24.0 ,79 ,61 ,2010-09-05 14:18 ,1.1 ,340 ,6.4 ,10 ,2010-09-05 16:05 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.5 ,36.1 ,15.77 ,9.5 ,5.0 ,6 ,2010-09-05 13:00 ,7.3 
06,998.8 ,1008.5 ,1000.3 ,2010-09-06 09:40 ,997.0 ,2010-09-06 16:27 ,28.8 ,31.9 ,2010-09-06 14:25 ,27.0 ,2010-09-06 04:56 ,23.8 ,75 ,60 ,2010-09-06 15:16 ,1.0 ,210 ,4.5 ,200 ,2010-09-06 14:33 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.9 ,15.3 ,11.81 ,9.8 ,2.2 ,6 ,2010-09-06 14:00 ,8.1 
07,996.7 ,1006.4 ,999.1 ,2010-09-07 00:01 ,994.1 ,2010-09-07 23:52 ,28.6 ,33.2 ,2010-09-07 11:25 ,25.8 ,2010-09-07 05:44 ,24.1 ,78 ,55 ,2010-09-07 10:38 ,1.2 ,80 ,8.0 ,350 ,2010-09-07 14:36 ,1.5 ,1.2 ,1.0 ,2010-09-07 15:54 ,1.4 ,2010-09-07 15:15 ,5.3 ,42.7 ,15.88 ,10.5 ,-3.6 ,9 ,2010-09-07 12:00 ,5.1 
08,995.1 ,1004.7 ,998.6 ,2010-09-08 22:13 ,993.0 ,2010-09-08 04:30 ,28.8 ,34.6 ,2010-09-08 13:10 ,25.6 ,2010-09-08 19:47 ,24.9 ,80 ,58 ,2010-09-08 13:09 ,1.2 ,170 ,10.8 ,250 ,2010-09-08 17:36 ,54.6 ,1.8 ,17.0 ,2010-09-08 17:39 ,45.5 ,2010-09-08 17:13 ,3.7 ,29.9 ,16.19 ,10.0 ,-2.1 ,8 ,2010-09-08 13:00 ,7.0 
09,996.4 ,1006.1 ,998.1 ,2010-09-09 00:17 ,993.8 ,2010-09-09 15:49 ,27.3 ,30.4 ,2010-09-09 10:31 ,25.6 ,2010-09-09 23:54 ,24.9 ,87 ,71 ,2010-09-09 11:13 ,1.1 ,270 ,5.5 ,250 ,2010-09-09 19:08 ,12.5 ,6.4 ,3.0 ,2010-09-09 19:07 ,7.5 ,2010-09-09 18:53 ,1.2 ,9.7 ,6.71 ,9.5 ,-1.0 ,4 ,2010-09-09 11:00 ,8.3 
10,998.1 ,1007.9 ,1001.5 ,2010-09-10 22:45 ,995.7 ,2010-09-10 01:47 ,28.3 ,32.2 ,2010-09-10 15:48 ,25.0 ,2010-09-10 05:36 ,23.8 ,77 ,63 ,2010-09-10 15:46 ,2.0 ,210 ,11.9 ,220 ,2010-09-10 09:08 ,2.3 ,1.3 ,0.5 ,2010-09-10 00:01 ,2.0 ,2010-09-10 00:01 ,4.9 ,39.7 ,15.93 ,14.9 ,3.9 ,6 ,2010-09-10 13:00 ,7.9 
