ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1016.8 ,1017.6 ,1018.8 ,2011-12-01 08:52 ,1014.7 ,2011-12-01 02:19 ,18.9 ,21.3 ,2011-12-01 00:04 ,17.1 ,2011-12-01 21:08 ,14.9 ,78 ,71 ,2011-12-01 23:40 ,2.2 ,80 ,8.9 ,30 ,2011-12-01 12:14 ,T ,6.9 ,T ,2011-12-01 00:01 ,T ,2011-12-01 00:01 ,0.0 ,0.0 ,0.31 ,12.4 ,-0.8 ,1 ,2011-12-01 12:00 ,10.0 
02,1015.9 ,1016.7 ,1017.4 ,2011-12-02 09:33 ,1014.4 ,2011-12-02 14:03 ,15.1 ,17.3 ,2011-12-02 00:07 ,13.6 ,2011-12-02 17:13 ,12.4 ,84 ,71 ,2011-12-02 00:20 ,1.2 ,320 ,7.8 ,50 ,2011-12-02 00:37 ,5.5 ,17.7 ,0.5 ,2011-12-02 12:55 ,1.5 ,2011-12-02 12:30 ,0.0 ,0.0 ,0.00 ,5.9 ,-0.6 ,0 ,2011-12-02 12:00 ,10.0 
03,1019.0 ,1019.8 ,1022.1 ,2011-12-03 22:02 ,1016.3 ,2011-12-03 02:21 ,16.0 ,17.7 ,2011-12-03 09:27 ,14.4 ,2011-12-03 06:12 ,10.1 ,68 ,58 ,2011-12-03 13:00 ,3.0 ,80 ,11.5 ,90 ,2011-12-03 14:55 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.1 ,19.8 ,6.53 ,9.0 ,2.0 ,3 ,2011-12-03 12:00 ,7.6 
04,1019.5 ,1020.3 ,1021.7 ,2011-12-04 00:01 ,1017.1 ,2011-12-04 14:21 ,18.9 ,21.5 ,2011-12-04 14:17 ,15.7 ,2011-12-04 01:19 ,11.4 ,62 ,55 ,2011-12-04 13:53 ,4.7 ,80 ,13.0 ,90 ,2011-12-04 15:12 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.5 ,42.4 ,9.41 ,10.0 ,-1.9 ,4 ,2011-12-04 13:00 ,5.3 
05,1018.7 ,1019.5 ,1020.3 ,2011-12-05 10:26 ,1016.9 ,2011-12-05 14:43 ,19.4 ,20.3 ,2011-12-05 01:48 ,18.9 ,2011-12-05 06:53 ,16.8 ,85 ,69 ,2011-12-05 00:01 ,3.0 ,80 ,10.9 ,80 ,2011-12-05 01:35 ,22.5 ,12.6 ,1.5 ,2011-12-05 12:47 ,5.5 ,2011-12-05 15:07 ,0.0 ,0.0 ,0.99 ,7.1 ,-0.5 ,1 ,2011-12-05 12:00 ,9.8 
06,1018.0 ,1018.8 ,1020.8 ,2011-12-06 10:12 ,1015.8 ,2011-12-06 14:04 ,21.7 ,24.8 ,2011-12-06 14:33 ,19.7 ,2011-12-06 01:04 ,19.9 ,89 ,80 ,2011-12-06 15:58 ,4.3 ,80 ,12.1 ,80 ,2011-12-06 12:19 ,21.1 ,9.8 ,3.2 ,2011-12-06 04:48 ,6.4 ,2011-12-06 04:40 ,0.6 ,5.7 ,5.08 ,12.6 ,-1.2 ,4 ,2011-12-06 13:00 ,8.9 
07,1015.2 ,1016.0 ,1017.1 ,2011-12-07 00:01 ,1012.5 ,2011-12-07 12:28 ,24.1 ,30.4 ,2011-12-07 11:49 ,21.3 ,2011-12-07 20:19 ,20.7 ,82 ,62 ,2011-12-07 12:30 ,2.0 ,90 ,9.8 ,90 ,2011-12-07 06:08 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.9 ,46.3 ,9.24 ,10.8 ,-1.5 ,5 ,2011-12-07 12:00 ,7.8 
08,1019.7 ,1020.5 ,1023.4 ,2011-12-08 21:58 ,1015.7 ,2011-12-08 02:30 ,18.5 ,21.8 ,2011-12-08 00:13 ,15.7 ,2011-12-08 23:28 ,15.6 ,83 ,77 ,2011-12-08 18:17 ,2.1 ,80 ,9.3 ,80 ,2011-12-08 17:24 ,0.5 ,6.8 ,0.5 ,2011-12-08 06:51 ,0.5 ,2011-12-08 06:01 ,0.0 ,0.0 ,0.00 ,11.1 ,-1.6 ,0 ,2011-12-08 12:00 ,9.9 
09,1024.1 ,1024.9 ,1026.5 ,2011-12-09 09:09 ,1022.5 ,2011-12-09 13:52 ,14.1 ,15.9 ,2011-12-09 00:02 ,13.0 ,2011-12-09 06:45 ,11.7 ,85 ,75 ,2011-12-09 04:14 ,4.0 ,90 ,11.4 ,80 ,2011-12-09 03:06 ,15.5 ,16.7 ,1.0 ,2011-12-09 07:52 ,4.0 ,2011-12-09 07:52 ,0.0 ,0.0 ,0.91 ,7.8 ,-0.1 ,1 ,2011-12-09 12:00 ,10.0 
10,1023.7 ,1024.5 ,1025.5 ,2011-12-10 23:01 ,1021.8 ,2011-12-10 14:57 ,14.5 ,16.4 ,2011-12-10 11:29 ,12.5 ,2011-12-10 23:50 ,12.4 ,87 ,82 ,2011-12-10 23:25 ,3.8 ,80 ,11.8 ,80 ,2011-12-10 12:23 ,1.0 ,14.2 ,0.2 ,2011-12-10 03:45 ,0.3 ,2011-12-10 03:05 ,0.0 ,0.0 ,3.38 ,7.1 ,-0.2 ,2 ,2011-12-10 12:00 ,9.9 
